link_id,queue_id,activity_id,source_type,canonical_url,fetch_url,http_status,content_type,raw_path,text_path,byte_count,text_chars,extraction_status,evidence_status,notes
LI-EXT-068,LI-LOGIN-048,7282429540482568193,web_source,https://scholar.google.fr/citations?view_op=view_citation&hl=fr&user=S9OI0xUAAAAJ&citation_for_view=S9OI0xUAAAAJ:2osOgNQ5qMEC,https://scholar.google.fr/citations?view_op=view_citation&hl=fr&user=S9OI0xUAAAAJ&citation_for_view=S9OI0xUAAAAJ:2osOgNQ5qMEC,200,text/html; charset=UTF-8,sources/raw/LI-EXT-068_scholar-google-fr-citations.html,sources/text/LI-EXT-068_scholar-google-fr-citations.txt,87744,1885,html_text_extracted,readable,"title_or_text_start=Afficher l'article
Chargement en cours…
Le système ne peut pas réaliser cette opération "
LI-EXT-076,LI-LOGIN-049,7272626194091552768,code_or_tool,https://selfexplainml.github.io/PiML-Toolbox/_build/html/guides/models/xgb1.html,https://selfexplainml.github.io/PiML-Toolbox/_build/html/guides/models/xgb1.html,200,text/html; charset=utf-8,sources/raw/LI-EXT-076_selfexplainml-github-io-piml-toolbox-build-html-guides-models-xgb1-html.html,sources/text/LI-EXT-076_selfexplainml-github-io-piml-toolbox-build-html-guides-models-xgb1-html.txt,43966,13348,html_text_extracted,readable,"title_or_text_start=PiML Toolbox
Install
User Guide
API
Examples
Toggle Menu
User Guide
1. Introduction"
LI-EXT-099,LI-LOGIN-055,7239520617035640833,academic_or_preprint,https://arxiv.org/pdf/2302.08851,https://arxiv.org/pdf/2302.08851,200,application/pdf,sources/raw/LI-EXT-099_arxiv-org-pdf-2302-08851.pdf,sources/text/LI-EXT-099_arxiv-org-pdf-2302-08851.txt,1068474,107058,text_extracted,readable,pages=22
LI-EXT-100,LI-LOGIN-055,7239520617035640833,code_or_tool,https://github.com/xRiskLab,https://github.com/xRiskLab,200,text/html; charset=utf-8,sources/raw/LI-EXT-100_github-com-xrisklab.html,sources/text/LI-EXT-100_github-com-xrisklab.txt,211069,4502,html_text_extracted,readable,"title_or_text_start=xRiskLab (xRiskLab) · GitHub
Skip to content
Navigation Menu
Toggle navigation
Sign in"
LI-EXT-101,LI-LOGIN-055,7239520617035640833,web_source,https://www.researchgate.net/publication/355699453/figure/fig3/AS:1083754265223178@1635398560311/Calibration-plot-N-1752-of-the-developed-prognostic-model-with-loess-smoother-The.png,https://www.researchgate.net/publication/355699453/figure/fig3/AS:1083754265223178@1635398560311/Calibration-plot-N-1752-of-the-developed-prognostic-model-with-loess-smoother-The.png,403,text/html; charset=UTF-8,,,20226,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-114,LI-LOGIN-057,7229369908193579009,software_documentation,https://search.r-project.org/CRAN/refmans/caTools/html/predict.LogitBoost.html,https://search.r-project.org/CRAN/refmans/caTools/html/predict.LogitBoost.html,200,text/html,sources/raw/LI-EXT-114_search-r-project-org-cran-refmans-catools-html-predict-logitboost-html.html,sources/text/LI-EXT-114_search-r-project-org-cran-refmans-catools-html-predict-logitboost-html.txt,3662,1767,html_text_extracted,readable,"title_or_text_start=R: Prediction Based on LogitBoost Classification Algorithm
predict.LogitBoost {caTools} R"
LI-EXT-129,LI-LOGIN-060,7140373482889961472,blog_or_tutorial,https://blogs.sas.com/content/subconsciousmusings/2019/01/18/building-credit-scorecards-using-statistical-methods-and-business-logic/,https://blogs.sas.com/content/subconsciousmusings/2019/01/18/building-credit-scorecards-using-statistical-methods-and-business-logic/,200,text/html; charset=UTF-8,sources/raw/LI-EXT-129_blogs-sas-com-content-subconsciousmusings-2019-01-18-building-credit-sco.html,sources/text/LI-EXT-129_blogs-sas-com-content-subconsciousmusings-2019-01-18-building-credit-sco.txt,71363,19415,html_text_extracted,readable,"title_or_text_start=Building credit scorecards using SAS and Python - The SAS Data Science Blog
Blogs
Blogs "
LI-EXT-130,LI-LOGIN-060,7140373482889961472,academic_or_preprint,https://arxiv.org/abs/2001.08025,https://arxiv.org/pdf/2001.08025,200,application/pdf,sources/raw/LI-EXT-130_arxiv-org-abs-2001-08025.pdf,sources/text/LI-EXT-130_arxiv-org-abs-2001-08025.txt,493806,84415,text_extracted,readable,pages=22
LI-EXT-132,LI-LOGIN-060,7140373482889961472,academic_or_preprint,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1925510,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1925510,403,text/html; charset=UTF-8,,,5575,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-134,LI-LOGIN-060,7140373482889961472,blog_or_tutorial,https://medium.com/@luuisotorres/logistic-regression-in-credit-risk-the-role-of-weight-of-evidence-and-information-value-9e26dd690b16,https://medium.com/@luuisotorres/logistic-regression-in-credit-risk-the-role-of-weight-of-evidence-and-information-value-9e26dd690b16,403,text/html; charset=UTF-8,,,5870,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-135,LI-LOGIN-060,7140373482889961472,blog_or_tutorial,https://multithreaded.stitchfix.com/blog/2015/08/13/weight-of-evidence/,https://multithreaded.stitchfix.com/blog/2015/08/13/weight-of-evidence/,200,text/html,sources/raw/LI-EXT-135_multithreaded-stitchfix-com-blog-2015-08-13-weight-of-evidence.html,sources/text/LI-EXT-135_multithreaded-stitchfix-com-blog-2015-08-13-weight-of-evidence.txt,56997,23021,html_text_extracted,readable,title_or_text_start=Data Exploration with Weight of Evidence and Information Value in R | Stitch Fix Technolog
LI-EXT-136,LI-LOGIN-060,7140373482889961472,web_source,https://rpubs.com/erblast/creditrisk,https://rpubs.com/erblast/creditrisk,200,text/html; charset=utf-8,sources/raw/LI-EXT-136_rpubs-com-erblast-creditrisk.html,sources/text/LI-EXT-136_rpubs-com-erblast-creditrisk.txt,8474,397,html_text_extracted,thin_or_unreadable,"title_or_text_start=RPubs - WOE, IV and Scorevalues in Credit Risk Modelling
Sign In
Username or Email
Pass"
LI-EXT-139,LI-LOGIN-060,7140373482889961472,web_source,https://www.hindawi.com/journals/jmath/2013/848271/,https://www.hindawi.com/journals/jmath/2013/848271/,403,text/html; charset=UTF-8,,,5772,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-141,LI-LOGIN-060,7140373482889961472,web_source,https://ieeexplore.ieee.org/document/1277822,https://ieeexplore.ieee.org/document/1277822,418,text/html,,,14426,0,fetch_blocked_or_missing,blocked,Unknown Code
LI-EXT-165,LI-LOGIN-064,7165608521160421379,google_sheet,https://docs.google.com/spreadsheets/d/14BabLDtJL917JF7bIZXXFwOcVynEKBX_NzRDoPqTv70/edit?usp=sharing,https://docs.google.com/spreadsheets/d/14BabLDtJL917JF7bIZXXFwOcVynEKBX_NzRDoPqTv70/export?format=csv,200,text/csv,sources/raw/LI-EXT-165_docs-google-com-spreadsheets-d-14babldtjl917jf7bizxxfwocvynekbx-nzrdopqt.html,sources/text/LI-EXT-165_docs-google-com-spreadsheets-d-14babldtjl917jf7bizxxfwocvynekbx-nzrdopqt.txt,1481,1493,html_text_extracted,readable,"title_or_text_start=,,,,,,,,,,
,Weight of Evidence (WOE) & Information Value (IV),,,,,,,,,
,""Below we show t"
LI-EXT-179,LI-LOGIN-067,7152948849597132801,web_source,https://www.slideshare.net/slideshow/logistic-regression-vs-logistic-classifier/264813661,https://www.slideshare.net/slideshow/logistic-regression-vs-logistic-classifier/264813661,200,text/html; charset=utf-8,sources/raw/LI-EXT-179_www-slideshare-net-slideshow-logistic-regression-vs-logistic-classifier.html,sources/text/LI-EXT-179_www-slideshare-net-slideshow-logistic-regression-vs-logistic-classifier.txt,1403919,31676,html_text_extracted,readable,title_or_text_start=Logistic regression vs. logistic classifier. History of the confusion and the role of Logi
LI-EXT-183,LI-LOGIN-070,7211748798618824704,book_or_publisher,https://www.risk.net/journal-of-risk-model-validation/7951416/an-end-to-end-deep-learning-approach-to-credit-scoring-using-cnn-c-xgboost-on-transaction-data,https://www.risk.net/journal-of-risk-model-validation/7951416/an-end-to-end-deep-learning-approach-to-credit-scoring-using-cnn-c-xgboost-on-transaction-data,200,text/html; charset=UTF-8,sources/raw/LI-EXT-183_www-risk-net-journal-of-risk-model-validation-7951416-an-end-to-end-deep.html,sources/text/LI-EXT-183_www-risk-net-journal-of-risk-model-validation-7951416-an-end-to-end-deep.txt,88881,10840,html_text_extracted,readable,title_or_text_start=An end-to-end deep learning approach to credit scoring using CNN + XGBoost on transaction
LI-EXT-186,LI-LOGIN-071,7328316894258577408,web_source,https://stats.oarc.ucla.edu/r/dae/zip/,https://stats.oarc.ucla.edu/r/dae/zip/,200,text/html; charset=UTF-8,sources/raw/LI-EXT-186_stats-oarc-ucla-edu-r-dae-zip.html,sources/text/LI-EXT-186_stats-oarc-ucla-edu-r-dae-zip.txt,63156,14333,html_text_extracted,readable,"title_or_text_start=Zero-Inflated Poisson Regression | R Data Analysis Examples
Skip to primary navigation
S"
LI-EXT-201,LI-LOGIN-075,7155476795474030592,pdf,https://pages.cs.wisc.edu/~dyer/cs540/handouts/elkan97boosting.pdf,https://pages.cs.wisc.edu/~dyer/cs540/handouts/elkan97boosting.pdf,200,application/pdf,sources/raw/LI-EXT-201_pages-cs-wisc-edu-dyer-cs540-handouts-elkan97boosting-pdf.pdf,sources/text/LI-EXT-201_pages-cs-wisc-edu-dyer-cs540-handouts-elkan97boosting-pdf.txt,97704,40118,text_extracted,readable,pages=11
LI-EXT-202,LI-LOGIN-075,7155476795474030592,pdf,https://www.kdd.org/exploration_files/11-Larsen.pdf,https://www.kdd.org/exploration_files/11-Larsen.pdf,200,application/pdf,sources/raw/LI-EXT-202_www-kdd-org-exploration-files-11-larsen-pdf.pdf,sources/text/LI-EXT-202_www-kdd-org-exploration-files-11-larsen-pdf.txt,240801,48775,text_extracted,readable,pages=6
LI-EXT-203,LI-LOGIN-075,7155476795474030592,web_source,https://journals.sagepub.com/doi/full/10.1177/00111287231186093,https://journals.sagepub.com/doi/full/10.1177/00111287231186093,403,text/html; charset=UTF-8,,,5606,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-204,LI-LOGIN-075,7155476795474030592,web_source,https://aaai.org/papers/00101-KDD98-015-interpretable-boosted-naive-bayes-classification/,https://aaai.org/papers/00101-KDD98-015-interpretable-boosted-naive-bayes-classification/,403,text/html; charset=UTF-8,,,5475,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-207,LI-LOGIN-075,7155476795474030592,blog_or_tutorial,https://www.btelligent.com/en/blog/boosting-for-the-naive-bayes-classifier,https://www.btelligent.com/en/blog/boosting-for-the-naive-bayes-classifier,404,text/html; charset=utf-8,,,10563,0,fetch_blocked_or_missing,blocked,Not Found
LI-EXT-212,LI-LOGIN-075,7155476795474030592,blog_or_tutorial,https://www.baeldung.com/cs/naive-bayes-classification-performance,https://www.baeldung.com/cs/naive-bayes-classification-performance,403,text/html; charset=UTF-8,,,5573,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-213,LI-LOGIN-075,7155476795474030592,web_source,https://www.researchgate.net/publication/3297279_A_Case_Study_of_Applying_Boosting_Naive_Bayes_to_Claim_Fraud_Diagnosis,https://www.researchgate.net/publication/3297279_A_Case_Study_of_Applying_Boosting_Naive_Bayes_to_Claim_Fraud_Diagnosis,403,text/html; charset=UTF-8,,,21082,0,fetch_blocked_or_missing,blocked,Forbidden
LI-EXT-215,LI-LOGIN-076,7366001503611924480,code_or_tool,https://modeva.ai/_build/html/index.html,https://modeva.ai/_build/html/index.html,200,text/html; charset=utf-8,sources/raw/LI-EXT-215_modeva-ai-build-html-index-html.html,sources/text/LI-EXT-215_modeva-ai-build-html-index-html.txt,8259,978,html_text_extracted,readable,"title_or_text_start=Skip to main content
An Integrated Tool for Model Development and Validation
MoDeVa prom"
LI-EXT-220,LI-LOGIN-077,7372524468570689537,official_or_academic_pdf,https://files.wmich.edu/s3fs-public/attachments/u730/2022/PSIfinal.pdf,https://files.wmich.edu/s3fs-public/attachments/u730/2022/PSIfinal.pdf,200,application/pdf,sources/raw/LI-EXT-220_files-wmich-edu-s3fs-public-attachments-u730-2022-psifinal-pdf.pdf,sources/text/LI-EXT-220_files-wmich-edu-s3fs-public-attachments-u730-2022-psifinal-pdf.txt,309902,37234,text_extracted,readable,pages=12
