queue_id,activity_id,post_url,capture_status,final_url,rendered_text_path,html_path,screenshot_path,body_text_chars,comment_blocks,comment_link_count,expand_clicks,error
ANDRIJA-LOGIN-028,7395439589500465153,https://www.linkedin.com/feed/update/urn:li:activity:7395439589500465153/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7395439589500465153/,rendered_text\7395439589500465153.txt,rendered_html\7395439589500465153.html,screenshots\7395439589500465153.png,6769,8,59,120,
ANDRIJA-LOGIN-029,7381856247467380736,https://www.linkedin.com/feed/update/urn:li:activity:7381856247467380736/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7381856247467380736/,rendered_text\7381856247467380736.txt,rendered_html\7381856247467380736.html,screenshots\7381856247467380736.png,2953,1,40,12,
ANDRIJA-LOGIN-030,7373943955094319104,https://www.linkedin.com/feed/update/urn:li:activity:7373943955094319104/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7373943955094319104/,rendered_text\7373943955094319104.txt,rendered_html\7373943955094319104.html,screenshots\7373943955094319104.png,3084,4,61,0,
ANDRIJA-LOGIN-031,7360975499759616000,https://www.linkedin.com/feed/update/urn:li:activity:7360975499759616000/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7360975499759616000/,rendered_text\7360975499759616000.txt,rendered_html\7360975499759616000.html,screenshots\7360975499759616000.png,2192,1,41,12,
ANDRIJA-LOGIN-032,7359493731563020288,https://www.linkedin.com/feed/update/urn:li:activity:7359493731563020288/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7359493731563020288/,rendered_text\7359493731563020288.txt,rendered_html\7359493731563020288.html,screenshots\7359493731563020288.png,2094,0,46,12,
ANDRIJA-LOGIN-033,7349020596023799808,https://www.linkedin.com/feed/update/urn:li:activity:7349020596023799808/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7349020596023799808/,rendered_text\7349020596023799808.txt,rendered_html\7349020596023799808.html,screenshots\7349020596023799808.png,3382,3,38,66,
ANDRIJA-LOGIN-034,7346120026711646208,https://www.linkedin.com/feed/update/urn:li:activity:7346120026711646208/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7346120026711646208/,rendered_text\7346120026711646208.txt,rendered_html\7346120026711646208.html,screenshots\7346120026711646208.png,1604,0,26,0,
ANDRIJA-LOGIN-035,7345756217706713089,https://www.linkedin.com/feed/update/urn:li:activity:7345756217706713089/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7345756217706713089/,rendered_text\7345756217706713089.txt,rendered_html\7345756217706713089.html,screenshots\7345756217706713089.png,1643,0,26,0,
ANDRIJA-LOGIN-036,7335971743859105792,https://www.linkedin.com/feed/update/urn:li:activity:7335971743859105792/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7335971743859105792/,rendered_text\7335971743859105792.txt,rendered_html\7335971743859105792.html,screenshots\7335971743859105792.png,4477,0,47,0,
ANDRIJA-LOGIN-037,7330928750026448896,https://www.linkedin.com/feed/update/urn:li:activity:7330928750026448896/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7330928750026448896/,rendered_text\7330928750026448896.txt,rendered_html\7330928750026448896.html,screenshots\7330928750026448896.png,1527,0,28,0,
