policy_id,regime_v357,seed_pair_rank_v357,seed_added_loan_id_v357,seed_dropped_loan_id_v357,second_added_loan_id_v357,second_dropped_loan_id_v357,action_signature_v357,seed_return_delta_v357,return_delta_v357,objective_return_after_two_swap_v357,exposure_after_two_swap_v357,loss_mean_after_two_swap_v357,cvar90_after_two_swap_v357,source_min_slack_after_two_swap_v357,max_source_share_after_two_swap_v357,source_cap_violations_after_two_swap_v357,first_source_block_family_v357,first_source_block_id_v357,cvar_two_swap_feasible_v357,two_add_two_drop_entering_column_v357,claim_boundary_v357
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,140423185,148017643,add=140423185|161455148;drop=148017643|159706782,2.2203513257361465,1.071842571058177,4428.209955092698,843775.0,60245.6439687357,96517.94470776996,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,6,144038628,159706782,147190807,148128009,add=144038628|147190807;drop=148128009|159706782,0.4592545995868704,1.065128377492492,4428.203240899132,843775.0,60231.39969601868,96573.71906102706,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,157511702,164875488,add=157511702|161455148;drop=159706782|164875488,2.2203513257361465,1.0108275273913563,4428.148940049031,843775.0,60321.53727095096,96654.84234419874,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,163545352,148017643,add=145977956|163545352;drop=148017643|164875488,1.8757778281410395,0.8775690814649266,4428.015681603104,843775.0,60136.55800227137,96440.40463649709,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,145955296,127648167,add=145955296|145977956;drop=127648167|164875488,1.8757778281410395,0.8415268148801722,4427.9796393365195,843775.0,60127.60081744031,96437.78718663238,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,151083962,148017643,add=151083962|161455148;drop=148017643|159706782,2.2203513257361465,0.803886950501763,4427.941999472141,843775.0,60249.510953374964,96525.1285786787,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,160128011,151825245,add=160128011|161455148;drop=151825245|159706782,2.2203513257361465,0.7970354492469731,4427.935147970887,843775.0,60242.77879109738,96518.8789777024,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,149467955,139708433,add=149467955|161455148;drop=139708433|159706782,2.2203513257361465,0.7902673999117908,4427.928379921551,843775.0,60245.522719113345,96525.33423536766,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,3,161983601,148128009,163545352,127648167,add=161983601|163545352;drop=127648167|148128009,1.002428012871739,0.7340473950131674,4427.872159916653,843775.0,60150.32296413645,96467.20562092158,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,140423185,148017643,add=140423185|145977956;drop=148017643|164875488,1.8757778281410395,0.72726907346307,4427.865381595103,843775.0,60121.121542355155,96413.4179375014,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,7,161455148,162228701,147190807,148128009,add=147190807|161455148;drop=148128009|162228701,0.1133632438953213,0.719237021800943,4427.85734954344,843775.0,60230.957647372845,96511.33105628101,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,153611978,148128009,add=153611978|161455148;drop=148128009|159706782,2.2203513257361465,0.6553495300662746,4427.793462051705,843675.0,60271.248478352725,96562.04195925711,2.2005637775102116e-05,0.899872581266483,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,163545352,148145784,add=161455148|163545352;drop=148145784|159706782,2.2203513257361465,0.643190328772711,4427.781302850412,843775.0,60256.126875527174,96536.73484280905,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,3,161983601,148128009,153138303,164875488,add=153138303|161983601;drop=148128009|164875488,1.002428012871739,0.6240282282704328,4427.76214074991,843775.0,60169.1767449393,96494.46047166814,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,3,161983601,148128009,140423185,127648167,add=140423185|161983601;drop=127648167|148128009,1.002428012871739,0.5837473870113108,4427.721859908651,843775.0,60134.886504220245,96440.2189219259,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
