strategy,scenario,horizon_months,ending_budget,total_net_return_after_provision,unique_policies_used,policy_path,status
static_champion,adverse,12,934031.1563273547,-65968.8436726451,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion ...,sample_path_search_not_deployment_policy
greedy_net_return,adverse,12,941454.2923969738,-58545.70760302598,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
coverage_gate,adverse,12,941454.2923969738,-58545.70760302598,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
ecl_penalty,adverse,12,941405.3213939081,-58594.678606091606,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
static_champion,severe,12,897374.2851172137,-102625.71488278649,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion ...,sample_path_search_not_deployment_policy
greedy_net_return,severe,12,907120.9806358865,-92879.0193641135,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
coverage_gate,severe,12,907120.9806358865,-92879.0193641135,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
ecl_penalty,severe,12,907120.9806358865,-92879.0193641135,4,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
static_champion,baseline,32,889181.3456614051,-110818.65433859469,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion ...,sample_path_search_not_deployment_policy
greedy_net_return,baseline,32,907861.556260166,-92138.44373983424,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
coverage_gate,baseline,32,907861.556260166,-92138.44373983424,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
ecl_penalty,baseline,32,907656.5840669308,-92343.41593306935,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
static_champion,adverse,32,818144.2662227954,-181855.73377720462,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion ...,sample_path_search_not_deployment_policy
greedy_net_return,adverse,32,844963.3789813673,-155036.62101863258,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
coverage_gate,adverse,32,844963.3789813673,-155036.62101863258,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
ecl_penalty,adverse,32,844914.4079783016,-155085.5920216982,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
static_champion,severe,32,718692.3550087418,-281307.64499125845,1,paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion > paper1_economic_champion ...,sample_path_search_not_deployment_policy
greedy_net_return,severe,32,757075.3614542219,-242924.63854577852,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
coverage_gate,severe,32,757075.3614542219,-242924.63854577852,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
ecl_penalty,severe,32,757075.3614542219,-242924.63854577852,6,crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42 > paper1_economic_champion > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42 > paper1_economic_champion ...,sample_path_search_not_deployment_policy
