policy_id,max_proxy_gap,mean_proxy_gap,proxy_sources_pass_30
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.33407415465833923,0.10902543222683321,0.8571428571428571
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.3341179240810205,0.10941312172254976,0.8571428571428571
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,0.3346065523681563,0.10962481690486747,0.8571428571428571
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.3350317224361835,0.10902455886213894,0.8571428571428571
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.33509228078415176,0.10924247869165872,0.8571428571428571
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.33509228078415176,0.10924247869165872,0.8571428571428571
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.33509228078415176,0.10934500033946368,0.8571428571428571
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.3360551406530278,0.10906605950141782,0.8571428571428571
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.3365323226762795,0.10854903265015017,0.8571428571428571
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.3371029987078862,0.10914204016400685,0.8571428571428571
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.3371029987078862,0.10954779668803254,0.8571428571428571
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,0.33758274284434675,0.10877493727191126,0.8571428571428571
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.33758274284434675,0.11008219385957439,0.8571428571428571
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.33794717433122723,0.10992188956461113,0.8571428571428571
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.33841330762839994,0.1102209867204957,0.8571428571428571
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.33853371494916495,0.10933302303710289,0.8571428571428571
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.33853371494916495,0.10915154617498164,0.8571428571428571
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.33900499316040233,0.10859873022108503,0.8571428571428571
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.33947349914686775,0.10911521191406838,0.8571428571428571
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.34119733067343605,0.10907999399829513,0.8571428571428571
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.3416705225345361,0.10919633859976861,0.8571428571428571
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.342414675617456,0.10974087818242839,0.8571428571428571
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.3428718086172835,0.10933020947295104,0.8571428571428571
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.34332626832471436,0.11016597175049593,0.8571428571428571
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.34399435793548705,0.10915825143110898,0.8571428571428571
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.34490469817515157,0.10988711496207977,0.8571428571428571
