policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded_declared,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status,scenario,n_funded_reconstructed,funded_exposure,realized_return_proxy_lgd45,ecl,provision,mean_pd_scenario,weighted_pd_scenario,stage2_or_3_share,observed_default_rate,net_return_after_ecl_full,status,satisficing_pass_rate,min_satisficing_margin,mean_loss_rate,cvar_95_loss_rate_full,max_loan_loss_amount,score_return,score_net_ecl,score_ecl,score_tail,score_satisficing,score_auditability,diagnostic_selector_score,hard_gate_pass,diagnostic_selector_rank,diagnostic_decision
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,342,1000000.0,162753.66070085138,-8.523269844754445,0.040015,0.134188,0.0,0.040015,0.215385,0.081197,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,342,948025.0,146560.43,89860.42680306212,89860.42680306212,0.24100786555057183,0.21063773354092777,1.0,0.05263157894736842,56700.003196937876,diagnostic_selector_no_promotion,0.8,-3516.1616184187005,0.01764589541415047,0.44999999999999996,2160.0,0.18717666233904268,0.6899825699777257,1.0,1.0,0.8,0.7188070120167996,0.6556696377797584,True,21,keep
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.5,0.01,0.99,blended_uncertainty,0.1,incumbent_region,344,1000000.0,167226.8353415202,-8.921203884380372,0.03545,0.164424,0.0,0.03545,0.252212,0.087788,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,344,912700.0,150157.2875,101619.37856684695,101619.37856684695,0.2927478628636351,0.2474206653442093,1.0,0.06395348837209303,48537.908933153056,diagnostic_selector_no_promotion,1.0,-0.0,0.019906595814615975,0.44999999999999984,1575.0,0.6587051637534798,0.3810834738381173,0.6630884950002133,1.0,1.0,0.5648453548179577,0.6517947180716223,True,22,keep
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.01,0.99,blended_uncertainty,0.0,conservative_proxy,336,1000000.0,168669.5041537059,-9.00000906329222,0.042149,0.173656,0.0,0.042149,0.261828,0.088172,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,336,862900.0,146033.605,99242.65067249245,99242.65067249245,0.3186735780256656,0.25557912123844,1.0,0.0625,46790.954327507556,diagnostic_selector_no_promotion,1.0,-0.0,0.01774394483717696,0.4499999999999999,1361.25,0.8107804833402774,0.3149689839485348,0.7311852937580825,1.0,1.0,0.2947822320255825,0.6497825685979962,True,23,keep
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,335,1000000.0,167124.6310620346,-8.934799798218227,0.04545,0.165827,0.0,0.04545,0.252914,0.087086,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,335,881300.0,147887.265,97799.92729427028,97799.92729427028,0.29998928266119296,0.2466052102179111,1.0,0.05970149253731343,50087.33770572973,diagnostic_selector_no_promotion,1.0,-0.0,0.017322421422897992,0.4499999999999999,1361.25,0.6479315556081963,0.43972248631623345,0.7725214701808999,1.0,1.0,0.2762442644224859,0.6487762082572577,True,24,keep
paper1_economic_champion,0.175,0.45,0.01,0.99,blended_uncertainty,0.1,conservative_proxy,335,1000000.0,170464.5429284627,-10.557772959426375,0.03645,0.18591,0.0,0.03645,0.27725,0.091341,True,True,True,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,335,1000000.0,173329.66341584513,124762.62393578478,124762.62393578478,0.2840729672270273,0.2772502754128551,1.0,0.056716417910447764,48567.03948006035,diagnostic_selector_no_promotion,1.0,-0.0,0.0164025,0.44999999999999996,2880.0,1.0,0.38218593594145794,0.0,1.0,1.0,0.33846789591258275,0.6485025703736956,True,25,protected_paper1_champion
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.45,0.01,0.99,blended_uncertainty,0.05,incumbent_region,336,1000000.0,169337.1631898248,-10.492118479499933,0.03545,0.179102,0.0,0.03545,0.268506,0.089404,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,336,881000.0,148917.685,103966.59755764912,103966.59755764912,0.31551126510633926,0.2622439085827951,1.0,0.0625,44951.08744235088,diagnostic_selector_no_promotion,1.0,-0.0,0.01851589103291714,0.4499999999999999,1361.25,0.8811600884410241,0.2453381760364299,0.5958371703378605,1.0,1.0,0.42902597848780116,0.6463777898037512,True,26,keep
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.55,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,340,1000000.0,163116.36710524172,-7.684131386756691,0.042975,0.148401,0.0,0.042975,0.23178,0.083379,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,340,918825.0,150680.58,93200.30989708958,93200.30989708958,0.26748454384074255,0.22540940850685406,1.0,0.052941176470588235,57480.27010291041,diagnostic_selector_no_promotion,0.8,-3153.455214028363,0.01595379968982124,0.44999999999999996,1361.25,0.22541044953810968,0.7195122144798708,0.9043073683491363,1.0,0.8,0.5057072482307774,0.64320773838648,True,27,keep
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.55,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,339,1000000.0,162326.28515545817,-8.53783250057843,0.041975,0.13543,0.0,0.041975,0.215944,0.080513,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,339,962200.0,147811.4875,90704.1903394631,90704.1903394631,0.2403803567127728,0.20948333758161408,1.0,0.058997050147492625,57107.297160536895,diagnostic_selector_no_promotion,0.8,-3943.5371638119104,0.01864866971523592,0.4499999999999999,2160.0,0.1421259396088639,0.7053968415056944,0.9758249163170905,1.0,0.8,0.653293183123938,0.6400623472980271,True,28,keep
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.01,0.99,blended_uncertainty,0.05,conservative_proxy,335,1000000.0,168801.31532762162,-8.995325359539232,0.038067,0.172713,0.0,0.038067,0.261356,0.088644,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,335,877925.0,146043.5875,101101.41874690696,101101.41874690696,0.3094416593807963,0.2559100372327602,1.0,0.06865671641791045,44942.168753093036,diagnostic_selector_no_promotion,1.0,-0.0,0.019593074579263604,0.44999999999999984,1361.25,0.824675028109686,0.24500064317274786,0.6779288163120878,1.0,1.0,0.41601563739520936,0.6390633953499756,True,29,keep
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,344,1000000.0,160978.00154814168,-8.50632935682783,0.038975,0.133529,0.0,0.038975,0.215088,0.081559,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,344,958125.0,149511.6425,90435.91862513978,90435.91862513978,0.24275778144223592,0.209752076248784,1.0,0.05813953488372093,59075.72387486021,diagnostic_selector_no_promotion,0.8,-5291.820771128405,0.016990215264187866,0.4499999999999999,2160.0,0.0,0.7798930692164457,0.9835113010252841,1.0,0.8,0.7535692629954247,0.6376759771670047,True,30,keep
