policy_id,scenario,mean_diff_vs_reference_v6,p05_diff_vs_reference_v6,p50_diff_vs_reference_v6,p95_diff_vs_reference_v6,prob_beats_reference_v6,cvar90_simulated_loss_v6,n_paths,reference_policy_v6
paper4_v4_local_rt0p1775_g0p475_u0p100,baseline,-2383.285162958816,-61699.61421583119,-1873.5568791467886,52450.313789201675,0.485,182945.17154860974,200,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p100,cycle_stress,-1541.144914506423,-54074.671211241344,-4450.461314554937,54613.26377784393,0.45,289255.90764160786,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap360000_floor110000,adverse,54272.308187141585,-11259.225120173849,52327.46363906381,122427.79876779084,0.92,188859.30164360767,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap360000_floor110000,baseline,35577.29857109062,-32090.167314891485,36162.56231749212,98421.87520121645,0.82,123948.87370692982,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap360000_floor110000,cycle_stress,58835.178920221886,61.506309423731786,61530.98373140581,120781.90320108242,0.955,227651.85544052866,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap360000_floor80000,adverse,52894.81575158075,-11978.829946732872,55326.66575439382,114329.67008405672,0.915,191587.31750787125,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap360000_floor80000,baseline,34759.85290141772,-28769.479003013676,35439.962556050246,95840.88963067136,0.82,128506.53220504774,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap360000_floor80000,cycle_stress,57286.713408098876,-5810.178880176551,57418.203438120225,125569.02447739878,0.93,227642.9138297522,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap420000_floor110000,adverse,52502.32613633687,-14160.127551296002,53154.857458384926,127826.91244988302,0.87,187188.98761233536,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap420000_floor110000,baseline,35319.28611664398,-18759.45715344717,37253.65818865629,92199.14924638411,0.84,124827.25390300264,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap420000_floor110000,cycle_stress,59833.17295941111,-5348.769431807466,60835.70508635757,129882.7098151208,0.935,226978.5546670567,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap420000_floor80000,adverse,52796.293192671474,-10934.006611005165,49833.30999627437,135224.99709797357,0.89,190807.1138563159,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap420000_floor80000,baseline,37604.22361820492,-30137.702764525602,38570.6337323137,93833.45883029199,0.815,117530.70338421206,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap420000_floor80000,cycle_stress,59000.57358213094,-11103.890640540494,58509.13247537775,130670.40792781825,0.92,226009.922429954,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap520000_floor110000,adverse,55428.81108260005,-8205.54557012299,48709.159110675464,131546.94842238084,0.905,179688.73186844896,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap520000_floor110000,baseline,36424.90821709223,-22458.808684836313,35229.85027916234,97900.68897750402,0.835,122638.16189983339,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap520000_floor110000,cycle_stress,57603.51364361211,-3162.7805319994864,58776.67222593386,117447.80979968277,0.945,224299.99840358627,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap520000_floor80000,adverse,51309.46384108423,-13478.47565776983,48580.67916085989,119417.04985984697,0.92,194332.187710134,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap520000_floor80000,baseline,35470.17514380007,-29591.73935660989,32341.327640192678,102040.72353131187,0.835,123277.94374611156,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap520000_floor80000,cycle_stress,57020.41297166132,-7383.323647291714,60003.4726981345,120048.60349106442,0.91,238494.01187951738,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap650000_floor110000,adverse,55916.61698138864,-11629.253542990009,55968.67972443005,122890.79020323232,0.915,185403.4163363434,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap650000_floor110000,baseline,34087.10782169111,-23673.984192087093,33173.23174119835,99789.37596691867,0.825,123486.34805321046,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap650000_floor110000,cycle_stress,54282.95075146448,-8042.394557540494,49405.71948584089,115553.12532321543,0.915,228949.03438611975,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap650000_floor80000,adverse,52830.78624366573,-6355.50874857241,49498.699853652564,121504.81430915772,0.905,185597.51756660166,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap650000_floor80000,baseline,37137.884794771315,-26710.560015760722,36129.36262770595,94234.75698707333,0.85,121688.44557097783,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_cvar_cap650000_floor80000,cycle_stress,55875.74557298527,-4970.057449492178,51992.92539334885,117408.88968492391,0.935,231718.55294221113,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_auditability,adverse,47164.080845791636,-54252.72408183725,42328.09352690932,148667.71853332422,0.76,179949.49814220125,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_auditability,baseline,12982.976122954544,-51470.20449903785,10372.773796002784,91130.0938638948,0.62,102875.74264637673,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_auditability,cycle_stress,65233.58841720609,-42110.119531185206,66138.31606582433,171842.82351333403,0.85,217229.2223385896,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_balanced,adverse,52721.693453585154,-21508.490215340877,51699.82508150537,136460.6428450191,0.87,193289.3660077707,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_balanced,baseline,28792.252217937315,-37103.353997333186,27916.90068919518,91232.99142815072,0.75,125663.9644332317,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_balanced,cycle_stress,60053.9654106755,-21626.617022382547,62637.5468828527,131195.3897963928,0.89,224683.5984883895,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_return,adverse,59101.87110566984,4786.335285951136,60230.66214640622,114817.81345922501,0.96,198058.65320636108,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_return,baseline,47738.57485860274,-10236.272580877549,47689.107431636534,107195.80433628586,0.92,119656.38918768053,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_hybrid_dfl_proxy_return,cycle_stress,60661.60870633077,6916.898705205011,63044.07878288368,113148.98074916565,0.95,241903.23920652975,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_mdcp_base_rt170,adverse,64591.095682422434,12349.662603538462,63524.86833943425,117886.79693702655,0.985,195786.48627514325,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_mdcp_base_rt170,baseline,49263.05139436659,-8473.00115522289,49115.37554963656,106740.33113429911,0.925,126960.9011442187,200,paper4_v4_local_rt0p1700_g0p425_u0p025
v6_mdcp_base_rt170,cycle_stress,67914.97654788122,16784.81465961901,68873.95390925306,115666.23231996677,0.985,236281.50278107272,200,paper4_v4_local_rt0p1700_g0p425_u0p025
