policy_id,candidate_family,wealth_score_v48,tail_score_v48,regret_score_v48,auditability_score_v48,claim_safety_v48,evidence_source_v48,wealth_score_norm_v48,tail_score_norm_v48,regret_score_norm_v48,auditability_score_norm_v48,full_governance_score_v48,decision_v48,paper1_promotion_allowed_v48,paper4_working_champion_allowed_v48,claim_boundary_v48
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cvar_slack_frontier,126298.70435513796,-250000.0,0.5,0.75,True,v45_cvar_solver_frontier,0.9311763597077513,0.18671482307080933,0.4999999999999997,0.7679558011049726,0.6546227739010222,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_mdcp_empirical_base,prior_registry,0.013671875,0.9921875,0.5,0.7833333333333334,True,v44_registry,1.0080013772018956e-07,0.9999999745849398,0.4999999999999997,0.8453038674033154,0.5940607973669393,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_spo_regret_audit_guarded,prior_registry,0.033203125,0.998046875,0.5,0.7666666666666666,True,v44_registry,2.448003344633175e-07,0.9999999936462349,0.4999999999999997,0.8066298342541438,0.5863260387024878,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_spo_regret_balanced,prior_registry,0.064453125,0.998046875,0.5,0.75,True,v44_registry,4.7520064925232227e-07,0.9999999936462349,0.4999999999999997,0.7679558011049726,0.5785913011927479,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap90000,cvar_slack_frontier,0.0,-0.0,0.5,0.75,True,v45_cvar_solver_frontier,0.0,0.9999967468723048,0.4999999999999997,0.7679558011049726,0.5785903469390706,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor125000_cap175000,cvar_slack_frontier,0.0,-0.0,0.5,0.75,True,v45_cvar_solver_frontier,0.0,0.9999967468723048,0.4999999999999997,0.7679558011049726,0.5785903469390706,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor110000_cap150000,cvar_slack_frontier,0.0,-0.0,0.5,0.75,True,v45_cvar_solver_frontier,0.0,0.9999967468723048,0.4999999999999997,0.7679558011049726,0.5785903469390706,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor95000_cap125000,cvar_slack_frontier,0.0,-0.0,0.5,0.75,True,v45_cvar_solver_frontier,0.0,0.9999967468723048,0.4999999999999997,0.7679558011049726,0.5785903469390706,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap105000,cvar_slack_frontier,0.0,-0.0,0.5,0.75,True,v45_cvar_solver_frontier,0.0,0.9999967468723048,0.4999999999999997,0.7679558011049726,0.5785903469390706,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_spo_regret_return_recovery,prior_registry,0.056640625,0.998046875,0.5,0.7166666666666668,True,v44_registry,4.1760057055507105e-07,0.9999999936462349,0.4999999999999997,0.6906077348066304,0.563121670653056,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cvar_oce_frontier_v41,1.0,0.1288512498088401,0.55,0.5,True,v44_registry,7.372810073248151e-06,0.9999971660418742,1.0,0.18784530386740345,0.5375705641269712,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cvar_oce_frontier_v41,1.0,0.0,0.55,0.5,True,v44_registry,7.372810073248151e-06,0.9999967468723048,1.0,0.18784530386740345,0.5375704593345789,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cvar_oce_frontier_v41,0.0,1.0,0.55,0.5,True,v44_registry,0.0,1.0,1.0,0.18784530386740345,0.5375690607734808,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor95000_cap125000,cvar_oce_frontier_v41,0.0,0.0,0.55,0.5,True,v44_registry,0.0,0.9999967468723048,1.0,0.18784530386740345,0.537568247491557,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap90000,cvar_oce_frontier_v41,0.0,0.0,0.55,0.5,True,v44_registry,0.0,0.9999967468723048,1.0,0.18784530386740345,0.537568247491557,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap105000,cvar_oce_frontier_v41,0.0,0.0,0.55,0.5,True,v44_registry,0.0,0.9999967468723048,1.0,0.18784530386740345,0.537568247491557,serious_tail_challenger,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_tail_value,prior_registry,0.0,0.0,0.5,0.6166666666666667,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.4585635359116025,0.5167118939003966,review_or_park,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_reinvestment_value,prior_registry,0.0,0.0,0.5,0.6000000000000001,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.4198895027624313,0.5089770872705625,review_or_park,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_return_value,prior_registry,0.0,0.0,0.5,0.5833333333333334,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.3812154696132599,0.5012422806407282,review_or_park,False,False,Paper 4 working registry only; no final promotion
v28_adp_depth2_reinvestment_guarded,prior_registry,0.0,0.0,0.5,0.5666666666666667,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.3425414364640885,0.4935074740108939,review_or_park,False,False,Paper 4 working registry only; no final promotion
v28_adp_depth2_tail_source,prior_registry,0.0,0.0,0.5,0.55,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.3038674033149174,0.4857726673810596,review_or_park,False,False,Paper 4 working registry only; no final promotion
v28_adp_depth3_balanced,prior_registry,0.0,0.0,0.5,0.5333333333333334,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.26519337016574623,0.47803786075122545,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_mdcp_empirical_return_recovery,prior_registry,0.029296875,0.998046875,0.5,0.5285714285714286,True,v44_registry,2.1600029511469193e-07,0.9999999936462349,0.4999999999999997,0.25414364640883996,0.47582879249341525,review_or_park,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_source_ecl_value,prior_registry,0.0,0.0,0.5,0.5166666666666667,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.22651933701657487,0.4703030541213912,review_or_park,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_tail_value::v43_depth3_reinvestment_tail,dla_adp_rollout_v43,0.7644941682067908,0.9523809523809524,0.45,0.65,True,v44_registry,5.636470304294494e-06,0.9999998450891573,0.0,0.535911602209945,0.4571839726553696,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_tail_value::v43_depth2_cash_tail_source,dla_adp_rollout_v43,0.7644226534865101,0.9523809523809524,0.45,0.65,True,v44_registry,5.635943039844422e-06,0.9999998450891573,0.0,0.535911602209945,0.4571839724971902,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_tail_value::v43_depth2_ecl_source_guard,dla_adp_rollout_v43,0.7470486335967963,0.9523809523809524,0.45,0.65,True,v44_registry,5.507847690988727e-06,0.9999998450891573,0.0,0.535911602209945,0.4571839340685856,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_reinvestment_value::v43_depth3_reinvestment_tail,dla_adp_rollout_v43,0.7518155689974418,0.9047619047619048,0.45,0.65,True,v44_registry,5.54299340032913e-06,0.9999996901783147,0.0,0.535911602209945,0.4571839058845878,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_reinvestment_value::v43_depth2_cash_tail_source,dla_adp_rollout_v43,0.7518055740937665,0.9047619047619048,0.45,0.65,True,v44_registry,5.542919709802631e-06,0.9999996901783147,0.0,0.535911602209945,0.4571839058624806,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_reinvestment_value::v43_depth2_ecl_source_guard,dla_adp_rollout_v43,0.7344090574697278,0.9047619047619048,0.45,0.65,True,v44_registry,5.414658496797489e-06,0.9999996901783147,0.0,0.535911602209945,0.45718386738411676,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_return_value::v43_depth2_cash_tail_source,dla_adp_rollout_v43,0.7372069333099316,0.8571428571428572,0.45,0.65,True,v44_registry,5.435286703975841e-06,0.9999995352674722,0.0,0.535911602209945,0.45718383484486824,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v24_adp_rollout_return_value::v43_depth3_reinvestment_tail,dla_adp_rollout_v43,0.73703907794276,0.8571428571428572,0.45,0.65,True,v44_registry,5.43404913823391e-06,0.9999995352674722,0.0,0.535911602209945,0.45718383447359856,dynamic_or_dla_review,False,False,Paper 4 working registry only; no final promotion
v13_static_reference,prior_registry,0.03515625,0.0,0.5,0.4619047619047619,True,v44_registry,2.592003541376303e-07,0.9999967468723048,0.4999999999999997,0.09944751381215475,0.4448887672406133,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,prior_registry,0.142578125,0.990234375,0.5,0.4523809523809524,True,v44_registry,1.051201436224834e-06,0.9999999682311749,0.4999999999999997,0.07734806629834266,0.44046992067789315,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,prior_registry,0.4765625,0.99609375,0.5,0.4273809523809523,True,v44_registry,3.513604800532322e-06,0.99999998729247,0.4999999999999997,0.019337016574585572,0.4288684542194747,review_or_park,False,False,Paper 4 working registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,prior_registry,0.4765625,0.99609375,0.5,0.4273809523809523,True,v44_registry,3.513604800532322e-06,0.99999998729247,0.4999999999999997,0.019337016574585572,0.4288684542194747,review_or_park,False,False,Paper 4 working registry only; no final promotion
paper1_economic_champion,prior_registry,0.0,0.0,0.5,0.419047619047619,True,v44_registry,0.0,0.9999967468723048,0.4999999999999997,0.0,0.4249991867180761,retain_working_reference,False,True,Paper 4 working registry only; no final promotion
