policy_id,horizon_months,n_paths,wealth_mean,wealth_p05,loss_mean,loss_p95,defaults_mean,realized_return_mean,no_temporal_leakage_rate
v13_spo_regret_return_recovery,24,64,1001829.386036322,940615.0988874588,29489.346505271642,51074.77528845427,27.359375,97470.1641995803,1.0
v13_static_reference,24,64,925629.0309195793,823611.1406030474,177798.11455042392,253159.76353181427,14.15625,258676.4542526403,1.0
paper1_economic_champion,36,64,1082272.159704382,1020632.8864871591,71614.42591959957,112132.30342561901,68.28125,209686.76310806992,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,36,64,1101616.8337035752,1041207.2990232032,53923.33410615688,90279.0159120456,57.890625,192562.23971221002,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,36,64,1101616.8337035754,1041207.2990232032,53923.33410615688,90279.0159120456,57.890625,192562.23971221002,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,36,64,1085948.6978109386,1039653.9768346767,50758.37800212692,81339.26337301082,58.796875,173728.3133037023,1.0
v13_fvi_bellman_rollout,36,64,1079124.7262790594,1061240.8708252895,30242.211074764775,46466.82035805135,70.390625,118333.31140706262,1.0
v13_fvi_capital_guarded,36,64,1077484.4762277394,1059911.079352688,30457.641151008567,46222.5264956198,71.1875,116842.13157343987,1.0
v13_fvi_return_recovery,36,64,1084726.6359592646,1065087.5767141492,31297.30904388211,48001.6205607949,70.21875,125482.7817105203,1.0
v13_mdcp_empirical_base,36,64,1068651.109189134,1036999.6170574774,45046.46977746881,65551.43340735871,48.484375,139692.77794945202,1.0
v13_mdcp_empirical_return_recovery,36,64,1078285.7274918398,1042366.1323426679,46326.726662999776,74654.3212892793,48.109375,156550.47682272198,1.0
v13_mdcp_empirical_tight,36,64,1046179.5216733145,1024610.8444094517,39181.41276264883,57247.17353080669,43.0625,102391.00225128574,1.0
v13_spo_regret_audit_guarded,36,64,1074084.3945892965,1022799.0011537331,48474.82217697408,81981.20078813795,56.765625,151509.24536440242,1.0
v13_spo_regret_balanced,36,64,1080358.0725105684,1027765.1663379633,48572.314972654705,79782.78737336135,54.578125,159612.99164939596,1.0
v13_spo_regret_return_recovery,36,64,1077210.2031251106,1017422.4366825981,50989.51658881792,84837.49131106757,57.09375,161934.02669596352,1.0
v13_static_reference,36,64,1019103.9267220024,912711.9818709828,254432.7973427921,329029.58428241144,24.1875,312649.2110106881,1.0
