policy_id,worst_source_coverage,mean_source_coverage,n_sources,source_id,online_method_rank_reference,mdcp_search_pass_80
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8,0.9387630269588227,9,purpose,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.8,0.9397177361554545,9,purpose,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8333333333333334,0.9474638945852786,9,purpose,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.8333333333333334,0.947322462799608,9,purpose,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.8333333333333334,0.9440197400754164,9,purpose,rolling_score_decile,True
paper1_economic_champion,0.9432835820895522,0.9432835820895522,1,purpose,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.9,0.9244927911594578,3,home_ownership,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.9259259259259259,0.9341380070546738,3,home_ownership,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.9032258064516129,0.9390219874656772,3,home_ownership,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.9032258064516129,0.9389643315888961,3,home_ownership,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.9,0.9381172839506172,3,home_ownership,rolling_score_decile,True
paper1_economic_champion,0.9432835820895522,0.9432835820895522,1,home_ownership,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.7142857142857143,0.9279468087341429,18,state_top20,rolling_score_decile,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.7142857142857143,0.9306823874302333,18,state_top20,rolling_score_decile,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.7142857142857143,0.9302873975414389,18,state_top20,rolling_score_decile,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.7142857142857143,0.9337898481942803,19,state_top20,rolling_score_decile,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.7142857142857143,0.9343289252476525,19,state_top20,rolling_score_decile,False
paper1_economic_champion,0.9432835820895522,0.9432835820895522,1,state_top20,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.7777777777777778,0.9057475546493652,5,income_band,rolling_score_decile,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.7777777777777778,0.9101941648507191,5,income_band,rolling_score_decile,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.875,0.9276221233174121,5,income_band,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.875,0.9277404389981146,5,income_band,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.875,0.9278785347681762,5,income_band,rolling_score_decile,True
paper1_economic_champion,0.9432835820895522,0.9432835820895522,1,income_band,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.9294117647058824,0.94692455299977,5,dti_band,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.9285714285714286,0.9560338750502686,5,dti_band,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.9302325581395349,0.9506034657848611,5,dti_band,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.9294117647058824,0.9501997678097724,5,dti_band,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.9302325581395349,0.9509708595850908,5,dti_band,rolling_score_decile,True
paper1_economic_champion,0.9432835820895522,0.9432835820895522,1,dti_band,rolling_score_decile,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.9090909090909091,0.9351932132758067,4,score_decile,rolling_score_decile,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.9130434782608695,0.9360876172855821,4,score_decile,rolling_score_decile,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.8,0.9165772936740678,5,score_decile,rolling_score_decile,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.9354838709677419,0.9457216170925848,4,score_decile,rolling_score_decile,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.6666666666666666,0.8952330609528492,5,score_decile,rolling_score_decile,False
paper1_economic_champion,0.9432835820895522,0.9432835820895522,1,score_decile,rolling_score_decile,True
