policy_id,regime_v73,constraint_index_v73,lhs_v73,rhs_v73,slack_v73,marginal_v73,binding_v73,claim_boundary_v73,constraint_type_v73,source_family,source_id,cap_share_v73,cap_mode_v73,path_id,post_iteration_reprice_v73
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,37,-190674.95,0.0,190674.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,NC,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,38,-188224.95,0.0,188224.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,NJ,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,39,-194369.2,0.0,194369.2,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,NV,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,40,-134888.45,0.0,134888.45,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,NY,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,41,-183942.25,0.0,183942.25,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,OH,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,42,-176274.95,0.0,176274.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,PA,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,43,-161149.95,0.0,161149.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,TX,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,44,-194724.95,0.0,194724.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,VA,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,45,-162449.95,0.0,162449.95,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,WA,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,46,-15824.949999999997,0.0,15824.949999999997,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,source_share,state_top20,other,0.26,target_source_cap_probe_lp,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,47,164937.77554041182,185616.07852082537,20678.302980413544,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_cap,,,,,,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,48,-90496.50090820451,0.0,90496.50090820451,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,0.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,49,-58907.065815949,0.0,58907.065815949,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,1.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,50,-5626.113385681587,0.0,5626.113385681587,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,2.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,51,-69079.76174965204,0.0,69079.76174965204,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,3.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,52,-59318.32155268938,0.0,59318.32155268938,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,4.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,53,-71580.48935367816,0.0,71580.48935367816,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,5.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,54,-49457.70768353206,0.0,49457.70768353206,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,6.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,55,-66855.74660814682,0.0,66855.74660814682,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,7.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,56,-87351.27463485926,0.0,87351.27463485926,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,8.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,57,-88831.26498805117,0.0,88831.26498805117,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,9.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,58,7.275957614183426e-12,0.0,-7.275957614183426e-12,-0.0,True,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,10.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,59,-35304.14150592916,0.0,35304.14150592916,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,11.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,60,-79599.45125920378,0.0,79599.45125920378,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,12.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,61,-70261.25341038732,0.0,70261.25341038732,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,13.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,62,-25059.809226293422,0.0,25059.809226293422,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,14.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,63,-49364.06898788738,0.0,49364.06898788738,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,15.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,64,-79182.15143773187,0.0,79182.15143773187,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,16.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,65,-84526.14256831826,0.0,84526.14256831826,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,17.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,66,-60103.21184510265,0.0,60103.21184510265,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,18.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,67,-27022.34887452932,0.0,27022.34887452932,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,19.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,68,-66052.18967794623,0.0,66052.18967794623,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,20.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,69,-54453.415004184084,0.0,54453.415004184084,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,21.0,1
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,70,-21295.365614275535,0.0,21295.365614275535,-0.0,False,HiGHS marginal from v72 iteration LP; not full-universe certificate,cvar_path_excess,,,,,22.0,1
