variant,source_family,source_value,n,defended_cell,coverage,avg_width
mondrian_grade_temporal_replay,state_top20,MI,2048,True,0.93505859375,0.7917657849925642
mondrian_grade_temporal_replay,state_top20,MN,1423,True,0.9184820801124385,0.7781518856499402
mondrian_grade_temporal_replay,state_top20,NC,2315,True,0.9265658747300216,0.7765115540641269
mondrian_grade_temporal_replay,state_top20,NJ,2583,True,0.9303135888501742,0.7822396194118264
mondrian_grade_temporal_replay,state_top20,NV,1402,True,0.9258202567760342,0.7975049061566557
mondrian_grade_temporal_replay,state_top20,NY,5395,True,0.9128822984244671,0.7732057283300741
mondrian_grade_temporal_replay,state_top20,OH,2438,True,0.9421657095980311,0.7952506073030916
mondrian_grade_temporal_replay,state_top20,PA,2487,True,0.9236027342179333,0.770874325975275
mondrian_grade_temporal_replay,state_top20,TX,6499,True,0.9162948145868595,0.7709396026189153
mondrian_grade_temporal_replay,state_top20,VA,2122,True,0.9255419415645617,0.7585571025479545
mondrian_grade_temporal_replay,state_top20,WA,1978,True,0.9418604651162791,0.7745494674451591
mondrian_grade_temporal_replay,state_top20,other_state,17188,True,0.9272166627879916,0.7792615912901307
group_weighted_source_max_replay,original_grade,A,22796,True,0.9252500438673451,0.8523315335202956
group_weighted_source_max_replay,original_grade,B,21573,True,0.916701432345988,0.9491343330803573
group_weighted_source_max_replay,original_grade,C,19375,True,0.9477161290322581,0.9860541513402683
group_weighted_source_max_replay,original_grade,D,14681,True,0.9773176214154349,0.9939439164585397
group_weighted_source_max_replay,original_grade,E,1243,True,0.9734513274336283,0.9945430578733614
group_weighted_source_max_replay,original_grade,F,16,False,0.875,0.9771729305688236
group_weighted_source_max_replay,original_grade,G,7,False,1.0,0.9859593906471671
group_weighted_source_max_replay,term,36,58759,True,0.9255092836842016,0.9226060074814624
group_weighted_source_max_replay,term,60,20932,True,0.9758742595069749,0.9865116345964885
group_weighted_source_max_replay,score_decile,0,6606,True,0.9498940357250983,0.8000732480862262
group_weighted_source_max_replay,score_decile,1,8449,True,0.937625754527163,0.838795138439049
group_weighted_source_max_replay,score_decile,2,7523,True,0.9231689485577562,0.8732384495980432
group_weighted_source_max_replay,score_decile,3,8659,True,0.889248181083266,0.9148516587275181
group_weighted_source_max_replay,score_decile,4,8507,True,0.8650523098624662,0.9604957634046786
group_weighted_source_max_replay,score_decile,5,8125,True,0.8601846153846154,0.9864679129351287
group_weighted_source_max_replay,score_decile,6,9012,True,0.977474478473147,0.9988893262171757
group_weighted_source_max_replay,score_decile,7,8408,True,1.0,1.0
group_weighted_source_max_replay,score_decile,8,7641,True,1.0,1.0
group_weighted_source_max_replay,score_decile,9,6761,True,1.0,0.9999631265270584
group_weighted_source_max_replay,income_band,inc_q1,13754,True,0.9403082739566672,0.9549505058323383
group_weighted_source_max_replay,income_band,inc_q2,14302,True,0.9429450426513775,0.9454617370602374
group_weighted_source_max_replay,income_band,inc_q3,16556,True,0.9420753805266973,0.9423906331481412
group_weighted_source_max_replay,income_band,inc_q4,16457,True,0.9417269247128881,0.9357730075031319
group_weighted_source_max_replay,income_band,inc_q5,18622,True,0.9287401997637204,0.9237702288392107
group_weighted_source_max_replay,dti_band,dti_q1,15054,True,0.920087684336389,0.912967608878219
group_weighted_source_max_replay,dti_band,dti_q2,15799,True,0.9380973479334135,0.926512098859734
group_weighted_source_max_replay,dti_band,dti_q3,16014,True,0.944236293243412,0.9398885579526268
group_weighted_source_max_replay,dti_band,dti_q4,16180,True,0.9456736711990111,0.9517529493972829
group_weighted_source_max_replay,dti_band,dti_q5,16436,True,0.9442686785105865,0.9631946910927822
group_weighted_source_max_replay,dti_band,nan,208,True,0.9375,0.9494368458506024
group_weighted_source_max_replay,state_top20,AZ,2260,True,0.9438053097345133,0.9409035058682899
group_weighted_source_max_replay,state_top20,CA,11409,True,0.938381979139276,0.9402503549581458
group_weighted_source_max_replay,state_top20,CO,1754,True,0.9566704675028507,0.9239577235499434
group_weighted_source_max_replay,state_top20,FL,6078,True,0.9333662388943732,0.9457876480003257
group_weighted_source_max_replay,state_top20,GA,2636,True,0.9427162367223065,0.943025717644309
group_weighted_source_max_replay,state_top20,IL,2675,True,0.9282242990654206,0.9397079438484894
group_weighted_source_max_replay,state_top20,IN,1328,True,0.9322289156626506,0.9378758817687216
group_weighted_source_max_replay,state_top20,MA,1856,True,0.9353448275862069,0.93685874312631
group_weighted_source_max_replay,state_top20,MD,1817,True,0.9367088607594937,0.9426558088906103
group_weighted_source_max_replay,state_top20,MI,2048,True,0.9501953125,0.9425766514414826
group_weighted_source_max_replay,state_top20,MN,1423,True,0.9430780042164442,0.9393750455948684
group_weighted_source_max_replay,state_top20,NC,2315,True,0.9447084233261339,0.9388576150776546
group_weighted_source_max_replay,state_top20,NJ,2583,True,0.9423151374370886,0.9414533880384217
group_weighted_source_max_replay,state_top20,NV,1402,True,0.9315263908701854,0.9444049180174118
group_weighted_source_max_replay,state_top20,NY,5395,True,0.9249304911955515,0.9378236382060843
group_weighted_source_max_replay,state_top20,OH,2438,True,0.9507793273174734,0.9432303237691042
group_weighted_source_max_replay,state_top20,PA,2487,True,0.9392842782468838,0.9372918861571325
group_weighted_source_max_replay,state_top20,TX,6499,True,0.9310663178950608,0.9365954369143605
group_weighted_source_max_replay,state_top20,VA,2122,True,0.9448633364750235,0.9352009462921634
group_weighted_source_max_replay,state_top20,WA,1978,True,0.9524772497472194,0.9373272754516333
group_weighted_source_max_replay,state_top20,other_state,17188,True,0.9411217128228997,0.938414362393903
localized_score_replay,original_grade,A,22796,True,0.9497280224600807,0.5656543593185577
localized_score_replay,original_grade,B,21573,True,0.9531358642747879,0.9641836486168089
