policy_id,final_wealth_mean,final_wealth_p05,cumulative_losses_p95,ECL_final_mean,source_exposure_weak_share_final_mean,mean_wealth_diff,prob_higher_wealth,auditability_score_proxy_v30,full_candidate_score_v30,claim_safety_gate,paired_robustness_gate_v30,decision_v30,mean_wealth_diff_dynamic_v39,prob_higher_wealth_dynamic_v39,mean_loss_diff,prob_lower_loss,paired_wealth_robustness_gate_v39,tail_challenger_gate_v39,decision_v39,source_cap_families_v39,min_support_pass_rate_v39,full_candidate_score_v39,paper4_working_champion_change_candidate_v39,paper4_only_scope_v39,paper1_promotion_allowed_v39,claim_boundary_v39
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,1169392.180246571,1118878.4274439297,107267.83879408451,765.6610689485351,0.5861593239854525,-426.992609004325,0.4921875,0.4273809523809523,0.7502857142857143,True,False,review,-691.3444055797158,0.4765625,-26914.20544050389,0.99609375,False,True,serious_tail_challenger,9.0,0.0,0.678134300595238,False,True,False,Paper 4 lab registry only; no final promotion
v13_mdcp_empirical_return_recovery,1126118.9454053885,1081444.9699252937,92750.16236812192,439.52912800464713,0.4951171874999999,-43700.227450186925,0.02734375,0.5285714285714286,0.6740952380952382,True,False,review,-43992.008527122365,0.029296875,-33405.138617570534,0.998046875,False,True,serious_tail_challenger,9.0,0.0,0.5412248883928572,False,True,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_tail_value,969934.6160131416,848707.2743326835,426308.9981657397,0.0,0.0,,,0.6166666666666667,0.3158095238095238,True,False,park,,,,,,,dynamic_method_challenger,,,0.3041666666666667,False,True,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_reinvestment_value,976962.833816972,852733.506978647,431453.0897347183,0.0,0.0,,,0.6000000000000001,0.3312380952380953,True,False,review,,,,,,,dynamic_method_challenger,,,0.30000000000000004,False,True,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_return_value,984851.683719628,855511.667605263,440831.0271514093,0.0,0.0,,,0.5833333333333334,0.3466666666666666,True,False,review,,,,,,,dynamic_method_challenger,,,0.29583333333333334,False,True,False,Paper 4 lab registry only; no final promotion
v28_adp_depth2_reinvestment_guarded,919685.3870045864,787776.2744071617,489408.72772977385,0.0,0.0,,,0.5666666666666667,0.2554285714285714,True,False,park,,,,,,,dynamic_method_challenger,,,0.29166666666666663,False,True,False,Paper 4 lab registry only; no final promotion
v28_adp_depth2_tail_source,905200.046183348,771833.456639368,497920.3192948237,0.0,0.0,,,0.55,0.2175238095238095,True,False,park,,,,,,,dynamic_method_challenger,,,0.2875,False,True,False,Paper 4 lab registry only; no final promotion
v28_adp_depth3_balanced,897937.22672464,761747.800142947,510796.2459812069,0.0,0.0,,,0.5333333333333334,0.1796190476190476,True,False,park,,,,,,,dynamic_method_challenger,,,0.2833333333333333,False,True,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_source_ecl_value,835163.1994942474,682175.256798362,586365.3504768352,0.0,0.0,,,0.5166666666666667,0.1417142857142857,True,False,park,,,,,,,dynamic_method_challenger,,,0.2791666666666667,False,True,False,Paper 4 lab registry only; no final promotion
v13_static_reference,1050559.1071577964,926275.7658820573,346813.56544319994,142.5641972513743,0.1361798165835991,-119260.06569777903,0.03125,0.4619047619047619,0.4767619047619048,True,False,review,-115532.48573038125,0.03515625,179721.0677408811,0.0,False,False,review_or_park,9.0,0.0,0.27641369047619047,False,True,False,Paper 4 lab registry only; no final promotion
paper1_economic_champion,1169819.172855575,1100721.6891324874,141472.10121746128,1080.023438932769,0.322265625,0.0,0.0,0.419047619047619,0.6527619047619048,True,False,retain_working_champion,0.0,0.0,0.0,0.0,False,False,retain_working_champion,9.0,0.2857142857142857,0.25476190476190474,False,True,False,Paper 4 lab registry only; no final promotion
