policy_id,width_weight,source_weight,ecl_weight,funded_exposure,n_funded,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,auditability_score_v8,decision_loss_proxy_v8,training_status_v8
v8_dfl_surrogate_w0p05_s0p14_e0p45,0.05,0.14,0.45,980625.0,580,111420.45609589873,119049.4675,0.159246368661608,0.8157973229859392,0.3706734650520501,0.5165092076261265,50213.36022990029,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p10_e0p20,0.05,0.1,0.2,991050.0,77,110496.40495271116,82585.76999999999,0.1708528997880446,0.7834750969116455,0.3736525234179237,0.5289525003982979,50388.93688854798,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p10_e0p45,0.08,0.1,0.45,981100.0,677,107970.8525088944,111587.695,0.16547933281763566,0.80015150341756,0.38816974144667543,0.5164318668148882,53621.74385558764,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p14_e0p70,0.02,0.14,0.7,984300.0,440,107811.56802326551,110317.5125,0.12567127206144182,0.8290954129398839,0.36491245893867036,0.5131131921685541,54039.48042911453,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p14_e0p20,0.08,0.14,0.2,980900.0,622,107101.6000488553,112416.69750000001,0.16170882211559198,0.8009590501932288,0.37494477860468284,0.5211181830490644,54246.685728178614,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p06_e0p45,0.05,0.06,0.45,984825.0,72,106087.33598990834,69450.27500000001,0.14928110165285519,0.7688442235263622,0.3699303598778124,0.5365118893653591,54357.7907459165,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p06_e0p20,0.12,0.06,0.2,980850.0,628,106431.87835325478,102374.0825,0.16086064294112806,0.768786873204518,0.417070228203429,0.5186228265367995,54954.61199103628,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p02_e0p45,0.12,0.02,0.45,980675.0,661,106653.94293039631,106640.7425,0.1585000030682294,0.7773001324974171,0.44366550250252806,0.5049410534001242,55477.28438219921,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p02_e0p20,0.08,0.02,0.2,997825.0,64,102591.47297489828,82013.90500000001,0.16682763877095516,0.7003028000417744,0.3753163129807331,0.5632526250497762,56247.83723587027,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p14_e0p20,0.02,0.14,0.2,984200.0,44,103213.51778046532,-9436.125,0.15636053048785517,0.822367200385706,0.35651629072681706,0.519129585361813,58301.4019938232,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p10_e0p70,0.05,0.1,0.7,981250.0,591,102921.88901564278,107049.7125,0.12765567914156384,0.8097909027355679,0.37173673036093413,0.5186278633139065,58583.03211007463,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p06_e0p70,0.08,0.06,0.7,980575.0,654,103303.07153502465,104568.91750000001,0.1340168729991173,0.7976723824351014,0.40982756715872487,0.5092431238569419,58660.70331913692,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p06_e0p45,0.12,0.06,0.45,981725.0,733,103154.3870268919,100032.9125,0.16057989936755368,0.7908255359560967,0.4239731085589142,0.506743493646052,58921.127493298336,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p10_e0p45,0.02,0.1,0.45,992525.0,40,102446.26051586983,29544.6325,0.14455531535919255,0.8208771266637347,0.3563218390804597,0.5198293079506566,59027.51838244227,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p14_e0p45,0.08,0.14,0.45,981900.0,731,101157.34902732896,99825.88249999999,0.15915733931656897,0.807435726268698,0.3719913772617714,0.5195202716076738,60293.78562473344,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p06_e0p20,0.05,0.06,0.2,989025.0,41,99876.0558115603,9184.010000000002,0.15856651584310677,0.7841658462858788,0.3500332819359133,0.5376376974242838,60554.169934414465,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p10_e0p20,0.12,0.1,0.2,981675.0,727,98725.60262754161,95352.3425,0.15683990604199732,0.7860907687147736,0.3891732667804178,0.5219560357632363,62535.545876045624,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p02_e0p70,0.12,0.02,0.7,981650.0,735,99514.90889335869,96709.735,0.14147696822080405,0.7886683633409033,0.4345574627752593,0.5036274515422221,62718.363395778615,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p10_e0p20,0.02,0.1,0.2,980525.0,33,98136.46702374052,-11187.650000000001,0.1538909137193666,0.8101150212654581,0.35711311117343597,0.524048708822602,63084.08468147419,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p14_e0p70,0.05,0.14,0.7,981750.0,686,97478.98528781711,100513.0125,0.1295280923309151,0.8149422283927484,0.36611493082081314,0.5186005903631367,64042.282988527404,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p10_e0p45,0.12,0.1,0.45,980400.0,777,97452.59908987136,91916.205,0.16039517465984163,0.7939883714742171,0.39488984088127294,0.5164667444459452,64120.32096471906,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p14_e0p20,0.12,0.14,0.2,980875.0,759,95920.41361836105,92297.595,0.15777369221814208,0.7899328076897448,0.38284694787817,0.5227463805766026,65310.2594815555,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p06_e0p20,0.02,0.06,0.2,985025.0,31,94991.229694676,-1393.1074999999992,0.1537203828867422,0.7983425107178416,0.3451604443203641,0.5335351766567682,65695.95590978685,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p02_e0p20,0.05,0.02,0.2,983125.0,33,93854.68161353336,-3009.5424999999996,0.14584350099577517,0.7561051255078459,0.3482687009959737,0.5500937409082347,65838.7344941918,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p10_e0p70,0.08,0.1,0.7,981400.0,731,95534.18693188306,94838.735,0.13309441900137176,0.8072840070210512,0.37717376536920044,0.5176146862108624,66016.80250113677,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p02_e0p70,0.05,0.02,0.7,984150.0,60,93210.466505088,49552.77,0.10380820363812471,0.7426427908035267,0.3775931853206658,0.5446046174406658,66732.88092152303,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p10_e0p70,0.02,0.1,0.7,982425.0,66,94563.34388112611,6678.932500000005,0.09935361153349845,0.8118587520212974,0.3596712217217599,0.5223442598967863,66751.96330395105,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p06_e0p70,0.12,0.06,0.7,980225.0,775,95049.20600553742,89012.5625,0.14265423756038467,0.7960113327558551,0.408035570064696,0.5106217236179564,66837.20266476242,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p14_e0p45,0.12,0.14,0.45,980400.0,797,94500.08051677894,88852.04250000001,0.15970074938375323,0.7977250976830645,0.3829389364885081,0.5194386631074799,66927.23960517737,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p05_s0p02_e0p45,0.05,0.02,0.45,982050.0,36,91493.15167943636,14292.665,0.12148227743017685,0.7560391648875534,0.3472667718887361,0.5505021774295079,68178.57683063672,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p08_s0p14_e0p70,0.08,0.14,0.7,981000.0,771,91698.62808921104,88808.33249999999,0.13646794802355275,0.8080048161866528,0.36839109751953786,0.5206493601441814,69694.72821595558,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p06_e0p45,0.02,0.06,0.45,989150.0,32,90972.64997400634,14370.824999999999,0.11672803177694757,0.8104077093546653,0.3427521946452341,0.5293829281058516,69968.0006028745,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p10_e0p70,0.12,0.1,0.7,980275.0,800,91089.38347195281,87722.08,0.14265188685622854,0.7985677784790078,0.3887769588465822,0.5168662886771154,70475.76411706356,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p12_s0p14_e0p70,0.12,0.14,0.7,980200.0,814,89869.36948114584,87362.19,0.14534719677468425,0.8044407612559752,0.38023702645718566,0.5176448102187599,71671.80402950679,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p06_e0p70,0.02,0.06,0.7,988200.0,34,87244.94825042933,5184.125,0.09111731811359514,0.7964911026507746,0.3599979761181947,0.5286745059617607,73692.70278831346,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p02_e0p45,0.02,0.02,0.45,980600.0,29,87471.15999702532,22961.98,0.11223106546053054,0.8205998022834857,0.3537120130532326,0.5209375180807075,73943.48927123602,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p02_e0p20,0.02,0.02,0.2,983000.0,26,85512.82204051517,-38874.770000000004,0.13386407641940626,0.7988227735517794,0.34689725330620547,0.5326734788518945,75221.10631451296,transparent_surrogate_not_neural_spo_plus
v8_dfl_surrogate_w0p02_s0p02_e0p70,0.02,0.02,0.7,985600.0,29,79903.44719005996,8951.480000000003,0.08167815883372045,0.8121591561119058,0.36713676948051943,0.5193811820304022,81568.68105245761,transparent_surrogate_not_neural_spo_plus
