policy_id,scenario,mean_diff_vs_reference_v6,p05_diff_vs_reference_v6,p50_diff_vs_reference_v6,p95_diff_vs_reference_v6,prob_beats_reference_v6,cvar90_simulated_loss_v6,n_paths,reference_policy_v6
v7_mdcp_soft_rt170_wp04_wd04,adverse,61853.081900704776,7173.06280812827,58524.150731432135,120109.41512495044,0.98,196506.08177416355,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt170_wp04_wd04,baseline,54266.399153847626,1163.042354960754,54305.24938127423,109554.4831908137,0.952,121087.92817635581,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt170_wp04_wd04,cycle_stress,67610.14385628655,9258.02879178599,69349.97166901876,126668.85120093761,0.96,246906.77854311408,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt1725_wp06_wd08,adverse,56355.4854113244,-3560.383465962078,57754.19050972466,117764.23004904571,0.928,195091.6807264889,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt1725_wp06_wd08,baseline,45767.52683625279,-7311.35249999552,42278.320227622185,103622.53284051396,0.92,125437.34211981403,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt1725_wp06_wd08,cycle_stress,65726.4715880967,1756.1302255189164,67359.04794462945,129747.73088844994,0.96,242976.06535699454,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt175_wp08_wd10,adverse,47997.87218272433,-27468.124379026944,46242.20579330668,123653.80368861862,0.856,191479.78654824808,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt175_wp08_wd10,baseline,34612.02552889764,-29746.466760930514,35061.56587808355,94391.80307115665,0.84,121458.3710833033,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt175_wp08_wd10,cycle_stress,62335.29176377691,-18761.213474233813,65897.89681461868,142056.22284841991,0.908,242467.2177048904,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt175_wp12_wd12,adverse,46522.48818158206,-34490.985159633936,45404.820408512925,120917.21608367846,0.864,167525.45147134873,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt175_wp12_wd12,baseline,22966.395941664763,-38352.906013705746,20621.91079976126,82921.4575007496,0.728,112713.86241999386,250,paper4_v4_local_rt0p1700_g0p425_u0p025
v7_mdcp_soft_rt175_wp12_wd12,cycle_stress,67772.67376375668,-20483.005393465766,67480.3083491667,155935.70781522145,0.884,210142.38907710987,250,paper4_v4_local_rt0p1700_g0p425_u0p025
