policy_id,frontier_family,realized_return_proxy_lgd45,net_return_after_contractual_ecl_v4,regret_gross_v4,regret_net_ifrs9_v4,auditability_score_v4,online_min,mdcp_worst,max_proxy_gap_v4,pareto_candidate_v4
paper4_v4_local_rt0p1750_g0p425_u0p100,CRPTO local v4,176420.17324300256,81509.64765550982,1627.9293642488192,4775.050172570249,0.8966425541900576,0.9090909090909091,0.8333333333333334,0.27397350425383027,True
paper4_v4_local_rt0p1775_g0p475_u0p075,CRPTO local v4,177061.79107749835,85383.73047646807,986.3115297530312,900.9673516119947,0.8790572140979634,0.9,0.75,0.2684019554695617,True
paper4_v4_local_rt0p1775_g0p475_u0p100,CRPTO local v4,177097.5721843643,85431.35508472216,950.5304228870664,853.3427433579054,0.8789912062773413,0.9,0.75,0.2688420076070427,True
paper4_v4_local_rt0p1700_g0p425_u0p050,CRPTO local v4,178048.10260725138,85502.56483931569,0.0,782.1329887643806,0.876846885059569,0.8947368421052632,0.75,0.27633063858346185,True
paper4_v4_local_rt0p1775_g0p425_u0p000,CRPTO local v4,175282.58472726814,79402.76146137052,2765.5178799832356,6881.936366709546,0.8969069697090954,0.9047619047619048,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p425_u0p025,CRPTO local v4,175282.58472726814,79402.76146137052,2765.5178799832356,6881.936366709546,0.8969069697090954,0.9047619047619048,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p425_u0p050,CRPTO local v4,175282.58472726814,79402.76146137052,2765.5178799832356,6881.936366709546,0.8969069697090954,0.9047619047619048,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p425_u0p075,CRPTO local v4,175282.58472726814,79402.76146137052,2765.5178799832356,6881.936366709546,0.8969069697090954,0.9047619047619048,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p425_u0p100,CRPTO local v4,175282.58472726814,79402.76146137052,2765.5178799832356,6881.936366709546,0.8969069697090954,0.9047619047619048,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1700_g0p450_u0p050,CRPTO local v4,175478.25187548407,85013.73330445438,2569.8507317673066,1270.964523625691,0.8961358015698317,0.9,0.8333333333333334,0.26607597380190806,False
