policy_id,baseline_policy_id,sample_path_id,return_diff_vs_champion,net_return_after_ecl_diff_vs_champion,V_diff_vs_champion,gamma_cp_diff_vs_champion,n_funded_diff_vs_champion,status
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-2969.6847181002086,-2151.2686140000587,0.0077999999999999944,-0.013135999999999981,-4,paired_static_diagnostic
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-3237.7075869425025,-5079.1438211678615,-0.0010000000000000009,-0.021486000000000005,9,paired_static_diagnostic
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-3339.9118664280977,-3339.9118664280977,0.008999999999999994,-0.02008299999999999,0,paired_static_diagnostic
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-3395.0653538413753,-4827.293536016659,0.002599999999999998,-0.03261,7,paired_static_diagnostic
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-3397.2470102294174,-4829.475192404701,0.006524999999999996,-0.030515999999999988,7,paired_static_diagnostic
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-3495.081334482442,-4518.101464607636,0.006524999999999996,-0.03115599999999999,5,paired_static_diagnostic
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-3687.1544853968953,-4096.362537446985,0.007338999999999998,-0.026968999999999993,2,paired_static_diagnostic
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-3842.8988352759625,-4865.918965401157,0.005324999999999996,-0.028375999999999985,5,paired_static_diagnostic
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-3890.3482825913816,-4504.160360666516,0.0,0.0009310000000000151,3,paired_static_diagnostic
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-3905.399896011164,-4519.211974086298,0.008999999999999994,-0.02312499999999998,3,paired_static_diagnostic
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-4150.964492074272,-4560.172544124362,0.008999999999999994,-0.01913999999999999,2,paired_static_diagnostic
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-4194.72060919262,-6240.760869443024,-0.0064160000000000016,-0.026195999999999997,10,paired_static_diagnostic
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-4219.89282734337,-5447.51698349361,0.006524999999999996,-0.035029000000000005,6,paired_static_diagnostic
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-4254.064397062466,-4458.668423087511,-0.0012000000000000066,0.0016540000000000166,1,paired_static_diagnostic
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-4278.080830611609,-4687.288882661698,0.008633999999999996,-0.024850999999999984,2,paired_static_diagnostic
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-4635.206395193876,-5249.01847326901,0.009354999999999995,-0.021597000000000005,3,paired_static_diagnostic
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-4873.778340083227,-5692.194444183391,0.011725,-0.020824999999999982,4,paired_static_diagnostic
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-4916.652390250296,-6553.484598450625,0.006524999999999996,-0.038354,8,paired_static_diagnostic
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-4946.684376509918,-5560.496454585053,0.006524999999999996,-0.033826999999999996,3,paired_static_diagnostic
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-4960.310820675542,-6801.747054900901,0.004524999999999994,-0.039450999999999986,9,paired_static_diagnostic
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-5062.915393631323,-6290.5395497815625,0.006524999999999996,-0.02602399999999999,6,paired_static_diagnostic
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,alpha01_robust_region_static,-5088.634324229555,-5293.2383502546,0.010924999999999997,-0.024037000000000003,1,paired_static_diagnostic
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-5775.520966085722,-7412.3531742860505,0.006475999999999996,-0.042545,8,paired_static_diagnostic
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-6191.19212635234,-7828.024334552669,0.005524999999999995,-0.04519099999999998,8,paired_static_diagnostic
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-6442.451129718189,-7260.867233818353,0.006524999999999996,-0.02926799999999999,4,paired_static_diagnostic
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-6516.831884467509,-8153.664092667837,0.006524999999999996,-0.041824,8,paired_static_diagnostic
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-6566.774922487501,-7180.587000562635,0.006524999999999996,-0.030584,3,paired_static_diagnostic
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-6616.553666498774,-7639.5737966239685,0.005524999999999995,-0.044348,5,paired_static_diagnostic
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-6715.914840640966,-7125.122892691055,0.005524999999999995,-0.033271999999999996,2,paired_static_diagnostic
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-7348.175823220983,-8371.195953346178,0.006524999999999996,-0.03750899999999999,5,paired_static_diagnostic
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-7710.882227611321,-9143.110409786605,0.0035649999999999987,-0.05172199999999999,7,paired_static_diagnostic
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-8113.365774912585,-9954.802009137944,0.005524999999999995,-0.046214000000000005,9,paired_static_diagnostic
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-8138.2577730045305,-8956.673877104695,0.005524999999999995,-0.05048,4,paired_static_diagnostic
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,alpha01_robust_region_static,-8300.165118277364,-9527.789274427603,0.005524999999999995,-0.04080699999999998,6,paired_static_diagnostic
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,alpha01_robust_region_static,-9486.541380321025,-11327.977614546384,0.0025249999999999995,-0.05238099999999998,9,paired_static_diagnostic
