policy_id,source_family,base_cap_v45,max_share_v45,strict_pass_v45,committee_pass_v45,relaxed_pass_v45,pooling_rule_v45
v13_mdcp_empirical_base,income_band__dti_band,0.1,0.2145268478778255,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,original_grade,0.1,0.6257768478778255,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,original_grade__state_top20,0.1,0.108425,False,True,True,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,period,0.1,0.6018768478778255,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,score_decile,0.1,0.7134768478778255,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,score_decile__original_grade,0.1,0.6257768478778255,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_base,state_top20,0.1,0.2076,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,dti_band,0.1,0.493550000000856,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,income_band,0.1,0.472025,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,income_band__dti_band,0.1,0.195825,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,original_grade,0.1,0.4495826174367732,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,original_grade__state_top20,0.1,0.0807076174367733,True,True,True,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,period,0.1,0.4444673825640827,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,score_decile,0.1,0.5892076174367734,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,score_decile__original_grade,0.1,0.4495826174367732,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_return_recovery,state_top20,0.1,0.2255826174367733,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,dti_band,0.1,0.4662647058826071,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,income_band,0.1,0.6076421648686229,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,income_band__dti_band,0.2098529411771411,0.3180882352943718,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,original_grade,0.1,0.7860000000009247,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,original_grade__state_top20,0.1,0.1601764705882352,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,period,0.1,0.5700000000006707,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,score_decile,0.1,0.7860000000009247,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,score_decile__original_grade,0.1,0.7860000000009247,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_mdcp_empirical_tight,state_top20,0.1,0.195235294117647,False,False,True,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,income_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,income_band__dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,original_grade,0.1,0.5345570427023582,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,original_grade__state_top20,0.1,0.5345570427023582,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,period,0.1,0.3019757807520714,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,score_decile,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,score_decile__original_grade,0.1,0.5345570427023582,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_audit_guarded,state_top20,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,income_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,income_band__dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,original_grade,0.1,0.6966620872131482,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,original_grade__state_top20,0.1,0.6966620872131482,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,period,0.1,0.3224189691141301,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,score_decile,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,score_decile__original_grade,0.1,0.6966620872131482,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_balanced,state_top20,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,income_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,income_band__dti_band,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,original_grade,0.1,0.7761943608830878,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,original_grade__state_top20,0.1,0.7761943608830878,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,period,0.1,0.3283026564013664,False,False,False,pool cells with support <25 or exposure <1pct into parent family
v13_spo_regret_return_recovery,score_decile,0.1111111111111111,1.0,False,False,False,pool cells with support <25 or exposure <1pct into parent family
