policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,scenario_loss_mean,scenario_loss_max,scenario_loss_cvar90,floor_v11,tested_cvar_cap_v11,feasible_v11,pool_n_v11,universe_n_v11,topk_expansion_vs_v10,warm_start_source_v11,solver_lane_v11,pool_design_v11,auditability_score_v11,non_dominated_v11
v11_cvar_topk18000_floor125000_cap135000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.4339044840016868,,,,,,,0,0.0,,,,,,,,,125000.0,135000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor125000_cap159750,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.5060503970016725,,,,,,,0,0.0,,,,,,,,,125000.0,159750.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor125000_cap165000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.5271279360022163,,,,,,,0,0.0,,,,,,,,,125000.0,165000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor125000_cap178124,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.2896317379927495,,,,,,,0,0.0,,,,,,,,,125000.0,178124.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor125000_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1666004470025655,,,,,,,0,0.0,,,,,,,,,125000.0,210000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor125000_cap224999,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.2334138080041157,,,,,,,0,0.0,,,,,,,,,125000.0,224999.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor145000_cap135000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1290455470007146,,,,,,,0,0.0,,,,,,,,,145000.0,135000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor145000_cap159750,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.141911009006435,,,,,,,0,0.0,,,,,,,,,145000.0,159750.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor145000_cap165000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.4630369810038246,,,,,,,0,0.0,,,,,,,,,145000.0,165000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor145000_cap178124,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.4287061539944261,,,,,,,0,0.0,,,,,,,,,145000.0,178124.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor145000_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.2749439719918882,,,,,,,0,0.0,,,,,,,,,145000.0,210000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor145000_cap224999,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.3158899420086527,,,,,,,0,0.0,,,,,,,,,145000.0,224999.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor145000_cap255925,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.3256843279959867,,,,,,,0,0.0,,,,,,,,,145000.0,255925.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor160000_cap159750,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.6269846420036629,,,,,,,0,0.0,,,,,,,,,160000.0,159750.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor160000_cap165000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.2661880719970213,,,,,,,0,0.0,,,,,,,,,160000.0,165000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor160000_cap178124,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.2630761189939221,,,,,,,0,0.0,,,,,,,,,160000.0,178124.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor160000_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1609304940066068,,,,,,,0,0.0,,,,,,,,,160000.0,210000.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor160000_cap224999,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.4151732820027974,,,,,,,0,0.0,,,,,,,,,160000.0,224999.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
v11_cvar_topk18000_floor160000_cap255925,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.338327345001744,,,,,,,0,0.0,,,,,,,,,160000.0,255925.0,False,18000,276869,1.5,v10_non_dominated_cvar_quantiles_plus_low_caps,balanced_larger_topk_warm_cvar_constraint,balanced_topk_score_lowpd_lowtail_returnperpd,,False
