horizon_months,strategy,month_idx,state_cash,coverage_signal,cumulative_losses,cumulative_expected_loss,chosen_action
12,dynamic_online_guarded,3,1063784.2205037333,1.0,0.0,6627.000987849748,fund_return
12,dynamic_online_guarded,4,1096269.0232170818,1.0,0.0,9937.24108242322,fund_return
12,dynamic_online_guarded,5,1131957.6185307293,1.0,0.0,13526.094131332644,fund_return
12,dynamic_online_guarded,6,1170194.8090641287,1.0,0.0,17282.83985170858,fund_return
12,dynamic_online_guarded,7,1210580.0722778626,1.0,0.0,21158.007435803207,fund_return
12,dynamic_online_guarded,8,1252792.7115149226,1.0,0.0,25122.152154812,fund_return
12,dynamic_online_guarded,9,1296729.2505808854,1.0,0.0,29149.32999290114,fund_return
12,dynamic_online_guarded,10,1342352.384739038,1.0,0.0,33230.5664975637,fund_return
12,dynamic_online_guarded,11,1389646.9670648356,1.0,0.0,37352.35746235539,fund_return
12,dynamic_online_guarded,12,1438508.2376169364,1.0,0.0,41532.62039818196,fund_return
12,dynamic_return,1,1013530.3207103618,1.0,0.0,1653.8047216780021,fund_return
12,dynamic_return,2,1035946.8652442155,1.0,0.0,4220.427195318572,fund_return
12,dynamic_return,3,1064499.9310768577,1.0,0.0,7501.566742168601,fund_return
12,dynamic_return,4,1097335.5248213143,1.0,0.0,11233.883826739771,fund_return
12,dynamic_return,5,1133408.9791185586,1.0,0.0,15278.648784509725,fund_return
12,dynamic_return,6,1172061.2144445814,1.0,0.0,19517.818828345877,fund_return
12,dynamic_return,7,1212886.768600995,1.0,0.0,23892.617373084344,fund_return
12,dynamic_return,8,1255561.7801892273,1.0,0.0,28377.757048022933,fund_return
12,dynamic_return,9,1299984.6609990671,1.0,0.0,32937.309963099404,fund_return
12,dynamic_return,10,1346114.6068991672,1.0,0.0,37567.62101305179,fund_return
12,dynamic_return,11,1393939.1362682688,1.0,0.0,42245.65269227658,fund_return
12,dynamic_return,12,1443357.1683155466,1.0,0.0,46991.19327270907,fund_return
