policy_id,source_family,worst_source_coverage_alpha01,worst_source_ecl,sources,mdcp_proxy_pass,status
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,period,0.9090909090909091,35204.61049860435,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,0.7272727272727273,40778.52773854118,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,12949.55177048367,19,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,period,0.9111111111111111,33083.35389590988,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.8888888888888888,37111.14950369431,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6666666666666667,12061.60420992484,19,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9222222222222223,32699.581019630612,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,0.9090909090909091,36967.64940204402,6,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,11614.478324842541,19,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,period,0.9166666666666666,33026.53475849432,5,True,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,0.6666666666666667,40317.89101694271,6,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,11263.888151192237,20,False,mdcp_worst_source_proxy
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,period,0.9148936170212766,30975.65473835491,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.7333333333333334,42804.708076854185,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.5,14792.344510667688,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9036144578313253,36535.632079468356,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,0.8333333333333334,42411.982512321396,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,14000.691580207453,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,period,0.9090909090909091,35998.2607342113,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8,48663.981440869145,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,14665.66786632521,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,period,0.9047619047619048,33641.53863594406,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.8571428571428572,39777.931637341055,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6666666666666667,11188.25960967357,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9148936170212766,35937.14075392707,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,0.8,39329.878248244255,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.5,14513.266237309206,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,period,0.8974358974358975,37806.63505680084,5,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,0.8125,41885.45971209894,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,13953.040518053094,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,period,0.9024390243902439,36146.95481108492,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,0.75,35427.6987937117,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade_period,0.6666666666666667,11363.285658850189,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,period,0.9247311827956989,33513.97598285474,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,0.9090909090909091,37196.76030822847,6,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade_period,0.6666666666666667,11263.888151192237,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,period,0.9130434782608696,31479.3576357717,5,True,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,0.75,42834.97323801596,6,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade_period,0.5,13270.092584804554,19,False,mdcp_worst_source_proxy
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,period,0.9069767441860466,30997.760059256194,5,True,mdcp_worst_source_proxy
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,grade,0.7777777777777778,45031.26424346336,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,grade_period,0.6,17244.04895361045,19,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,period,0.9080459770114943,38229.47495503339,5,True,mdcp_worst_source_proxy
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,grade,0.8235294117647058,47162.76866305189,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,grade_period,0.75,18198.679127242358,19,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,period,0.898876404494382,39964.85695166505,5,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,grade,0.75,42441.71219506745,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,grade_period,0.6666666666666667,13803.792573697483,19,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,period,0.9247311827956989,36370.533860530675,5,True,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,grade,0.8125,43418.22293970931,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,grade_period,0.75,14164.251890948874,19,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,period,0.9047619047619048,36913.723626347506,5,True,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,grade,0.8,44729.76147309238,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,grade_period,0.5,14447.465676940115,19,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,period,0.9024390243902439,35325.42219707437,5,True,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,grade,0.8,38329.4980763504,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,grade_period,0.75,11425.75398219508,19,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,period,0.9148936170212766,34214.63510304124,5,True,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,grade,0.8461538461538461,40478.425406872266,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,grade_period,0.6666666666666667,13281.418406758568,18,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,period,0.9069767441860466,31515.8902952657,5,True,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,grade,0.8461538461538461,42982.970953554795,6,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,grade_period,0.5,14220.182578458958,19,False,mdcp_worst_source_proxy
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,period,0.9047619047619048,33855.75902899115,5,True,mdcp_worst_source_proxy
paper1_economic_champion,grade,0.8461538461538461,69077.73141712739,7,False,mdcp_worst_source_proxy
paper1_economic_champion,grade_period,0.5,33548.8327150202,24,False,mdcp_worst_source_proxy
paper1_economic_champion,period,0.8863636363636364,39759.439995916604,5,False,mdcp_worst_source_proxy
