policy_id,loan_id,issue_month,loan_amnt,funded_exposure,surrogate_score_v8,pd_high_alpha01,qhat_v4,weak_source_proxy,realized_return_proxy_lgd45
v8_dfl_surrogate_w0p02_s0p02_e0p45,130751504,2018-03-01,40000.0,40000.0,1256.2696992518268,0.10310586199790928,0.8436816790555313,0.3333333333333333,3772.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,143477132,2018-11-01,40000.0,40000.0,1427.6826115830386,0.03672906242751414,0.8436816790555313,0.3333333333333333,3024.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,150670796,2019-04-01,30000.0,30000.0,1415.4154748826961,0.11999851469006251,0.8436816790555313,0.3333333333333333,3924.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,149046773,2019-04-01,35000.0,35000.0,1291.4718100947364,0.10088732097181267,0.8436816790555313,0.3333333333333333,3856.9999999999995
v8_dfl_surrogate_w0p02_s0p02_e0p70,140978428,2018-10-01,8500.0,8500.0,1228.3401544125122,0.1888440017299619,0.8436816790555313,0.6666666666666666,2317.95
v8_dfl_surrogate_w0p02_s0p02_e0p70,157501355,2019-08-01,40000.0,40000.0,1221.538347246663,0.1504443713101714,0.8436816790555313,0.3333333333333333,-18000.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,149445142,2019-04-01,32825.0,32825.0,1209.6528385537372,0.03437983267750509,0.8436816790555313,0.3333333333333333,2481.57
v8_dfl_surrogate_w0p02_s0p02_e0p70,165418646,2020-01-01,40000.0,40000.0,1187.9574044542615,0.04866837354205124,0.8436816790555313,0.3333333333333333,3024.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,158608870,2019-09-01,35000.0,35000.0,1161.8964386863827,0.14560681191071068,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,150606866,2019-04-01,40000.0,40000.0,1152.2933202612348,0.10310586199790928,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,145082939,2018-12-01,35000.0,35000.0,1144.7566552285807,0.10310586199790928,0.8436816790555313,0.3333333333333333,3752.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,131106023,2018-04-01,39200.0,39200.0,1144.464752001758,0.05746866290426758,0.8436816790555313,0.3333333333333333,3120.32
v8_dfl_surrogate_w0p02_s0p02_e0p70,158731315,2019-09-01,40000.0,40000.0,1132.9866254752274,0.029313703361175232,0.8436816790555313,0.3333333333333333,2584.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,127016013,2018-01-01,35150.0,35150.0,1078.4359755555986,0.10310586199790928,0.55,0.3333333333333333,3490.395
v8_dfl_surrogate_w0p02_s0p02_e0p70,143009280,2018-11-01,40000.0,40000.0,1071.6826115830381,0.03672906242751414,0.8436816790555313,0.3333333333333333,2668.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,134190481,2018-05-01,40000.0,40000.0,1057.200597340065,0.040672270597782514,0.8436816790555313,0.3333333333333333,2732.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,133102867,2018-05-01,40000.0,40000.0,1048.2933202612348,0.10310586199790928,0.8436816790555313,0.3333333333333333,-18000.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,128154080,2018-02-01,35000.0,35000.0,1039.7566552285807,0.10310586199790928,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,127164594,2018-01-01,40000.0,40000.0,1031.2386635056596,0.10310586199790928,0.55,0.3333333333333333,3776.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,156829766,2019-08-01,28875.0,28875.0,1031.0492405635785,0.10310586199790928,0.8436816790555313,0.3333333333333333,3182.0249999999996
v8_dfl_surrogate_w0p02_s0p02_e0p70,144018090,2018-11-01,11450.0,11450.0,997.6428412697035,0.2222387509610818,0.8436816790555313,0.6666666666666666,2679.2999999999997
v8_dfl_surrogate_w0p02_s0p02_e0p70,127545027,2018-01-01,30000.0,30000.0,994.970966120597,0.03672906242751414,0.55,0.3333333333333333,2015.9999999999998
v8_dfl_surrogate_w0p02_s0p02_e0p70,147304886,2019-02-01,19600.0,19600.0,978.7937901508647,0.1504443713101714,0.8436816790555313,0.3333333333333333,2943.92
v8_dfl_surrogate_w0p02_s0p02_e0p70,142773652,2018-11-01,40000.0,40000.0,941.6266535945683,0.10310586199790928,0.8436816790555313,0.6666666666666666,4188.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,138240169,2018-08-01,35000.0,35000.0,937.7222851351581,0.03672906242751414,0.8436816790555313,0.3333333333333333,2334.5
v8_dfl_surrogate_w0p02_s0p02_e0p70,168744464,2020-04-01,15000.0,15000.0,893.2150884638518,0.2222387509610818,0.8311503416856492,0.3333333333333333,2992.4999999999995
v8_dfl_surrogate_w0p02_s0p02_e0p70,134782210,2018-06-01,40000.0,40000.0,874.294583036192,0.04973338995799062,0.8436816790555313,0.3333333333333333,2732.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,133849436,2018-05-01,40000.0,40000.0,869.0159449163715,0.03672906242751414,0.8436816790555313,0.6666666666666666,2732.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,140575001,2018-09-01,40000.0,40000.0,867.8211755119978,0.05746866290426758,0.8436816790555313,0.3333333333333333,2884.0
v8_dfl_surrogate_w0p02_s0p02_e0p70,140192208,2018-09-01,40000.0,40000.0,867.8211755119978,0.05746866290426758,0.8436816790555313,0.3333333333333333,2884.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,157501355,2019-08-01,40000.0,40000.0,2042.2043557048721,0.1504443713101714,0.8436816790555313,0.3333333333333333,-18000.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,135254477,2018-07-01,35000.0,35000.0,1849.1844043416374,0.1888440017299619,0.8436816790555313,0.3333333333333333,5082.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,158608870,2019-09-01,35000.0,35000.0,1841.8834158165628,0.14560681191071068,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,150670796,2019-04-01,30000.0,30000.0,1825.4054490406181,0.11999851469006251,0.8436816790555313,0.3333333333333333,3924.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,138962816,2018-08-01,40000.0,40000.0,1709.548209741453,0.16519382061810706,0.8436816790555313,0.3333333333333333,5092.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,149046773,2019-04-01,35000.0,35000.0,1619.2927960810946,0.10088732097181267,0.8436816790555313,0.3333333333333333,3856.9999999999995
