cvar_policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u
formal_cvar_rt0.175_pen0.50,severe_high,2.0,0.68,66545.62848429808,0.0
formal_cvar_rt0.175_pen1.00,baseline_low,0.95,0.42,12511.203165067347,0.0
formal_cvar_rt0.175_pen1.00,baseline_mid,1.0,0.45,14110.379509474451,0.0
formal_cvar_rt0.175_pen1.00,baseline_high,1.08,0.48,16255.157194914573,0.0
formal_cvar_rt0.175_pen1.00,adverse_low,1.2,0.52,19566.392919804573,0.0
formal_cvar_rt0.175_pen1.00,adverse_mid,1.35,0.55,23282.126190632847,0.0
formal_cvar_rt0.175_pen1.00,adverse_high,1.5,0.58,27280.067051650607,0.0
formal_cvar_rt0.175_pen1.00,severe_low,1.6,0.62,31105.547718663685,0.0
formal_cvar_rt0.175_pen1.00,severe_mid,1.8,0.65,36686.98672463358,0.0
formal_cvar_rt0.175_pen1.00,severe_high,2.0,0.68,42644.70251752278,0.0
