loan_index_v49,loan_id,issue_month,loan_amnt,base_return_vec,pd_point,pd_high_alpha01,qhat_v4,weak_source_proxy,grade,period,score_decile,state_top20,income_band,dti_band
21,135935802,2018-06,1000.0,203.9,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H1,2,IL,inc_q4,dti_q4
22,135930178,2018-06,2500.0,411.5,0.07884275618374559,0.1763215520383397,0.0,0.0,C,2018H1,1,NC,inc_q5,dti_q3
23,135320319,2018-06,4000.0,619.6,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2018H1,1,MI,inc_q5,dti_q2
24,135730613,2018-06,3000.0,524.1,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,CA,inc_q4,dti_q3
25,135723306,2018-06,1000.0,184.5,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H1,1,other_state,inc_q4,dti_q3
26,135646852,2018-06,2500.0,742.25,0.13229678123295147,0.6804503310767509,0.0,0.0,F,2018H1,3,FL,inc_q5,dti_q2
27,135660756,2018-06,2000.0,613.0,0.18108108108108106,0.7208482755419188,0.0,0.0,F,2018H1,4,CA,inc_q4,dti_q4
28,135590246,2018-06,3000.0,524.1,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,VA,inc_q5,dti_q5
29,135536499,2018-06,2500.0,485.50000000000006,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H1,2,VA,inc_q5,dti_q2
30,135530216,2018-06,1000.0,184.5,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,MN,inc_q1,dti_q1
31,134815317,2018-06,2500.0,461.25,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,PA,inc_q4,dti_q1
32,133773421,2018-06,3500.0,679.7,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H1,1,GA,inc_q5,dti_q3
33,134420497,2018-05,1000.0,140.29999999999998,0.06265891754449691,0.14560681191071068,0.0,0.0,C,2018H1,1,MD,inc_q5,dti_q3
34,133746505,2018-05,1500.0,327.75000000000006,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H1,1,CA,inc_q4,dti_q2
35,133758318,2018-05,1000.0,296.9,0.15631832094446874,0.7280383093137194,0.0,0.0,F,2018H1,3,PA,inc_q3,dti_q5
36,133121640,2018-05,3025.0,468.57250000000005,0.07884275618374559,0.1763215520383397,0.0,0.0,C,2018H1,1,GA,inc_q3,dti_q1
37,132763190,2018-05,2000.0,477.40000000000003,0.1036832164058284,0.2222387509610818,0.0,0.0,E,2018H1,2,OH,inc_q4,dti_q5
38,132927446,2018-05,3025.0,425.61749999999995,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2018H1,1,GA,inc_q4,dti_q1
39,132826039,2018-05,1000.0,140.7,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2018H1,1,MD,inc_q4,dti_q1
40,132493306,2018-05,2500.0,436.75,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H1,2,TX,inc_q4,dti_q5
41,132370030,2018-04,1200.0,143.76,0.04105337825855648,0.10310586199790928,0.0,0.0,B,2018H1,0,NY,inc_q2,dti_q1
42,132331246,2018-04,1800.0,244.44,0.04951033732317737,0.11999851469006251,0.0,0.0,C,2018H1,0,other_state,inc_q5,dti_q1
43,131486728,2018-04,2000.0,349.4,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H1,1,other_state,inc_q4,dti_q1
44,140967563,2018-09,1450.0,234.03000000000003,0.07884275618374559,0.1763215520383397,0.0,0.0,C,2018H2,1,OH,inc_q2,dti_q1
45,141017853,2018-09,1000.0,243.7,0.08291049320073066,0.1839309243202601,0.0,0.0,E,2018H2,1,VA,inc_q5,dti_q1
46,140861718,2018-09,1000.0,179.7,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,MD,inc_q4,dti_q5
47,140960427,2018-09,1400.0,278.88,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,IL,inc_q4,dti_q1
48,140832910,2018-09,8000.0,1437.6,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H2,1,other_state,inc_q5,dti_q1
49,140891933,2018-09,3000.0,507.3,0.08220889555222388,0.1826212820799739,0.0,0.0,C,2018H2,1,other_state,inc_q5,dti_q2
50,140556105,2018-09,6000.0,1195.2,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H2,1,NV,inc_q4,dti_q1
51,140623777,2018-09,3000.0,670.5,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H2,1,IL,inc_q5,dti_q5
52,140235044,2018-09,3000.0,539.1,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,CA,inc_q5,dti_q4
53,140230494,2018-09,1125.0,235.0125,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H2,1,other_state,inc_q2,dti_q2
54,138217359,2018-09,2400.0,584.88,0.1036832164058284,0.2222387509610818,0.0,0.0,E,2018H2,2,NV,inc_q5,dti_q1
55,139851156,2018-09,1500.0,445.35,0.1494508062631456,0.7211707946323962,0.0,0.0,F,2018H2,3,other_state,inc_q2,dti_q1
56,139458494,2018-08,1000.0,208.9,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,WA,inc_q5,dti_q2
57,139352309,2018-08,1000.0,307.90000000000003,0.15631832094446874,0.7280383093137194,0.0,0.0,G,2018H2,3,NC,inc_q3,dti_q4
58,139107896,2018-08,1000.0,189.4,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,MD,inc_q5,dti_q3
59,139077050,2018-08,3000.0,302.4,0.024111675126903553,0.06772455868167604,0.0,0.0,B,2018H2,0,AZ,inc_q1,dti_q1
60,139057087,2018-08,3000.0,626.7,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H2,2,FL,inc_q5,dti_q1
61,138929757,2018-08,1000.0,127.3,0.04951033732317737,0.11999851469006251,0.0,0.0,B,2018H2,0,CO,inc_q5,dti_q1
62,138754571,2018-08,1000.0,189.4,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,CA,inc_q2,dti_q1
63,138191168,2018-08,4000.0,645.6,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2018H2,1,other_state,inc_q5,dti_q2
64,138239745,2018-08,1000.0,135.6,0.04951033732317737,0.11999851469006251,0.0,0.0,C,2018H2,0,MI,inc_q5,dti_q3
65,136969540,2018-08,1000.0,161.4,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2018H2,1,other_state,inc_q2,dti_q4
66,138079280,2018-08,3000.0,450.6,0.05439739413680782,0.12959865275371413,0.0,0.0,C,2018H2,0,CA,inc_q5,dti_q1
67,137978617,2018-08,3775.0,638.3525,0.0855479247536578,0.1888440017299619,0.0,0.0,C,2018H2,2,other_state,inc_q5,dti_q2
68,137959011,2018-08,1800.0,402.3,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H2,2,CA,inc_q3,dti_q3
69,137358540,2018-08,1000.0,253.4,0.11742424242424243,0.6335224481862414,0.0,0.0,E,2018H2,2,OH,inc_q2,dti_q2
70,137793280,2018-07,1000.0,296.9,0.1036832164058284,0.5881108419200473,0.0,0.0,F,2018H2,2,CA,inc_q5,dti_q2
71,137741627,2018-07,2500.0,585.0,0.08291049320073066,0.1839309243202601,0.0,0.0,E,2018H2,1,AZ,inc_q5,dti_q1
72,137677350,2018-07,1000.0,296.9,0.1140973630831643,0.6227210976097344,0.0,0.0,F,2018H2,2,WA,inc_q3,dti_q3
73,137385490,2018-07,1325.0,238.1025,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,TX,inc_q1,dti_q2
74,137445935,2018-07,2800.0,405.15999999999997,0.06265891754449691,0.14560681191071068,0.0,0.0,C,2018H2,1,other_state,inc_q5,dti_q2
75,137368499,2018-07,3000.0,861.6,0.14135656066274718,0.708044466965465,0.0,0.0,F,2018H2,3,TX,inc_q4,dti_q4
76,137380434,2018-07,1000.0,253.4,0.0993485342019544,0.2143136424801892,0.0,0.0,E,2018H2,2,VA,inc_q3,dti_q4
77,136902861,2018-07,1400.0,381.78,0.12696250162190215,0.6638629128366242,0.0,0.0,E,2018H2,2,TX,inc_q4,dti_q2
78,137133894,2018-07,1000.0,161.4,0.07978075517661389,0.17807977699282082,0.0,0.0,C,2018H2,1,other_state,inc_q1,dti_q2
79,136303096,2018-07,1000.0,287.2,0.1445276673800061,0.7162476557492568,0.0,0.0,F,2018H2,3,NC,inc_q2,dti_q1
80,136819183,2018-07,3500.0,662.9000000000001,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H2,2,TX,inc_q5,dti_q2
81,136918234,2018-07,1000.0,287.2,0.08291049320073066,0.1839309243202601,0.0,0.0,F,2018H2,1,NY,inc_q5,dti_q1
82,136916643,2018-07,1000.0,263.1,0.1036832164058284,0.2222387509610818,0.0,0.0,E,2018H2,2,PA,inc_q4,dti_q2
83,136738401,2018-07,5500.0,1340.35,0.1036832164058284,0.2222387509610818,0.0,0.0,E,2018H2,2,TX,inc_q4,dti_q2
84,136607660,2018-07,1000.0,179.7,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H2,2,MI,inc_q3,dti_q2
85,136288831,2018-07,1000.0,208.9,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H2,2,other_state,inc_q3,dti_q4
86,136272811,2018-07,2000.0,254.6,0.04951033732317737,0.11999851469006251,0.0,0.0,B,2018H2,0,MD,inc_q5,dti_q2
87,136210063,2018-07,1000.0,234.0,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H2,2,MD,inc_q5,dti_q1
88,145631603,2018-12,1500.0,269.55,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,MD,inc_q2,dti_q4
89,145538761,2018-12,1200.0,193.68,0.0855479247536578,0.1888440017299619,0.0,0.0,C,2018H2,2,other_state,inc_q4,dti_q1
90,145493981,2018-12,1000.0,234.0,0.0993485342019544,0.2143136424801892,0.0,0.0,E,2018H2,2,other_state,inc_q3,dti_q3
91,145248195,2018-12,1500.0,225.3,0.05439739413680782,0.12959865275371413,0.0,0.0,C,2018H2,0,PA,inc_q5,dti_q4
92,145268963,2018-12,3000.0,568.2,0.06265891754449691,0.14560681191071068,0.0,0.0,D,2018H2,1,NY,inc_q5,dti_q1
93,145133997,2018-12,13800.0,2072.76,0.05439739413680782,0.12959865275371413,0.0,0.0,C,2018H2,0,GA,inc_q5,dti_q1
94,145217286,2018-12,3500.0,564.9000000000001,0.07293381626605203,0.16519382061810706,0.0,0.0,C,2018H2,1,CA,inc_q4,dti_q1
95,145196817,2018-12,1500.0,177.0,0.04105337825855648,0.10310586199790928,0.0,0.0,B,2018H2,0,other_state,inc_q3,dti_q1
96,145071977,2018-12,1000.0,234.0,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H2,2,other_state,inc_q5,dti_q3
97,145045334,2018-12,1000.0,308.40000000000003,0.18108108108108106,0.7208482755419188,0.0,0.0,G,2018H2,4,MI,inc_q1,dti_q2
98,144995110,2018-12,2000.0,468.0,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H2,2,WA,inc_q4,dti_q3
99,144990730,2018-12,1400.0,251.57999999999998,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2018H2,2,VA,inc_q3,dti_q4
100,144966120,2018-12,4000.0,645.6,0.08220889555222388,0.1826212820799739,0.0,0.0,C,2018H2,1,CA,inc_q3,dti_q1
101,144906591,2018-12,2500.0,449.25,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2018H2,2,other_state,inc_q4,dti_q1
102,144913322,2018-12,1000.0,272.7,0.11742424242424243,0.6335224481862414,0.0,0.0,E,2018H2,2,other_state,inc_q4,dti_q2
103,144900410,2018-12,4800.0,811.68,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2018H2,1,NC,inc_q5,dti_q4
104,144651364,2018-12,1000.0,169.1,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2018H2,1,other_state,inc_q4,dti_q2
105,144251194,2018-12,5000.0,1267.0,0.11819172113289761,0.6359976373230543,0.0,0.0,E,2018H2,2,NJ,inc_q5,dti_q3
106,144364395,2018-11,3000.0,568.2,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,VA,inc_q5,dti_q3
107,144322662,2018-11,1600.0,258.24,0.08220889555222388,0.1826212820799739,0.0,0.0,C,2018H2,1,other_state,inc_q3,dti_q2
108,144306607,2018-11,1100.0,257.4,0.08291049320073066,0.1839309243202601,0.0,0.0,E,2018H2,1,NY,inc_q3,dti_q1
109,144038628,2018-11,1000.0,243.7,0.0993485342019544,0.2143136424801892,0.0,0.0,E,2018H2,2,IL,inc_q4,dti_q2
110,144018090,2018-11,11450.0,2679.2999999999997,0.1036832164058284,0.2222387509610818,0.0,0.0,E,2018H2,2,IN,inc_q5,dti_q1
111,144151573,2018-11,8000.0,1593.6000000000001,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,NV,inc_q5,dti_q1
112,143972072,2018-11,6000.0,1136.4,0.07293381626605203,0.16519382061810706,0.0,0.0,D,2018H2,1,CA,inc_q5,dti_q2
113,144132671,2018-11,2000.0,322.8,0.07293381626605203,0.16519382061810706,0.0,0.0,C,2018H2,1,NC,inc_q4,dti_q2
114,143971049,2018-11,2000.0,359.4,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,MI,inc_q4,dti_q3
115,144003759,2018-11,2200.0,438.24,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,TX,inc_q4,dti_q3
116,142890431,2018-11,3000.0,597.6,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,PA,inc_q4,dti_q3
117,143862358,2018-11,1000.0,179.7,0.07293381626605203,0.16519382061810706,0.0,0.0,D,2018H2,1,other_state,inc_q4,dti_q2
118,143784342,2018-11,1000.0,208.9,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,WA,inc_q5,dti_q1
119,143738130,2018-11,2000.0,236.00000000000003,0.0359375,0.09267741926538706,0.0,0.0,B,2018H2,0,other_state,inc_q4,dti_q1
120,143476008,2018-11,2500.0,657.75,0.12696250162190215,0.6638629128366242,0.0,0.0,E,2018H2,3,MD,inc_q4,dti_q3
121,143270876,2018-11,1000.0,263.1,0.12696250162190215,0.6638629128366242,0.0,0.0,E,2018H2,3,other_state,inc_q2,dti_q3
122,143293919,2018-11,1400.0,292.46,0.06265891754449691,0.14560681191071068,0.0,0.0,D,2018H2,1,WA,inc_q5,dti_q4
123,143472152,2018-11,1000.0,243.7,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H2,2,OH,inc_q4,dti_q4
124,143298636,2018-11,1000.0,169.1,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2018H2,1,other_state,inc_q2,dti_q3
125,143127376,2018-11,1000.0,272.7,0.11742424242424243,0.6335224481862414,0.0,0.0,E,2018H2,2,CA,inc_q4,dti_q1
126,143157007,2018-11,1000.0,243.7,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H2,2,other_state,inc_q3,dti_q4
127,143136725,2018-11,1000.0,307.5,0.1445276673800061,0.7162476557492568,0.0,0.0,F,2018H2,3,OH,inc_q2,dti_q4
128,143029391,2018-11,1000.0,169.1,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2018H2,1,IL,inc_q3,dti_q1
129,143080063,2018-11,1000.0,234.0,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H2,2,TX,inc_q2,dti_q1
130,142970101,2018-11,1000.0,127.3,0.04105337825855648,0.10310586199790928,0.0,0.0,B,2018H2,0,IL,inc_q5,dti_q1
131,142519646,2018-10,5000.0,577.5,0.0359375,0.09267741926538706,0.0,0.0,B,2018H2,0,other_state,inc_q5,dti_q1
132,141934180,2018-10,12025.0,3279.2175,0.12696250162190215,0.6638629128366242,0.0,0.0,E,2018H2,3,CA,inc_q5,dti_q2
133,142000768,2018-10,1600.0,270.56,0.07978075517661389,0.17807977699282082,0.0,0.0,C,2018H2,1,OH,inc_q2,dti_q1
134,142037168,2018-10,1000.0,272.7,0.0993485342019544,0.2143136424801892,0.0,0.0,E,2018H2,2,NJ,inc_q5,dti_q1
135,141981922,2018-10,1000.0,199.20000000000002,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2018H2,2,AZ,inc_q3,dti_q1
136,141907560,2018-10,2000.0,322.8,0.0855479247536578,0.1888440017299619,0.0,0.0,C,2018H2,2,NY,inc_q3,dti_q1
137,141624140,2018-10,35000.0,6289.5,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,NJ,inc_q5,dti_q1
138,141665611,2018-10,1600.0,240.32,0.05439739413680782,0.12959865275371413,0.0,0.0,C,2018H2,1,other_state,inc_q3,dti_q2
139,141467531,2018-10,2800.0,451.92,0.08220889555222388,0.1826212820799739,0.0,0.0,C,2018H2,1,NV,inc_q5,dti_q1
140,141418011,2018-10,2500.0,422.75,0.0855479247536578,0.1888440017299619,0.0,0.0,C,2018H2,2,CA,inc_q5,dti_q2
141,140277690,2018-10,1000.0,243.7,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2018H2,2,FL,inc_q5,dti_q3
142,141250780,2018-10,1000.0,253.4,0.11819172113289761,0.6359976373230543,0.0,0.0,E,2018H2,2,IN,inc_q3,dti_q3
143,139514911,2018-10,2500.0,449.25,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2018H2,1,NC,inc_q3,dti_q5
144,140978428,2018-10,8500.0,2317.95,0.0855479247536578,0.1888440017299619,0.0,0.0,E,2018H2,2,NJ,inc_q5,dti_q2
145,149305803,2019-03,3000.0,600.0,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2019H1,2,AZ,inc_q5,dti_q5
146,149155031,2019-03,1000.0,288.00000000000006,0.11742424242424243,0.6335224481862414,0.0,0.0,D,2019H1,2,TX,inc_q4,dti_q3
147,148895799,2019-03,1800.0,518.4000000000001,0.1445276673800061,0.7162476557492568,0.0,0.0,D,2019H1,3,CA,inc_q4,dti_q4
148,149074718,2019-03,3200.0,550.08,0.0855479247536578,0.1888440017299619,0.0,0.0,C,2019H1,2,NJ,inc_q5,dti_q2
149,148960870,2019-03,8000.0,1437.6,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2019H1,2,AZ,inc_q5,dti_q4
150,148844217,2019-03,3000.0,330.59999999999997,0.030262143407864303,0.080874323411772,0.0,0.0,B,2019H1,0,NV,inc_q3,dti_q1
151,148756705,2019-03,1000.0,139.0,0.04951033732317737,0.11999851469006251,0.0,0.0,C,2019H1,0,PA,inc_q5,dti_q2
152,148747758,2019-03,1200.0,186.84,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2019H1,1,CA,inc_q4,dti_q1
153,148728064,2019-03,1200.0,345.6,0.139161220043573,0.7014222158442932,0.0,0.0,D,2019H1,3,TX,inc_q4,dti_q4
154,147645935,2019-03,1000.0,234.0,0.0855479247536578,0.1888440017299619,0.0,0.0,E,2019H1,2,CA,inc_q5,dti_q2
155,148699710,2019-03,1000.0,171.90000000000003,0.0993485342019544,0.2143136424801892,0.0,0.0,C,2019H1,2,OH,inc_q2,dti_q4
156,148588666,2019-03,1000.0,288.00000000000006,0.1036832164058284,0.5881108419200473,0.0,0.0,D,2019H1,2,VA,inc_q3,dti_q3
157,148673813,2019-03,1200.0,345.6,0.1445276673800061,0.7162476557492568,0.0,0.0,D,2019H1,3,CA,inc_q4,dti_q1
158,148590971,2019-03,2800.0,560.0,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2019H1,2,IN,inc_q5,dti_q2
159,148321707,2019-03,1000.0,289.5,0.12696250162190215,0.6638629128366242,0.0,0.0,E,2019H1,3,FL,inc_q2,dti_q3
160,148217878,2019-03,1000.0,301.70000000000005,0.16884965831435078,0.7405696466836014,0.0,0.0,F,2019H1,4,NY,inc_q3,dti_q5
161,148266260,2019-02,1000.0,288.00000000000006,0.139161220043573,0.7014222158442932,0.0,0.0,D,2019H1,3,TX,inc_q4,dti_q2
162,148025050,2019-02,2000.0,400.0,0.06518058690744921,0.1504443713101714,0.0,0.0,D,2019H1,1,MD,inc_q2,dti_q1
163,148094201,2019-02,3500.0,434.0,0.04105337825855648,0.10310586199790928,0.0,0.0,B,2019H1,0,VA,inc_q5,dti_q1
164,147594418,2019-02,3200.0,748.8,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2019H1,2,NY,inc_q5,dti_q2
165,147944552,2019-02,1000.0,288.00000000000006,0.11742424242424243,0.6335224481862414,0.0,0.0,D,2019H1,2,TX,inc_q5,dti_q1
166,147304886,2019-02,19600.0,2943.92,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2019H1,1,CA,inc_q5,dti_q2
167,147720593,2019-02,1500.0,351.0,0.1036832164058284,0.5881108419200473,0.0,0.0,E,2019H1,2,TX,inc_q5,dti_q2
168,147549978,2019-02,3200.0,606.08,0.0855479247536578,0.1888440017299619,0.0,0.0,D,2019H1,2,VA,inc_q4,dti_q3
169,147003351,2019-02,1000.0,308.40000000000003,0.18812104787714545,0.7383968837047618,0.0,0.0,G,2019H1,4,CA,inc_q1,dti_q3
170,147424663,2019-02,4000.0,718.8,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2019H1,2,other_state,inc_q5,dti_q5
171,147397394,2019-02,3000.0,626.7,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2019H1,2,WA,inc_q5,dti_q4
172,147001060,2019-02,1000.0,308.40000000000003,0.15631832094446874,0.7280383093137194,0.0,0.0,G,2019H1,3,MN,inc_q3,dti_q4
173,147290616,2019-02,5450.0,818.59,0.05439739413680782,0.12959865275371413,0.0,0.0,C,2019H1,1,GA,inc_q5,dti_q3
174,147134347,2019-02,1000.0,189.4,0.1036832164058284,0.2222387509610818,0.0,0.0,D,2019H1,2,MD,inc_q4,dti_q2
175,146992141,2019-01,2500.0,375.5,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2019H1,1,CA,inc_q5,dti_q1
176,146311060,2019-01,1000.0,169.1,0.0855479247536578,0.1888440017299619,0.0,0.0,C,2019H1,2,NC,inc_q2,dti_q1
177,146930237,2019-01,1500.0,284.1,0.08291049320073066,0.1839309243202601,0.0,0.0,D,2019H1,1,CA,inc_q5,dti_q2
178,145935771,2019-01,1200.0,173.64,0.04951033732317737,0.11999851469006251,0.0,0.0,C,2019H1,0,TX,inc_q4,dti_q3
179,146674957,2019-01,1000.0,208.9,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2019H1,2,VA,inc_q5,dti_q1
180,146783059,2019-01,4000.0,676.4,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2019H1,1,OH,inc_q4,dti_q1
181,146255415,2019-01,1250.0,340.875,0.0993485342019544,0.2143136424801892,0.0,0.0,E,2019H1,2,other_state,inc_q5,dti_q1
182,146663616,2019-01,3000.0,450.6,0.06518058690744921,0.1504443713101714,0.0,0.0,C,2019H1,1,VA,inc_q4,dti_q3
183,146675673,2019-01,3000.0,450.6,0.0722267362942478,0.16385598067539128,0.0,0.0,C,2019H1,1,other_state,inc_q5,dti_q1
184,146233282,2019-01,8425.0,1359.795,0.08291049320073066,0.1839309243202601,0.0,0.0,C,2019H1,1,MA,inc_q5,dti_q2
185,145642114,2019-01,8050.0,1883.6999999999998,0.0855479247536578,0.1888440017299619,0.0,0.0,E,2019H1,2,IN,inc_q5,dti_q3
186,146319589,2019-01,15000.0,3946.5,0.12696250162190215,0.6638629128366242,0.0,0.0,E,2019H1,3,TX,inc_q5,dti_q3
187,146344063,2019-01,4000.0,718.8,0.0993485342019544,0.2143136424801892,0.0,0.0,D,2019H1,2,other_state,inc_q4,dti_q1
188,146107119,2019-01,3625.0,409.9875,0.0359375,0.09267741926538706,0.0,0.0,B,2019H1,0,GA,inc_q5,dti_q1
189,146058451,2019-01,1000.0,306.5,0.11742424242424243,0.6335224481862414,0.0,0.0,F,2019H1,2,NY,inc_q2,dti_q3
190,146047525,2019-01,1000.0,263.1,0.0855479247536578,0.1888440017299619,0.0,0.0,E,2019H1,2,MD,inc_q5,dti_q1
191,145857769,2019-01,1000.0,307.5,0.12957104669806696,0.6720071330345626,0.0,0.0,F,2019H1,3,MN,inc_q2,dti_q1
192,145190615,2019-01,1000.0,243.7,0.1036832164058284,0.2222387509610818,0.0,0.0,E,2019H1,2,MI,inc_q5,dti_q3
193,145660957,2019-01,3500.0,375.2,0.030262143407864303,0.080874323411772,0.0,0.0,B,2019H1,0,GA,inc_q4,dti_q2
