regime_v59,scenario_row,scenario_loss_v59,scenario_return_v59,eta_v59,excess_loss_v59
strict_low_deploy,66,35929.8274801053,14770.34561576559,38993.79408709946,0.0
strict_low_deploy,67,19750.91297034409,29162.581416977504,38993.79408709946,0.0
strict_low_deploy,68,20064.29842884487,28518.311226985203,38993.79408709946,0.0
strict_low_deploy,69,18601.398476319428,29904.27618409616,38993.79408709946,0.0
strict_low_deploy,70,42098.31964959061,9011.288986944679,38993.79408709946,3104.5255624911515
strict_low_deploy,71,20076.218351056366,28900.88070564965,38993.79408709946,0.0
strict_low_deploy,72,21642.918404744592,27132.876956147677,38993.79408709946,0.0
strict_low_deploy,73,25814.691422400283,23678.277496669576,38993.79408709946,0.0
strict_low_deploy,74,31007.93171359296,19337.154974143577,38993.79408709946,0.0
strict_low_deploy,75,31144.763818179337,19043.65228801411,38993.79408709946,0.0
strict_low_deploy,76,21719.157873671593,27106.029164277912,38993.79408709946,0.0
strict_low_deploy,77,34520.16031601417,15788.546096066968,38993.79408709946,0.0
strict_low_deploy,78,33986.87084623168,16563.225715241795,38993.79408709946,0.0
strict_low_deploy,79,36237.19446456352,14392.315466610704,38993.79408709946,0.0
strict_low_deploy,80,29204.759422701867,20456.445423933612,38993.79408709946,0.0
strict_low_deploy,81,21170.281231222547,27746.48525242917,38993.79408709946,0.0
strict_low_deploy,82,29205.900780658798,20936.27492199015,38993.79408709946,0.0
strict_low_deploy,83,22352.47062470939,26950.430637976173,38993.79408709946,0.0
strict_low_deploy,84,24858.073831153295,24338.448625558536,38993.79408709946,0.0
strict_low_deploy,85,25198.42366717859,24225.306013038142,38993.79408709946,0.0
strict_low_deploy,86,42008.01138506005,9091.784687255367,38993.79408709946,3014.2172979605893
strict_low_deploy,87,28335.3851010406,21549.05469766441,38993.79408709946,0.0
strict_low_deploy,88,18128.800168150305,30123.138863930057,38993.79408709946,0.0
strict_low_deploy,89,15423.94818583835,32534.78195227654,38993.79408709946,0.0
strict_low_deploy,90,41128.34949169584,9907.632934937737,38993.79408709946,2134.55540459638
strict_low_deploy,91,27164.01437070096,22692.037736036524,38993.79408709946,0.0
strict_low_deploy,92,15689.189625520828,32095.452029253436,38993.79408709946,0.0
strict_low_deploy,93,21052.88960584311,27829.94008267952,38993.79408709946,0.0
strict_low_deploy,94,43591.857030273866,7593.833603129918,38993.79408709946,4598.062943174409
strict_low_deploy,95,35321.12617763087,15214.094452187193,38993.79408709946,0.0
strict_low_deploy,96,21576.863100181767,27205.434651118518,38993.79408709946,0.0
strict_low_deploy,97,20612.48569231353,28214.207909963996,38993.79408709946,0.0
strict_low_deploy,98,39954.39522247915,11024.39857118416,38993.79408709946,960.601135379693
strict_low_deploy,99,38598.25306832592,12165.87116917149,38993.79408709946,0.0
strict_low_deploy,100,18298.220412306506,29960.692858382725,38993.79408709946,0.0
strict_low_deploy,101,20144.059683618205,28581.246563450706,38993.79408709946,0.0
strict_low_deploy,102,32208.140359316276,18200.874496431967,38993.79408709946,0.0
strict_low_deploy,103,33119.258965247594,17282.095434599167,38993.79408709946,0.0
strict_low_deploy,104,14836.06823202685,32759.38372056705,38993.79408709946,0.0
strict_low_deploy,105,25805.870986239424,23695.42223089692,38993.79408709946,0.0
strict_low_deploy,106,30247.02989869545,19974.330978117887,38993.79408709946,0.0
strict_low_deploy,107,30781.450798840917,19392.432753470326,38993.79408709946,0.0
strict_low_deploy,108,19795.842439418553,28667.598037877397,38993.79408709946,0.0
strict_low_deploy,109,23533.194395429397,25671.777187978954,38993.79408709946,0.0
strict_low_deploy,110,31168.980812910155,19169.372712534107,38993.79408709946,0.0
strict_low_deploy,111,16242.984278112683,32111.83764588617,38993.79408709946,0.0
strict_low_deploy,112,24027.144109388657,25094.809035827868,38993.79408709946,0.0
strict_low_deploy,113,28565.54106575012,21154.977844095607,38993.79408709946,0.0
strict_low_deploy,114,38993.79408709946,11925.785230318394,38993.79408709946,0.0
strict_low_deploy,115,21183.05704592421,27964.062904298113,38993.79408709946,0.0
strict_low_deploy,116,17813.073181023512,30355.053605378307,38993.79408709946,0.0
strict_low_deploy,117,23699.088962618716,25507.7203423164,38993.79408709946,0.0
strict_low_deploy,118,26993.709401146156,22971.223698271755,38993.79408709946,0.0
strict_low_deploy,119,33727.82816287663,16671.919850429418,38993.79408709946,0.0
strict_low_deploy,120,19542.52563311128,28937.340857832154,38993.79408709946,0.0
strict_low_deploy,121,24104.133124680495,25216.632359245366,38993.79408709946,0.0
strict_low_deploy,122,43301.063121508414,7857.823891493245,38993.79408709946,4307.269034408957
strict_low_deploy,123,27066.11689330396,22751.886436623005,38993.79408709946,0.0
strict_low_deploy,124,18755.722865191427,29599.23076428303,38993.79408709946,0.0
strict_low_deploy,125,18977.80465085634,29603.544639754193,38993.79408709946,0.0
strict_low_deploy,126,27992.02244304034,22057.778507165047,38993.79408709946,0.0
strict_low_deploy,127,30008.456464653682,20110.062568885667,38993.79408709946,0.0
