policy_id,mean_regret_net_ecl,total_regret_net_ecl,mean_coverage_online_90,auditability_score_v2
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,755.0052996513296,23405.164289191216,0.9564915725551899,0.649903314511038
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,764.474524353456,25227.659303664048,0.9590527614591785,0.6781655522918356
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,770.2485935633927,24647.954994028565,0.9569479702766274,0.6437625940553254
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,791.0801842926007,25314.565897363223,0.9561175146931242,0.6398505029386248
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,795.6596080778114,24665.447850412154,0.9559935057563141,0.6376907011512628
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,805.5923204907639,26584.546576195207,0.9570155966511465,0.6573061193302293
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,808.0407725574189,25857.304721837405,0.9584241226324826,0.6723068245264965
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,817.8050535292648,26987.566766465738,0.955910561173719,0.6436491122347437
paper1_economic_champion,822.1702628873938,26309.448412396603,0.9508386145104895,0.6584577229020978
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,823.0805924782467,26338.578959303893,0.953330175398432,0.6844420350796865
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,829.6764179281957,26549.645373702264,0.9560672305205974,0.6426434461041195
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,873.2605741328354,27944.33837225073,0.9571633661477411,0.6491806732295483
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,879.2541583940152,27256.878910214473,0.9486829926346055,0.6319515985269211
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,930.7564142939813,29784.2052574074,0.9571841417526402,0.670534828350528
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,931.0351233332888,29793.12394666524,0.9528686892817327,0.6655927378563465
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,934.146177049973,28958.53148854916,0.9482192854583746,0.639869857091675
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,1073.9877546541838,33293.6203942797,0.9526581563097885,0.6578906312619576
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,1134.0487141918989,34021.46142575696,0.9453769841269841,0.6319063968253968
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,1165.1319397139162,36119.0901311314,0.9510604507923212,0.6616480901584643
