policy_id,risk_tolerance,gamma,uncertainty_aversion,shortlist_bucket,n_funded,robust_return,ecl,provision,net_return_after_ecl,robust_return_rank,net_return_rank,ranking_delta,stage2_share,is_paper1_champion,status
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.5,0.05,incumbent_region,343,163947.7110439952,70179.18092658863,70179.18092658863,93768.53011740657,36,39,3,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.55,0.0,forced_incumbent_neighbors,338,163897.7680059752,69156.16079646343,69156.16079646343,94741.60720951177,37,34,-3,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.55,0.0,forced_incumbent_neighbors,340,163847.98926196393,69565.36884851349,69565.36884851349,94282.62041345044,38,37,-1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.5,0.0,forced_incumbent_neighbors,337,163748.62808782174,68951.55677043839,68951.55677043839,94797.07131738335,39,33,-6,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.55,0.0,forced_incumbent_neighbors,340,163116.36710524172,69565.36884851349,69565.36884851349,93550.99825672823,40,40,0,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.55,0.05,incumbent_region,342,162753.66070085138,69974.57690056358,69974.57690056358,92779.0838002878,41,42,1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.55,0.1,incumbent_region,344,162351.17715355012,70383.78495261366,70383.78495261366,91967.39220093646,42,44,2,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.55,0.0,forced_incumbent_neighbors,339,162326.28515545817,69360.76482248846,69360.76482248846,92965.52033296971,43,41,-2,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.5,0.0,forced_incumbent_neighbors,341,162164.37781018534,69769.97287453854,69769.97287453854,92394.4049356468,44,43,-1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.55,0.1,incumbent_region,344,160978.00154814168,70383.78495261366,70383.78495261366,90594.21659552802,45,45,0,0.31719332969743813,False,diagnostic_scaled_proxy
