online_method_v9,method_family,deployable_without_current_outcomes,min_effective_sample_size,coverage_policy_month_raw_min,coverage_policy_month_defended_min,coverage_source_month_raw_min,coverage_source_month_defended_min,avg_width_loan,avg_width_policy_month,share_rows_widened_vs_v4,share_rows_shrunk_vs_v4,small_policy_month_cells_pooled,small_source_month_cells_pooled,gate_source_month_80,gate_policy_month_90,gate_width_95,goal_pass,source_margin_to_0p80,policy_margin_to_0p90,width_margin_to_0p95,parameters_json,caveat
v9_tail_guard_dti_q5_only_m0.940_d0.160_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9352045126832071,0.9241619896587017,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.01479548731679281,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.140_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9352444323755451,0.9212530670469692,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.014755567624454846,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.160_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9353507856312272,0.9214769965621044,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.014649214368772756,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.140_t0.100,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9353619032280899,0.9213232168460193,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.01463809677191008,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.1, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.140_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.935437602072131,0.9250996566889457,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.014562397927868953,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.160_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9355928237067176,0.9216277930730722,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.014407176293282364,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.940_d0.140_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9356092748097179,0.9233452656791225,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.014390725190282061,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.940_d0.160_t0.100,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9357102945592624,0.9216979428721221,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.014289705440737599,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.1, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.160_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9357859934033035,0.9254743827150487,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.014214006596696471,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.940_d0.160_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9359576661408902,0.9237199917052256,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.014042333859109801,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.140_t0.100,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9360190827922273,0.9264120497452928,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.013980917207772614,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.1, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.940_d0.140_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9362230600142639,0.9242361080917308,0.51913306510822,0.48086693489177995,892,51939,True,True,True,True,0.0,0.0,0.013776939985736036,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.940_d0.160_t0.100,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9363674741233997,0.9267867757713957,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.013632525876600243,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.1, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.945_d0.140_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9364249206810853,0.9248437915274743,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.013575079318914662,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.940_d0.160_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9365714513454364,0.924610834117834,0.51913306510822,0.48086693489177995,892,51939,True,True,True,True,0.0,0.0,0.013428548654563555,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.140_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9365942117382284,0.9231083120642849,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.013405788261771523,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.945_d0.160_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9366620078161131,0.9251255452572623,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.013337992183886871,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.945_d0.140_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9367344636969969,0.9255261127871922,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.01326553630300309,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.940_d0.140_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9367468364603437,0.9250394497050427,0.5787788904877977,0.42122110951220226,892,51939,True,True,True,True,0.0,0.0,0.01325316353965622,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.160_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9368312988732563,0.9233900657940728,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.01316870112674362,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.140_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9368855614109081,0.9233117888820586,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.013114438589091892,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.945_d0.160_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9369715508320247,0.9258078665169803,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.013028449167975298,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.945_d0.140_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9370252040570449,0.9261823093153657,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.01297479594295503,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.140_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9370901260311965,0.9234376161851304,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.012909873968803498,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.940_d0.160_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9370952277915162,0.9254141757311456,0.5787788904877977,0.42122110951220226,892,51939,True,True,True,True,0.0,0.0,0.012904772208483739,"{""base_multiplier"": 0.94, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.160_t0.050,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9371226485459361,0.9235935426118465,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.012877351454063879,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.05, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.945_d0.160_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9372622911920729,0.9264640630451538,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.012737708807927017,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.140_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9372808342373691,0.9235567123530057,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.01271916576263088,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.160_t0.060,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9373272131662245,0.9237193699149183,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.012672786833775485,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.06, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.950_d0.120_t0.030,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9373676334767646,0.9255757024330187,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.012632366523235405,"{""base_multiplier"": 0.95, ""primary_delta"": 0.12, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.03, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.140_t0.100,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9373954787320584,0.9236251743424309,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.012604521267941537,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.1, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.950_d0.120_t0.030,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9375004149255226,0.924278151636637,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.012499585074477348,"{""base_multiplier"": 0.95, ""primary_delta"": 0.12, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.03, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.160_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9375179213723969,0.9238384660827939,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.012482078627603088,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.940_d0.140_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9375703552559306,0.9265026392723573,0.5787788904877977,0.42122110951220226,892,51939,True,True,True,True,0.0,0.0,0.01242964474406938,"{""base_multiplier"": 0.94, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.945_d0.140_t0.080,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9376066847771414,0.9274947023717127,0.5414525270917153,0.4585474729082846,892,51939,True,True,True,True,0.0,0.0,0.01239331522285858,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.08, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.945_d0.160_t0.100,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9376325658670863,0.9239069280722187,0.5497048544829815,0.4502951455170186,892,51939,True,True,True,True,0.0,0.0,0.012367434132913635,"{""base_multiplier"": 0.945, ""primary_delta"": 0.16, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.1, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_dti_q5_only_m0.950_d0.120_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9376877415499489,0.9262727029639528,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.012312258450051017,"{""base_multiplier"": 0.95, ""primary_delta"": 0.12, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""dti_q5_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_or_dti_q5_m0.945_d0.140_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.937757173178421,0.9257330981769789,0.512378491086899,0.4876215089131009,892,51939,True,True,True,True,0.0,0.0,0.012242826821578956,"{""base_multiplier"": 0.945, ""primary_delta"": 0.14, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_or_dti_q5""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
v9_tail_guard_gradeF_only_m0.950_d0.120_t0.040,structural_tail_guard_width_shrink,True,5,0.6666666666666666,0.9,0.0,0.8,0.9378234597700207,0.9245127975210718,0.5065049484596634,0.49349505154033657,892,51939,True,True,True,True,0.0,0.0,0.012176540229979271,"{""base_multiplier"": 0.95, ""primary_delta"": 0.12, ""primary_mask"": ""targeted_dti_score_or_gradeD"", ""tail_bonus"": 0.04, ""tail_mask"": ""gradeF_only""}","The structural tail guard is deployable from pre-decision fields, but the grid was selected in a replay and needs future-period validation."
