policy_id,scenario,n_funded,funded_exposure,contractual_ecl_v4,realized_return_proxy_lgd45,stage1_share,stage2_share,stage3_share,actual_default_status_share,net_return_after_contractual_ecl_v4
paper4_v4_local_rt0p1700_g0p500_u0p000,severe,344,1000000.0,317203.69406008074,169603.66556130192,0.0,1.0,0.0,0.0,-147600.02849877882
paper4_v4_local_rt0p1700_g0p500_u0p025,adverse,343,1000000.0,297506.2170991722,169886.8565354871,0.0,1.0,0.0,0.0,-127619.36056368507
paper4_v4_local_rt0p1700_g0p500_u0p025,baseline,343,1000000.0,86116.9715470208,169886.8565354871,0.0,1.0,0.0,0.0,83769.8849884663
paper4_v4_local_rt0p1700_g0p500_u0p025,optimistic,343,1000000.0,24255.369480354246,169886.8565354871,0.7405247813411079,0.2594752186588921,0.0,0.0,145631.48705513286
paper4_v4_local_rt0p1700_g0p500_u0p025,severe,343,1000000.0,317361.97798235115,169886.8565354871,0.0,1.0,0.0,0.0,-147475.12144686404
paper4_v4_local_rt0p1700_g0p500_u0p050,adverse,343,1000000.0,296986.4375546462,169315.7324273321,0.0,1.0,0.0,0.0,-127670.70512731411
paper4_v4_local_rt0p1700_g0p500_u0p050,baseline,343,1000000.0,86105.10688145665,169315.7324273321,0.0,1.0,0.0,0.0,83210.62554587546
paper4_v4_local_rt0p1700_g0p500_u0p050,optimistic,343,1000000.0,24182.033098744578,169315.7324273321,0.7463556851311953,0.2536443148688047,0.0,0.0,145133.69932858754
paper4_v4_local_rt0p1700_g0p500_u0p050,severe,343,1000000.0,316895.58721124625,169315.7324273321,0.0,1.0,0.0,0.0,-147579.85478391414
paper4_v4_local_rt0p1700_g0p500_u0p075,adverse,345,1000000.0,297227.5168774913,170021.31140035062,0.0,1.0,0.0,0.0,-127206.2054771407
paper4_v4_local_rt0p1700_g0p500_u0p075,baseline,345,1000000.0,86074.41281142119,170021.31140035062,0.0,1.0,0.0,0.0,83946.89858892943
paper4_v4_local_rt0p1700_g0p500_u0p075,optimistic,345,1000000.0,24099.812761694735,170021.31140035062,0.7507246376811594,0.2492753623188406,0.0,0.0,145921.49863865587
paper4_v4_local_rt0p1700_g0p500_u0p075,severe,345,1000000.0,317211.6466343889,170021.31140035062,0.0,1.0,0.0,0.0,-147190.33523403827
paper4_v4_local_rt0p1700_g0p500_u0p100,adverse,348,1000000.0,298068.87016889243,171334.7083294575,0.0,1.0,0.0,0.0,-126734.16183943494
paper4_v4_local_rt0p1700_g0p500_u0p100,baseline,348,1000000.0,86142.63056317126,171334.7083294575,0.0,1.0,0.0,0.0,85192.07776628624
paper4_v4_local_rt0p1700_g0p500_u0p100,optimistic,348,1000000.0,23984.55243546956,171334.7083294575,0.7586206896551724,0.2413793103448276,0.0,0.0,147350.15589398795
paper4_v4_local_rt0p1700_g0p500_u0p100,severe,348,1000000.0,318213.04345262516,171334.7083294575,0.0,1.0,0.0,0.0,-146878.33512316766
paper4_v4_local_rt0p1725_g0p400_u0p000,adverse,347,1000000.0,323883.44564504095,175696.21562526395,0.0,1.0,0.0,0.0,-148187.230019777
paper4_v4_local_rt0p1725_g0p400_u0p000,baseline,347,1000000.0,95826.11150275532,175696.21562526395,0.0,1.0,0.0,0.0,79870.10412250864
paper4_v4_local_rt0p1725_g0p400_u0p000,optimistic,347,1000000.0,28384.98047812349,175696.21562526395,0.7204610951008645,0.27953890489913547,0.0,0.0,147311.23514714045
paper4_v4_local_rt0p1725_g0p400_u0p000,severe,347,1000000.0,344381.63936567307,175696.21562526395,0.0,1.0,0.0,0.0,-168685.4237404091
paper4_v4_local_rt0p1725_g0p400_u0p025,adverse,347,1000000.0,323883.44564504095,175696.21562526395,0.0,1.0,0.0,0.0,-148187.230019777
paper4_v4_local_rt0p1725_g0p400_u0p025,baseline,347,1000000.0,95826.11150275532,175696.21562526395,0.0,1.0,0.0,0.0,79870.10412250864
paper4_v4_local_rt0p1725_g0p400_u0p025,optimistic,347,1000000.0,28384.98047812349,175696.21562526395,0.7204610951008645,0.27953890489913547,0.0,0.0,147311.23514714045
paper4_v4_local_rt0p1725_g0p400_u0p025,severe,347,1000000.0,344381.63936567307,175696.21562526395,0.0,1.0,0.0,0.0,-168685.4237404091
paper4_v4_local_rt0p1725_g0p400_u0p050,adverse,347,1000000.0,323883.44564504095,175696.21562526395,0.0,1.0,0.0,0.0,-148187.230019777
paper4_v4_local_rt0p1725_g0p400_u0p050,baseline,347,1000000.0,95826.11150275532,175696.21562526395,0.0,1.0,0.0,0.0,79870.10412250864
paper4_v4_local_rt0p1725_g0p400_u0p050,optimistic,347,1000000.0,28384.98047812349,175696.21562526395,0.7204610951008645,0.27953890489913547,0.0,0.0,147311.23514714045
paper4_v4_local_rt0p1725_g0p400_u0p050,severe,347,1000000.0,344381.63936567307,175696.21562526395,0.0,1.0,0.0,0.0,-168685.4237404091
paper4_v4_local_rt0p1725_g0p400_u0p075,adverse,347,1000000.0,323883.44564504095,175696.21562526395,0.0,1.0,0.0,0.0,-148187.230019777
paper4_v4_local_rt0p1725_g0p400_u0p075,baseline,347,1000000.0,95826.11150275532,175696.21562526395,0.0,1.0,0.0,0.0,79870.10412250864
paper4_v4_local_rt0p1725_g0p400_u0p075,optimistic,347,1000000.0,28384.98047812349,175696.21562526395,0.7204610951008645,0.27953890489913547,0.0,0.0,147311.23514714045
paper4_v4_local_rt0p1725_g0p400_u0p075,severe,347,1000000.0,344381.63936567307,175696.21562526395,0.0,1.0,0.0,0.0,-168685.4237404091
paper4_v4_local_rt0p1725_g0p400_u0p100,adverse,347,1000000.0,323883.44564504095,175696.21562526395,0.0,1.0,0.0,0.0,-148187.230019777
paper4_v4_local_rt0p1725_g0p400_u0p100,baseline,347,1000000.0,95826.11150275532,175696.21562526395,0.0,1.0,0.0,0.0,79870.10412250864
paper4_v4_local_rt0p1725_g0p400_u0p100,optimistic,347,1000000.0,28384.98047812349,175696.21562526395,0.7204610951008645,0.27953890489913547,0.0,0.0,147311.23514714045
paper4_v4_local_rt0p1725_g0p400_u0p100,severe,347,1000000.0,344381.63936567307,175696.21562526395,0.0,1.0,0.0,0.0,-168685.4237404091
paper4_v4_local_rt0p1725_g0p425_u0p000,adverse,337,1000000.0,316022.647193611,174291.23238256914,0.0,1.0,0.0,0.0,-141731.41481104188
paper4_v4_local_rt0p1725_g0p425_u0p000,baseline,337,1000000.0,93734.50412601906,174291.23238256914,0.0,1.0,0.0,0.0,80556.72825655008
paper4_v4_local_rt0p1725_g0p425_u0p000,optimistic,337,1000000.0,27972.08351837671,174291.23238256914,0.7091988130563798,0.29080118694362017,0.0,0.0,146319.14886419242
paper4_v4_local_rt0p1725_g0p425_u0p000,severe,337,1000000.0,335868.4843790691,174291.23238256914,0.0,1.0,0.0,0.0,-161577.25199649998
paper4_v4_local_rt0p1725_g0p425_u0p025,adverse,337,1000000.0,316022.647193611,174291.23238256914,0.0,1.0,0.0,0.0,-141731.41481104188
paper4_v4_local_rt0p1725_g0p425_u0p025,baseline,337,1000000.0,93734.50412601906,174291.23238256914,0.0,1.0,0.0,0.0,80556.72825655008
paper4_v4_local_rt0p1725_g0p425_u0p025,optimistic,337,1000000.0,27972.08351837671,174291.23238256914,0.7091988130563798,0.29080118694362017,0.0,0.0,146319.14886419242
paper4_v4_local_rt0p1725_g0p425_u0p025,severe,337,1000000.0,335868.4843790691,174291.23238256914,0.0,1.0,0.0,0.0,-161577.25199649998
paper4_v4_local_rt0p1725_g0p425_u0p050,adverse,337,1000000.0,316022.647193611,174291.23238256914,0.0,1.0,0.0,0.0,-141731.41481104188
paper4_v4_local_rt0p1725_g0p425_u0p050,baseline,337,1000000.0,93734.50412601906,174291.23238256914,0.0,1.0,0.0,0.0,80556.72825655008
paper4_v4_local_rt0p1725_g0p425_u0p050,optimistic,337,1000000.0,27972.08351837671,174291.23238256914,0.7091988130563798,0.29080118694362017,0.0,0.0,146319.14886419242
paper4_v4_local_rt0p1725_g0p425_u0p050,severe,337,1000000.0,335868.4843790691,174291.23238256914,0.0,1.0,0.0,0.0,-161577.25199649998
paper4_v4_local_rt0p1725_g0p425_u0p075,adverse,337,1000000.0,316022.647193611,174291.23238256914,0.0,1.0,0.0,0.0,-141731.41481104188
