policy_id,risk_tolerance,gamma,uncertainty_aversion,realized_total_return,net_return_after_ecl_full,ecl,cvar_95_loss_rate_full,gamma_cp,weighted_miscoverage_V,diagnostic_selector_score,diagnostic_selector_rank,diagnostic_decision,pareto_return_ecl
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.5,0.1,166244.65010111933,55099.62531175229,93684.57468824773,0.4499999999999999,0.150881,0.042975,0.6949364113469522,15,keep,False
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.45,0.0,166621.64409318674,51065.09951724332,93166.2904827567,0.4499999999999999,0.157534,0.041775,0.6777008958841728,16,keep,True
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.1,168128.1097153701,49753.27521487673,104382.39478512328,0.44999999999999996,0.171845,0.03545,0.6745616824774959,17,keep,False
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.45,0.1,166559.14303245154,52898.28651517752,96336.73848482248,0.44999999999999996,0.162785,0.04545,0.6727955151272813,18,keep,False
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.45,0.05,168244.12224854622,49965.39822326231,100184.0167767377,0.4499999999999999,0.171708,0.04545,0.664621222277787,19,keep,False
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.5,0.05,165517.85855195278,54000.08168031472,94276.97831968528,0.44999999999999996,0.152083,0.042975,0.6604897607233171,20,keep,False
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.55,0.05,162753.66070085138,56700.003196937876,89860.42680306212,0.44999999999999996,0.134188,0.040015,0.6556696377797584,21,keep,True
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.5,0.1,167226.8353415202,48537.908933153056,101619.37856684695,0.44999999999999984,0.164424,0.03545,0.6517947180716223,22,keep,False
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.0,168669.5041537059,46790.954327507556,99242.65067249245,0.4499999999999999,0.173656,0.042149,0.6497825685979962,23,keep,False
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.5,0.05,167124.6310620346,50087.33770572973,97799.92729427028,0.4499999999999999,0.165827,0.04545,0.6487762082572577,24,keep,False
paper1_economic_champion,0.175,0.45,0.1,170464.5429284627,48567.03948006035,124762.62393578478,0.44999999999999996,0.18591,0.03645,0.6485025703736956,25,protected_paper1_champion,True
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.45,0.05,169337.1631898248,44951.08744235088,103966.59755764912,0.4499999999999999,0.179102,0.03545,0.6463777898037512,26,keep,False
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.55,0.0,163116.36710524172,57480.27010291041,93200.30989708958,0.44999999999999996,0.148401,0.042975,0.64320773838648,27,keep,False
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.55,0.0,162326.28515545817,57107.297160536895,90704.1903394631,0.4499999999999999,0.13543,0.041975,0.6400623472980271,28,keep,False
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.05,168801.31532762162,44942.168753093036,101101.41874690696,0.44999999999999984,0.172713,0.038067,0.6390633953499756,29,keep,False
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.55,0.1,160978.00154814168,59075.72387486021,90435.91862513978,0.4499999999999999,0.133529,0.038975,0.6376759771670047,30,keep,False
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.5,0.05,166777.3884430658,48396.387942345566,95860.73705765443,0.4499999999999999,0.158941,0.043789,0.6369326870319595,31,keep,False
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.05,166186.4620978511,51225.681784483255,96066.80321551676,0.44999999999999996,0.161059,0.045084,0.6273632877752723,32,keep,False
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.5,0.0,162164.37781018534,58053.82374899907,94367.66375100092,0.4499999999999999,0.145103,0.041975,0.6270950561780252,33,keep,False
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.45,0.0,167494.8582103625,45672.31458512531,95632.2879148747,0.44999999999999984,0.172774,0.04425,0.6114959267147524,34,keep,True
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.5,0.0,165401.62753483138,50373.721844295535,96070.26065570448,0.4499999999999999,0.159886,0.042975,0.6038958741480063,35,keep,False
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.5,0.0,166313.57843638843,48185.64732605603,99563.74267394398,0.4499999999999999,0.16677,0.04545,0.5998850952985628,36,keep,False
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.5,0.0,163748.62808782174,51225.793048513646,92109.30195148636,0.4499999999999999,0.152638,0.041975,0.5908199998627988,37,keep,False
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.45,0.0,169262.37545367464,40461.65644721105,98703.66605278896,0.45,0.180169,0.04425,0.5832726884746531,38,keep,True
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.45,0.05,164022.0917987445,50830.056952450424,93537.88304754958,0.44999999999999984,0.156642,0.042975,0.5829792741186369,39,keep,False
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.0,165375.90860423315,49420.726802395075,96497.19319760494,0.44999999999999984,0.161873,0.047375,0.5772090341525333,40,keep,False
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.55,0.0,163897.7680059752,50135.86936019994,93649.94063980006,0.44999999999999984,0.155326,0.042975,0.572718044158857,41,keep,False
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.45,0.05,165829.33653326883,47993.367752075035,97324.31974792496,0.44999999999999984,0.164313,0.045805,0.5726520899906169,42,keep,False
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.45,0.0,165590.76458837948,47373.96716345998,94706.27533654001,0.45,0.165085,0.048175,0.559587074955752,43,keep,False
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.45,0.05,166574.19464587132,41293.94410477212,106853.21589522788,0.44999999999999984,0.186841,0.03645,0.5138550581576703,44,keep,False
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.45,0.0,166210.47853140024,38468.474367920426,102677.97313207958,0.44999999999999984,0.187564,0.03525,0.4667916574932286,45,keep,False
