policy_id,regime_v74,lhs_v74,rhs_v74,slack_v74,binding_v74,claim_boundary_v74,constraint_type_v74,source_family,source_id,cap_share_v74,cap_mode_v74,path_id,iteration_v74
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-60679.24491675824,0.0,60679.24491675824,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,18.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-27598.381946184934,0.0,27598.381946184934,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,19.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-66628.22274960182,0.0,66628.22274960182,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,20.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-55029.44807583967,0.0,55029.44807583967,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,21.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-21871.39868593114,0.0,21871.39868593114,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,22.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-33070.47958542609,0.0,33070.47958542609,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,23.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-82719.98228825952,0.0,82719.98228825952,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,24.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-80338.53142276741,0.0,80338.53142276741,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,25.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-22838.448482654174,0.0,22838.448482654174,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,26.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-21667.945223959832,0.0,21667.945223959832,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,27.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-88826.07406964965,0.0,88826.07406964965,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,28.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-48375.2057228332,0.0,48375.2057228332,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,29.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-7616.251054386201,0.0,7616.251054386201,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,30.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-2.9103830456733704e-11,0.0,2.9103830456733704e-11,True,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,31.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-99949.36527753407,0.0,99949.36527753407,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,32.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-51995.202136408334,0.0,51995.202136408334,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,33.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-5158.116936235572,0.0,5158.116936235572,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,34.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-43225.80953821544,0.0,43225.80953821544,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,35.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-86984.69891801997,0.0,86984.69891801997,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,36.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-91537.47725880533,0.0,91537.47725880533,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,37.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-12385.08282291086,0.0,12385.08282291086,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,38.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-41951.07978811361,0.0,41951.07978811361,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,39.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-80916.31477047346,0.0,80916.31477047346,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,40.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-62978.483183019765,0.0,62978.483183019765,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,41.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-23897.416721687478,0.0,23897.416721687478,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,42.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-69696.8179599921,0.0,69696.8179599921,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,43.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-66600.01829554964,0.0,66600.01829554964,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,44.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-65195.95662982561,0.0,65195.95662982561,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,45.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-24073.253313565452,0.0,24073.253313565452,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,46.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-50767.28617894897,0.0,50767.28617894897,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,47.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-82850.64530034293,0.0,82850.64530034293,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,48.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-75571.80958352683,0.0,75571.80958352683,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,49.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-32831.7127742516,0.0,32831.7127742516,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,50.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-36440.553464866796,0.0,36440.553464866796,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,51.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-82248.09583053067,0.0,82248.09583053067,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,52.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-89017.14222986368,0.0,89017.14222986368,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,53.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-1.1641532182693481e-10,0.0,1.1641532182693481e-10,True,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,54.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-75719.43118520801,0.0,75719.43118520801,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,55.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-95604.2801674116,0.0,95604.2801674116,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,56.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-64221.18637814731,0.0,64221.18637814731,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,57.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-18506.35978334429,0.0,18506.35978334429,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,58.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-75693.20865295472,0.0,75693.20865295472,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,59.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-68611.29312840966,0.0,68611.29312840966,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,60.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-31180.760912768863,0.0,31180.760912768863,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,61.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-35256.67696258356,0.0,35256.67696258356,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,62.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-48499.13507678041,0.0,48499.13507678041,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,63.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-96179.93729974123,0.0,96179.93729974123,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,64.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-81774.24647156266,0.0,81774.24647156266,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,65.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-10272.47965343867,0.0,10272.47965343867,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,66.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-66089.10678405699,0.0,66089.10678405699,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,67.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-83239.28287096813,0.0,83239.28287096813,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,68.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-79614.17106730124,0.0,79614.17106730124,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,69.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-7318.429466586065,0.0,7318.429466586065,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,70.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-79224.57080433285,0.0,79224.57080433285,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,71.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-80170.42462689494,0.0,80170.42462689494,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,72.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-55555.65310531076,0.0,55555.65310531076,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,73.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-33884.86641649707,0.0,33884.86641649707,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,74.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-45543.33303101649,0.0,45543.33303101649,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,75.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-67684.06012522033,0.0,67684.06012522033,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,76.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-23982.90662287199,0.0,23982.90662287199,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,77.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-20569.481233789003,0.0,20569.481233789003,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,78.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-32424.592997048254,0.0,32424.592997048254,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,79.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-52358.877618960585,0.0,52358.877618960585,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,80.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-69143.55123956897,0.0,69143.55123956897,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,81.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-35567.559691792005,0.0,35567.559691792005,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,82.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-64545.349920209235,0.0,64545.349920209235,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,83.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-54503.337063943676,0.0,54503.337063943676,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,84.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-63114.62499916277,0.0,63114.62499916277,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,85.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-8619.29018290792,0.0,8619.29018290792,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,86.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-43841.367025677944,0.0,43841.367025677944,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,87.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-88441.66478990138,0.0,88441.66478990138,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,88.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-95156.24275301733,0.0,95156.24275301733,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,89.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,5.820766091346741e-11,0.0,-5.820766091346741e-11,True,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,90.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-54337.52869201312,0.0,54337.52869201312,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,91.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-98202.32435864276,0.0,98202.32435864276,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,92.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-76358.41697783799,0.0,76358.41697783799,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,93.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-576.0330716555472,0.0,576.0330716555472,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,94.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-21230.186758095457,0.0,21230.186758095457,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,95.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-76432.09151072154,0.0,76432.09151072154,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,96.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-80093.12737514019,0.0,80093.12737514019,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,97.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-9696.590486579866,0.0,9696.590486579866,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,98.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-12945.676892773627,0.0,12945.676892773627,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,99.0,2
