policy_id,scenario,alpha_proxy,ecl,provision,stage2_share,adverse_cost,n_funded,source_artifact,status
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,0.1,84654.91576786019,84654.91576786019,0.31719332969743813,16930.983153572044,331,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,0.1,108358.29218286104,108358.29218286104,0.31719332969743813,40634.359568572894,331,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,baseline,0.1,70383.78495261366,70383.78495261366,0.31719332969743813,0.0,344,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,adverse,0.1,87979.73119076707,87979.73119076707,0.31719332969743813,17595.94623815341,344,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,severe,0.1,112614.05592418186,112614.05592418186,0.31719332969743813,42230.2709715682,344,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,baseline,0.1,68542.3487183883,68542.3487183883,0.31719332969743813,0.0,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,adverse,0.1,85677.93589798537,85677.93589798537,0.31719332969743813,17135.587179597074,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,severe,0.1,109667.75794942128,109667.75794942128,0.31719332969743813,41125.40923103299,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,baseline,0.1,69974.57690056358,69974.57690056358,0.31719332969743813,0.0,342,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,adverse,0.1,87468.22112570447,87468.22112570447,0.31719332969743813,17493.644225140888,342,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,severe,0.1,111959.32304090174,111959.32304090174,0.31719332969743813,41984.74614033816,342,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,baseline,0.1,69974.57690056358,69974.57690056358,0.31719332969743813,0.0,342,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,adverse,0.1,87468.22112570447,87468.22112570447,0.31719332969743813,17493.644225140888,342,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,severe,0.1,111959.32304090174,111959.32304090174,0.31719332969743813,41984.74614033816,342,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,baseline,0.1,69565.36884851349,69565.36884851349,0.31719332969743813,0.0,340,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,adverse,0.1,86956.71106064186,86956.71106064186,0.31719332969743813,17391.342212128366,340,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,severe,0.1,111304.5901576216,111304.5901576216,0.31719332969743813,41739.22130910811,340,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,baseline,0.1,68951.55677043839,68951.55677043839,0.31719332969743813,0.0,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,adverse,0.1,86189.44596304798,86189.44596304798,0.31719332969743813,17237.889192609597,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,severe,0.1,110322.49083270143,110322.49083270143,0.31719332969743813,41370.93406226304,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,0.1,69565.36884851349,69565.36884851349,0.31719332969743813,0.0,340,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,0.1,86956.71106064186,86956.71106064186,0.31719332969743813,17391.342212128366,340,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,0.1,111304.5901576216,111304.5901576216,0.31719332969743813,41739.22130910811,340,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,baseline,0.1,69156.16079646343,69156.16079646343,0.31719332969743813,0.0,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,adverse,0.1,86445.20099557929,86445.20099557929,0.31719332969743813,17289.040199115858,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,severe,0.1,110649.8572743415,110649.8572743415,0.31719332969743813,41493.69647787807,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,baseline,0.1,69156.16079646343,69156.16079646343,0.31719332969743813,0.0,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,adverse,0.1,86445.20099557929,86445.20099557929,0.31719332969743813,17289.040199115858,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,severe,0.1,110649.8572743415,110649.8572743415,0.31719332969743813,41493.69647787807,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,0.1,68951.55677043839,68951.55677043839,0.31719332969743813,0.0,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,0.1,86189.44596304798,86189.44596304798,0.31719332969743813,17237.889192609597,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,0.1,110322.49083270143,110322.49083270143,0.31719332969743813,41370.93406226304,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,baseline,0.1,70588.3889786387,70588.3889786387,0.31719332969743813,0.0,345,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
