policy_id,expanded_scope,n_funded,funded_exposure,realized_return_proxy_lgd45,expected_loss_mean,expected_loss_max,cvar90_expected_loss_v5,return_after_cvar90_v5,prob_beats_paper1_correlated_baseline,risk_tolerance,gamma,uncertainty_aversion,regret_return_v5,cvar_excess_vs_best_v5,pareto_cvar_return_v5
paper4_v4_local_rt0p1750_g0p450_u0p050,100_policy_exact_allocations_expected_loss,339,1000000.0,177101.2509172678,249373.72196932085,379945.6703479068,379945.6703479068,-202844.419430639,0.5,0.175,0.45,0.05,946.8516899835668,21471.776342753612,False
paper4_v4_local_rt0p1700_g0p425_u0p100,100_policy_exact_allocations_expected_loss,335,1000000.0,174404.72097666154,248147.17284982977,378291.91067138547,378291.91067138547,-203887.18969472393,0.496,0.17,0.425,0.1,3643.3816305898363,19818.01666623226,False
paper4_v4_local_rt0p1700_g0p425_u0p000,100_policy_exact_allocations_expected_loss,337,1000000.0,174567.57189288642,248846.0006056732,378577.3191301954,378577.3191301954,-204009.747237309,0.488,0.17,0.425,0.0,3480.530714364955,20103.42512504221,False
paper4_v4_local_rt0p1750_g0p450_u0p000,100_policy_exact_allocations_expected_loss,337,1000000.0,175192.49,249279.84614705626,379283.3425290895,379283.3425290895,-204090.8525290895,0.476,0.175,0.45,0.0,2855.612607251387,20809.44852393627,False
paper4_v4_local_rt0p1750_g0p450_u0p100,100_policy_exact_allocations_expected_loss,335,1000000.0,173856.52646047235,248616.54351465328,378880.23706051667,378880.23706051667,-205023.71060004432,0.556,0.175,0.45,0.1,4191.576146779029,20406.343055363453,False
paper4_v4_local_rt0p1700_g0p425_u0p075,100_policy_exact_allocations_expected_loss,335,1000000.0,173075.4867266607,248214.51285643538,378154.2830257227,378154.2830257227,-205078.79629906203,0.516,0.17,0.425,0.075,4972.615880590689,19680.389020569506,False
paper4_v4_local_rt0p1750_g0p450_u0p075,100_policy_exact_allocations_expected_loss,334,1000000.0,173629.03530901,248606.66671635467,378806.87857027655,378806.87857027655,-205177.84326126653,0.508,0.175,0.45,0.075,4419.067298241367,20332.984565123334,False
paper4_v4_local_rt0p1725_g0p425_u0p000,100_policy_exact_allocations_expected_loss,337,1000000.0,174291.23238256914,252230.30872096808,383464.66035464156,383464.66035464156,-209173.42797207242,0.512,0.1725,0.425,0.0,3756.870224682236,24990.766349488345,False
paper4_v4_local_rt0p1725_g0p425_u0p025,100_policy_exact_allocations_expected_loss,337,1000000.0,174291.23238256914,252230.30872096808,383464.66035464156,383464.66035464156,-209173.42797207242,0.476,0.1725,0.425,0.025,3756.870224682236,24990.766349488345,False
paper4_v4_local_rt0p1725_g0p425_u0p050,100_policy_exact_allocations_expected_loss,337,1000000.0,174291.23238256914,252230.30872096808,383464.66035464156,383464.66035464156,-209173.42797207242,0.468,0.1725,0.425,0.05,3756.870224682236,24990.766349488345,False
paper4_v4_local_rt0p1725_g0p425_u0p075,100_policy_exact_allocations_expected_loss,337,1000000.0,174291.23238256914,252230.30872096808,383464.66035464156,383464.66035464156,-209173.42797207242,0.488,0.1725,0.425,0.075,3756.870224682236,24990.766349488345,False
paper4_v4_local_rt0p1725_g0p425_u0p100,100_policy_exact_allocations_expected_loss,337,1000000.0,174291.23238256914,252230.30872096808,383464.66035464156,383464.66035464156,-209173.42797207242,0.548,0.1725,0.425,0.1,3756.870224682236,24990.766349488345,False
paper4_v4_local_rt0p1775_g0p450_u0p000,100_policy_exact_allocations_expected_loss,336,1000000.0,174441.0154594637,252573.96538086224,384037.42145446513,384037.42145446513,-209596.40599500143,0.5,0.1775,0.45,0.0,3607.087147787679,25563.52744931192,False
paper4_v4_local_rt0p1775_g0p450_u0p025,100_policy_exact_allocations_expected_loss,336,1000000.0,174441.0154594637,252573.96538086224,384037.42145446513,384037.42145446513,-209596.40599500143,0.476,0.1775,0.45,0.025,3607.087147787679,25563.52744931192,False
paper4_v4_local_rt0p1775_g0p450_u0p050,100_policy_exact_allocations_expected_loss,336,1000000.0,174441.0154594637,252573.96538086224,384037.42145446513,384037.42145446513,-209596.40599500143,0.48,0.1775,0.45,0.05,3607.087147787679,25563.52744931192,False
paper4_v4_local_rt0p1775_g0p450_u0p075,100_policy_exact_allocations_expected_loss,336,1000000.0,174441.0154594637,252573.96538086224,384037.42145446513,384037.42145446513,-209596.40599500143,0.472,0.1775,0.45,0.075,3607.087147787679,25563.52744931192,False
paper4_v4_local_rt0p1775_g0p450_u0p100,100_policy_exact_allocations_expected_loss,336,1000000.0,174441.0154594637,252573.96538086224,384037.42145446513,384037.42145446513,-209596.40599500143,0.512,0.1775,0.45,0.1,3607.087147787679,25563.52744931192,False
paper4_v4_local_rt0p1700_g0p400_u0p000,100_policy_exact_allocations_expected_loss,336,1000000.0,176309.76764157554,255427.23013552307,388792.8627122332,388792.8627122332,-212483.09507065767,0.476,0.17,0.4,0.0,1738.3349656758364,30318.96870708,False
paper4_v4_local_rt0p1700_g0p400_u0p025,100_policy_exact_allocations_expected_loss,336,1000000.0,176309.76764157554,255427.23013552307,388792.8627122332,388792.8627122332,-212483.09507065767,0.512,0.17,0.4,0.025,1738.3349656758364,30318.96870708,False
paper4_v4_local_rt0p1700_g0p400_u0p050,100_policy_exact_allocations_expected_loss,336,1000000.0,176309.76764157554,255427.23013552307,388792.8627122332,388792.8627122332,-212483.09507065767,0.524,0.17,0.4,0.05,1738.3349656758364,30318.96870708,False
paper4_v4_local_rt0p1700_g0p400_u0p075,100_policy_exact_allocations_expected_loss,336,1000000.0,176309.76764157554,255427.23013552307,388792.8627122332,388792.8627122332,-212483.09507065767,0.508,0.17,0.4,0.075,1738.3349656758364,30318.96870708,False
paper4_v4_local_rt0p1700_g0p400_u0p100,100_policy_exact_allocations_expected_loss,336,1000000.0,176309.76764157554,255427.23013552307,388792.8627122332,388792.8627122332,-212483.09507065767,0.472,0.17,0.4,0.1,1738.3349656758364,30318.96870708,False
paper4_v4_local_rt0p1750_g0p425_u0p000,100_policy_exact_allocations_expected_loss,335,1000000.0,176420.17324300256,255717.56357327837,389276.7517751587,389276.7517751587,-212856.57853215613,0.488,0.175,0.425,0.0,1627.9293642488192,30802.857770005474,False
paper4_v4_local_rt0p1750_g0p425_u0p025,100_policy_exact_allocations_expected_loss,335,1000000.0,176420.17324300256,255717.56357327837,389276.7517751587,389276.7517751587,-212856.57853215613,0.452,0.175,0.425,0.025,1627.9293642488192,30802.857770005474,False
paper4_v4_local_rt0p1750_g0p425_u0p050,100_policy_exact_allocations_expected_loss,335,1000000.0,176420.17324300256,255717.56357327837,389276.7517751587,389276.7517751587,-212856.57853215613,0.5,0.175,0.425,0.05,1627.9293642488192,30802.857770005474,False
paper4_v4_local_rt0p1750_g0p425_u0p075,100_policy_exact_allocations_expected_loss,335,1000000.0,176420.17324300256,255717.56357327837,389276.7517751587,389276.7517751587,-212856.57853215613,0.492,0.175,0.425,0.075,1627.9293642488192,30802.857770005474,False
paper4_v4_local_rt0p1750_g0p425_u0p100,100_policy_exact_allocations_expected_loss,335,1000000.0,176420.17324300256,255717.56357327837,389276.7517751587,389276.7517751587,-212856.57853215613,0.504,0.175,0.425,0.1,1627.9293642488192,30802.857770005474,False
paper4_v4_local_rt0p1725_g0p400_u0p000,100_policy_exact_allocations_expected_loss,347,1000000.0,175696.21562526395,258975.12162751058,394706.01519887906,394706.01519887906,-219009.7995736151,0.46,0.1725,0.4,0.0,2351.8869819874235,36232.12119372585,False
paper4_v4_local_rt0p1725_g0p400_u0p025,100_policy_exact_allocations_expected_loss,347,1000000.0,175696.21562526395,258975.12162751058,394706.01519887906,394706.01519887906,-219009.7995736151,0.452,0.1725,0.4,0.025,2351.8869819874235,36232.12119372585,False
paper4_v4_local_rt0p1725_g0p400_u0p050,100_policy_exact_allocations_expected_loss,347,1000000.0,175696.21562526395,258975.12162751058,394706.01519887906,394706.01519887906,-219009.7995736151,0.404,0.1725,0.4,0.05,2351.8869819874235,36232.12119372585,False
paper4_v4_local_rt0p1725_g0p400_u0p075,100_policy_exact_allocations_expected_loss,347,1000000.0,175696.21562526395,258975.12162751058,394706.01519887906,394706.01519887906,-219009.7995736151,0.528,0.1725,0.4,0.075,2351.8869819874235,36232.12119372585,False
paper4_v4_local_rt0p1725_g0p400_u0p100,100_policy_exact_allocations_expected_loss,347,1000000.0,175696.21562526395,258975.12162751058,394706.01519887906,394706.01519887906,-219009.7995736151,0.544,0.1725,0.4,0.1,2351.8869819874235,36232.12119372585,False
paper4_v4_local_rt0p1775_g0p425_u0p000,100_policy_exact_allocations_expected_loss,348,1000000.0,175282.58472726814,259209.02376713537,395095.8520982537,395095.8520982537,-219813.26737098553,0.544,0.1775,0.425,0.0,2765.5178799832356,36621.95809310046,False
paper4_v4_local_rt0p1775_g0p425_u0p025,100_policy_exact_allocations_expected_loss,348,1000000.0,175282.58472726814,259209.02376713537,395095.8520982537,395095.8520982537,-219813.26737098553,0.44,0.1775,0.425,0.025,2765.5178799832356,36621.95809310046,False
paper4_v4_local_rt0p1775_g0p425_u0p050,100_policy_exact_allocations_expected_loss,348,1000000.0,175282.58472726814,259209.02376713537,395095.8520982537,395095.8520982537,-219813.26737098553,0.508,0.1775,0.425,0.05,2765.5178799832356,36621.95809310046,False
paper4_v4_local_rt0p1775_g0p425_u0p075,100_policy_exact_allocations_expected_loss,348,1000000.0,175282.58472726814,259209.02376713537,395095.8520982537,395095.8520982537,-219813.26737098553,0.484,0.1775,0.425,0.075,2765.5178799832356,36621.95809310046,False
paper4_v4_local_rt0p1775_g0p425_u0p100,100_policy_exact_allocations_expected_loss,348,1000000.0,175282.58472726814,259209.02376713537,395095.8520982537,395095.8520982537,-219813.26737098553,0.52,0.1775,0.425,0.1,2765.5178799832356,36621.95809310046,False
paper4_v4_local_rt0p1750_g0p400_u0p100,100_policy_exact_allocations_expected_loss,345,1000000.0,172708.2425000014,261141.20307127596,398316.15093848796,398316.15093848796,-225607.90843848657,0.44,0.175,0.4,0.1,5339.860107249988,39842.25693333475,False
paper4_v4_local_rt0p1775_g0p400_u0p100,100_policy_exact_allocations_expected_loss,345,1000000.0,172708.2425000014,261141.20307127596,398316.15093848796,398316.15093848796,-225607.90843848657,0.456,0.1775,0.4,0.1,5339.860107249988,39842.25693333475,False
paper4_v4_local_rt0p1750_g0p400_u0p075,100_policy_exact_allocations_expected_loss,346,1000000.0,172765.31250000416,261366.0448044002,398690.88716036174,398690.88716036174,-225925.57466035758,0.448,0.175,0.4,0.075,5282.790107247216,40216.99315520853,False
paper4_v4_local_rt0p1775_g0p400_u0p075,100_policy_exact_allocations_expected_loss,346,1000000.0,172765.31250000416,261366.0448044002,398690.88716036174,398690.88716036174,-225925.57466035758,0.44,0.1775,0.4,0.075,5282.790107247216,40216.99315520853,False
paper4_v4_local_rt0p1750_g0p400_u0p050,100_policy_exact_allocations_expected_loss,346,1000000.0,172767.23249999774,261373.80867231614,398703.8269402216,398703.8269402216,-225936.59444022385,0.444,0.175,0.4,0.05,5280.870107253635,40229.932935068384,False
paper4_v4_local_rt0p1775_g0p400_u0p050,100_policy_exact_allocations_expected_loss,346,1000000.0,172767.23249999774,261373.80867231614,398703.8269402216,398703.8269402216,-225936.59444022385,0.444,0.1775,0.4,0.05,5280.870107253635,40229.932935068384,False
paper4_v4_local_rt0p1750_g0p400_u0p025,100_policy_exact_allocations_expected_loss,346,1000000.0,172778.21250000078,261418.5691100004,398778.42766969535,398778.42766969535,-226000.21516969457,0.476,0.175,0.4,0.025,5269.890107250598,40304.533664542134,False
paper4_v4_local_rt0p1775_g0p400_u0p025,100_policy_exact_allocations_expected_loss,346,1000000.0,172778.21250000078,261418.5691100004,398778.42766969535,398778.42766969535,-226000.21516969457,0.456,0.1775,0.4,0.025,5269.890107250598,40304.533664542134,False
paper4_v4_local_rt0p1750_g0p400_u0p000,100_policy_exact_allocations_expected_loss,346,1000000.0,172888.58249999856,261875.08708297048,399539.29095797887,399539.29095797887,-226650.7084579803,0.46,0.175,0.4,0.0,5159.520107252814,41065.39695282566,False
paper4_v4_local_rt0p1775_g0p400_u0p000,100_policy_exact_allocations_expected_loss,346,1000000.0,172888.58249999856,261875.08708297048,399539.29095797887,399539.29095797887,-226650.7084579803,0.46,0.1775,0.4,0.0,5159.520107252814,41065.39695282566,False
