policy_id,source_id,pooling_rule,n_cells,n_defended_cells,n_small_cells,worst_source_coverage_v4,mean_source_coverage_v4,defended_exposure,mdcp_gate_pass_80,online_worst_source_coverage_v4
paper4_v4_local_rt0p1700_g0p400_u0p075,score_decile,native_min8,5,5,0,0.8333333333333334,0.9343611165658045,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,grade_period,native_min8,22,11,11,0.8571428571428572,0.9563860847583087,889350.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,grade_score,native_min8,19,8,11,0.8571428571428572,0.9506581596163204,874675.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,original_grade,native_min8,6,5,1,0.8461538461538461,0.9460003200262941,996000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,period,native_min8,5,5,0,0.8974358974358975,0.9488749345892202,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,term,native_min8,2,1,1,0.945619335347432,0.945619335347432,895626.5773054921,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,state_top20,native_min8,21,14,7,0.8333333333333334,0.9429146254786366,866625.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,income_band,native_min8,5,5,0,0.875,0.9269655106040456,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,dti_band,native_min8,5,5,0,0.92,0.9449448223733938,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,score_decile,native_min8,5,5,0,0.8333333333333334,0.9343611165658045,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,grade_period,native_min8,22,11,11,0.8571428571428572,0.9563860847583087,889350.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p100,grade_score,native_min8,19,8,11,0.8571428571428572,0.9506581596163204,874675.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p000,original_grade,native_min8,7,5,2,0.8461538461538461,0.9322152261216974,993500.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,period,native_min8,5,5,0,0.8947368421052632,0.9475517084276491,1000000.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,term,native_min8,2,1,1,0.9429429429429429,0.9429429429429429,899925.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,state_top20,native_min8,21,16,5,0.75,0.9350690932065774,923175.0,False,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,income_band,native_min8,5,5,0,0.875,0.9246565934065935,1000000.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,dti_band,native_min8,5,5,0,0.9166666666666666,0.9433324104835734,1000000.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,score_decile,native_min8,5,5,0,0.8235294117647058,0.9217064185762359,1000000.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,grade_period,native_min8,24,12,12,0.8837209302325582,0.9523006156648094,895875.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p000,grade_score,native_min8,20,9,11,0.8571428571428572,0.9478466475377567,922375.0,True,0.75
paper4_v4_local_rt0p1700_g0p425_u0p025,original_grade,native_min8,7,5,2,0.8461538461538461,0.930973211782562,993500.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,period,native_min8,5,5,0,0.8969072164948454,0.9479659813253676,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,term,native_min8,2,1,1,0.9431137724550899,0.9431137724550899,899925.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,state_top20,native_min8,21,16,5,0.75,0.9344805657305657,923175.0,False,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,income_band,native_min8,5,4,1,0.9032258064516129,0.937721675611846,991175.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,dti_band,native_min8,5,5,0,0.9166666666666666,0.9433740168401084,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,score_decile,native_min8,5,5,0,0.8235294117647058,0.9210162312469828,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,grade_period,native_min8,24,12,12,0.8837209302325582,0.9517331854098791,898875.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p025,grade_score,native_min8,20,9,11,0.8571428571428572,0.9468243047706412,922375.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,original_grade,native_min8,7,5,2,0.8461538461538461,0.9381897967514405,993500.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,period,native_min8,5,5,0,0.9052631578947369,0.949921664626683,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,term,native_min8,2,1,1,0.9461077844311377,0.9461077844311377,899925.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,state_top20,native_min8,21,16,5,0.75,0.9358076460297846,923175.0,False,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,income_band,native_min8,5,4,1,0.9032258064516129,0.9392744706429019,991175.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,dti_band,native_min8,5,5,0,0.9166666666666666,0.9451002826759994,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,score_decile,native_min8,5,5,0,0.8235294117647058,0.9268515207425004,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,grade_period,native_min8,24,11,13,0.8837209302325582,0.9580290538581743,854950.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p050,grade_score,native_min8,20,9,11,0.8571428571428572,0.9517457965342382,922375.0,True,0.8
paper4_v4_local_rt0p1700_g0p425_u0p075,original_grade,native_min8,7,5,2,0.8461538461538461,0.9370028780743066,993500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,period,native_min8,5,5,0,0.8863636363636364,0.9457157097288678,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,term,native_min8,2,1,1,0.9425981873111783,0.9425981873111783,899925.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,state_top20,native_min8,21,16,5,0.75,0.9296642475072353,923175.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,income_band,native_min8,5,4,1,0.8709677419354839,0.9309641140814009,991175.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,dti_band,native_min8,5,5,0,0.9166666666666666,0.942308092653542,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,score_decile,native_min8,5,5,0,0.8235294117647058,0.9250675636823644,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,grade_period,native_min8,24,11,13,0.8571428571428572,0.9543912144248803,854950.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p075,grade_score,native_min8,20,9,11,0.8571428571428572,0.9503827914272502,922375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,original_grade,native_min8,7,5,2,0.8461538461538461,0.9364019439207409,992500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,period,native_min8,5,5,0,0.8863636363636364,0.9458911483253589,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,term,native_min8,2,1,1,0.9425981873111783,0.9425981873111783,899925.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,state_top20,native_min8,21,16,5,0.75,0.9293426177970752,923175.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,income_band,native_min8,5,5,0,0.875,0.920243699806148,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,dti_band,native_min8,5,5,0,0.9166666666666666,0.9423156180517609,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,score_decile,native_min8,5,5,0,0.8333333333333334,0.9266630303810717,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,grade_period,native_min8,24,10,14,0.8571428571428572,0.9503498163868489,830775.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p425_u0p100,grade_score,native_min8,20,9,11,0.8571428571428572,0.9498684351732926,921375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p000,original_grade,native_min8,7,5,2,0.8461538461538461,0.9295618596766883,993500.0,True,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,period,native_min8,5,5,0,0.9,0.9483040397062963,1000000.0,True,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,term,native_min8,2,1,1,0.9434523809523809,0.9434523809523809,899925.0,True,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,state_top20,native_min8,21,16,5,0.75,0.9344605149752209,923175.0,False,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,income_band,native_min8,5,5,0,0.7777777777777778,0.9077209233433597,1000000.0,False,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,dti_band,native_min8,5,5,0,0.9166666666666666,0.9436266460607232,1000000.0,True,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,score_decile,native_min8,5,5,0,0.8461538461538461,0.9228572750356101,1000000.0,True,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,grade_period,native_min8,24,12,12,0.8666666666666667,0.9508611341823551,892725.0,True,0.75
paper4_v4_local_rt0p1700_g0p450_u0p000,grade_score,native_min8,20,9,11,0.896551724137931,0.9504764012539536,922375.0,True,0.75
paper4_v4_local_rt0p1700_g0p450_u0p025,original_grade,native_min8,7,5,2,0.8461538461538461,0.9342123705503986,993500.0,True,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,period,native_min8,5,5,0,0.9069767441860466,0.9504027198445805,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,term,native_min8,2,1,1,0.9464285714285714,0.9464285714285714,899925.0,True,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,state_top20,native_min8,21,15,6,0.75,0.9306160322878589,899175.0,False,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,income_band,native_min8,5,5,0,0.75,0.9032960323832464,1000000.0,False,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,dti_band,native_min8,5,5,0,0.9166666666666666,0.9452735698515751,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,score_decile,native_min8,5,5,0,0.8461538461538461,0.9270172097127434,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,grade_period,native_min8,24,12,12,0.9,0.9560828222165432,895725.0,True,0.8
paper4_v4_local_rt0p1700_g0p450_u0p025,grade_score,native_min8,20,9,11,0.9,0.9534667656236285,922375.0,True,0.8
paper4_v4_local_rt0p1700_g0p450_u0p050,original_grade,native_min8,7,5,2,0.8461538461538461,0.9386820246716466,993500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,period,native_min8,5,5,0,0.8863636363636364,0.9480000000000001,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,term,native_min8,2,1,1,0.9462686567164179,0.9462686567164179,900462.5987391218,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,state_top20,native_min8,21,14,7,0.8333333333333334,0.940772719344148,874525.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,income_band,native_min8,5,4,1,0.8823529411764706,0.9354903229894862,991175.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,dti_band,native_min8,5,5,0,0.9166666666666666,0.9445290202834962,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,score_decile,native_min8,5,5,0,0.8333333333333334,0.9279527480241837,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,grade_period,native_min8,24,12,12,0.8571428571428572,0.9600331959706959,898875.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p050,grade_score,native_min8,20,9,11,0.8888888888888888,0.9546407144553757,922375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,original_grade,native_min8,7,5,2,0.8461538461538461,0.9387948717948718,992500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,period,native_min8,5,5,0,0.8863636363636364,0.9483049381889588,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,term,native_min8,2,1,1,0.9461077844311377,0.9461077844311377,899925.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,state_top20,native_min8,21,16,5,0.75,0.9307391612737999,923175.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,income_band,native_min8,5,5,0,0.875,0.9219216701562948,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,dti_band,native_min8,5,5,0,0.92,0.9450654314765481,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,score_decile,native_min8,5,5,0,0.8666666666666667,0.9342097371565113,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,grade_period,native_min8,24,11,13,0.8571428571428572,0.9573200375904137,869575.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p075,grade_score,native_min8,20,9,11,0.9090909090909091,0.956704475913898,921375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,original_grade,native_min8,7,5,2,0.8461538461538461,0.9382846402609248,992500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,period,native_min8,5,5,0,0.8863636363636364,0.9480208095997569,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,term,native_min8,2,1,1,0.9462686567164179,0.9462686567164179,899925.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,state_top20,native_min8,21,16,5,0.75,0.9313225508374525,923175.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,income_band,native_min8,5,5,0,0.875,0.9223726034167108,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,dti_band,native_min8,5,5,0,0.92,0.9449910831108645,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,score_decile,native_min8,5,5,0,0.8571428571428572,0.9321859830036875,1000000.0000000001,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,grade_period,native_min8,24,10,14,0.8571428571428572,0.9530578485503843,829275.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p450_u0p100,grade_score,native_min8,20,9,11,0.9,0.9550770909531797,921375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p000,original_grade,native_min8,7,5,2,0.8461538461538461,0.9298087439514223,993500.0,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,period,native_min8,5,5,0,0.9019607843137255,0.9489766948891436,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,term,native_min8,2,1,1,0.9437869822485208,0.9437869822485208,906525.0,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,state_top20,native_min8,21,14,7,0.8333333333333334,0.9438189081614506,874525.0,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,income_band,native_min8,5,5,0,0.75,0.902429133077838,1000000.0,False,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,dti_band,native_min8,5,5,0,0.9166666666666666,0.9439279348102879,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,score_decile,native_min8,5,5,0,0.8333333333333334,0.9206297716179883,1000000.0,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,grade_period,native_min8,24,12,12,0.8666666666666667,0.9518238705738705,890923.085484386,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p000,grade_score,native_min8,20,9,11,0.8888888888888888,0.9496268337377194,922375.0,True,0.8
paper4_v4_local_rt0p1700_g0p475_u0p025,original_grade,native_min8,7,5,2,0.8461538461538461,0.9276243323639543,993500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,period,native_min8,5,5,0,0.8863636363636364,0.9450830539323689,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,term,native_min8,2,1,1,0.9413489736070382,0.9413489736070382,912992.2600059559,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,state_top20,native_min8,21,14,7,0.8333333333333334,0.9381666769271811,874525.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,income_band,native_min8,5,5,0,0.75,0.8974509531160436,1000000.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,dti_band,native_min8,5,5,0,0.9166666666666666,0.9417647776811696,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,score_decile,native_min8,5,5,0,0.8333333333333334,0.9186287387001745,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,grade_period,native_min8,24,12,12,0.8571428571428572,0.9481284340659341,895725.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p025,grade_score,native_min8,20,9,11,0.8888888888888888,0.9475860407340354,922375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,original_grade,native_min8,7,5,2,0.8461538461538461,0.9277006100146027,992500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,period,native_min8,5,5,0,0.8863636363636364,0.9449611074004277,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,term,native_min8,2,1,1,0.9406528189910979,0.9406528189910979,907454.8746903318,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,state_top20,native_min8,21,14,7,0.8181818181818181,0.9357997562547675,874525.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,income_band,native_min8,5,5,0,0.7777777777777778,0.9020376128644376,1000000.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,dti_band,native_min8,5,5,0,0.9166666666666666,0.9412388591800358,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,score_decile,native_min8,5,5,0,0.8461538461538461,0.9208164601083562,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,grade_period,native_min8,24,11,13,0.8571428571428572,0.9436718374218374,866425.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p050,grade_score,native_min8,20,9,11,0.8888888888888888,0.9476696835457723,921375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,original_grade,native_min8,7,5,2,0.8461538461538461,0.9324961949720171,992500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,period,native_min8,5,5,0,0.8863636363636364,0.9465443912812335,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,term,native_min8,2,1,1,0.9437869822485208,0.9437869822485208,907520.2729226138,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,state_top20,native_min8,21,15,6,0.8125,0.940524829969631,898525.0000000001,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,income_band,native_min8,5,5,0,0.7777777777777778,0.9037558609570511,1000000.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,dti_band,native_min8,5,5,0,0.92,0.943510194733312,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,score_decile,native_min8,5,5,0,0.8333333333333334,0.922662173479878,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,grade_period,native_min8,24,11,13,0.8571428571428572,0.948037634849031,866425.0000000001,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p075,grade_score,native_min8,20,9,11,0.875,0.9488103169327824,921375.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,original_grade,native_min8,7,5,2,0.8461538461538461,0.9402811289429994,992500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,period,native_min8,5,5,0,0.8913043478260869,0.9511441424484903,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,term,native_min8,2,1,1,0.9495548961424333,0.9495548961424333,904324.6000277245,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,state_top20,native_min8,21,15,6,0.8666666666666667,0.9490286906076382,898525.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,income_band,native_min8,5,5,0,0.875,0.9289376276031034,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,dti_band,native_min8,5,5,0,0.9294117647058824,0.9528575336688861,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,score_decile,native_min8,5,5,0,0.9,0.9414674907478473,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,grade_period,native_min8,24,11,13,0.8571428571428572,0.9594726803341408,869575.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p475_u0p100,grade_score,native_min8,20,8,12,0.9154929577464789,0.9628376467958075,891874.6000274745,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,original_grade,native_min8,7,5,2,0.8461538461538461,0.9279913069386753,993500.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,period,native_min8,5,5,0,0.8863636363636364,0.944930846930847,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,term,native_min8,2,1,1,0.9411764705882353,0.9411764705882353,909825.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,state_top20,native_min8,21,14,7,0.8333333333333334,0.9381889935461364,874525.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,income_band,native_min8,5,5,0,0.75,0.8975876095118899,1000000.0,False,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,dti_band,native_min8,5,5,0,0.9166666666666666,0.9415942746973673,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,score_decile,native_min8,5,5,0,0.8,0.9123466874181233,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p500_u0p000,grade_period,native_min8,24,12,12,0.8571428571428572,0.9486317248131272,886700.0,True,0.8181818181818182
