policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,scenario_loss_mean,scenario_loss_max,scenario_loss_cvar90,floor_v10,range_idx_v10,iteration_v10,tested_cvar_cap_v10,feasible_v10,solver_lane_v10,pool_n_v10,auditability_score_v10,non_dominated_v10
v10_cvar_decomp_floor110000_r2_i3_cap165000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8331483960064361,,,,,,,0,0.0,,,,,,,,,110000.0,2,3,165000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor125000_r1_i1_cap225000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.2634463349968428,,,,,,,0,0.0,,,,,,,,,125000.0,1,1,225000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor125000_r2_i2_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8199434739944991,,,,,,,0,0.0,,,,,,,,,125000.0,2,2,210000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor125000_r3_i3_cap206250,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.94861796299665,,,,,,,0,0.0,,,,,,,,,125000.0,3,3,206250.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r1_i1_cap225000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0632239740007208,,,,,,,0,0.0,,,,,,,,,140000.0,1,1,225000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r1_i2_cap292500,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.992415587999858,,,,,,,0,0.0,,,,,,,,,140000.0,1,2,292500.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r1_i3_cap326250,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7735317469996517,,,,,,,0,0.0,,,,,,,,,140000.0,1,3,326250.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r1_i4_cap343125,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9368069389965967,,,,,,,0,0.0,,,,,,,,,140000.0,1,4,343125.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r2_i1_cap300000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0000195560060092,,,,,,,0,0.0,,,,,,,,,140000.0,2,1,300000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r2_i2_cap390000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7410006019999855,,,,,,,0,0.0,,,,,,,,,140000.0,2,2,390000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r2_i3_cap435000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7727524680012721,,,,,,,0,0.0,,,,,,,,,140000.0,2,3,435000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r2_i4_cap457500,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8887829600062105,,,,,,,0,0.0,,,,,,,,,140000.0,2,4,457500.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r3_i1_cap375000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.796872548002284,,,,,,,0,0.0,,,,,,,,,140000.0,3,1,375000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r3_i2_cap487500,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7488720839974121,,,,,,,0,0.0,,,,,,,,,140000.0,3,2,487500.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r3_i3_cap543750,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7906217739946442,,,,,,,0,0.0,,,,,,,,,140000.0,3,3,543750.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor140000_r3_i4_cap571875,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7750739339971915,,,,,,,0,0.0,,,,,,,,,140000.0,3,4,571875.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r1_i1_cap225000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1255961709975963,,,,,,,0,0.0,,,,,,,,,150000.0,1,1,225000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r1_i2_cap292500,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.2029991360032,,,,,,,0,0.0,,,,,,,,,150000.0,1,2,292500.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r1_i3_cap326250,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1023833510043914,,,,,,,0,0.0,,,,,,,,,150000.0,1,3,326250.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r1_i4_cap343125,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.765141225005209,,,,,,,0,0.0,,,,,,,,,150000.0,1,4,343125.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r2_i1_cap300000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7789243110019015,,,,,,,0,0.0,,,,,,,,,150000.0,2,1,300000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r2_i2_cap390000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8382911700027762,,,,,,,0,0.0,,,,,,,,,150000.0,2,2,390000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r2_i3_cap435000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7654434680007398,,,,,,,0,0.0,,,,,,,,,150000.0,2,3,435000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r2_i4_cap457500,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7763888280023821,,,,,,,0,0.0,,,,,,,,,150000.0,2,4,457500.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r3_i1_cap375000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.000989356005448,,,,,,,0,0.0,,,,,,,,,150000.0,3,1,375000.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r3_i2_cap487500,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.986914656998124,,,,,,,0,0.0,,,,,,,,,150000.0,3,2,487500.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r3_i3_cap543750,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8304846969986102,,,,,,,0,0.0,,,,,,,,,150000.0,3,3,543750.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
v10_cvar_decomp_floor150000_r3_i4_cap571875,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.785602857999038,,,,,,,0,0.0,,,,,,,,,150000.0,3,4,571875.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
