artifact,exists,requirement,matching_columns,available_for_contractual_ifrs9,available_for_proxy_ecl,decision_v21
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,monthly_ead_path,ead_start_proxy,False,True,usable_proxy_component
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,coherent_macro_scenarios,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,servicing_panel_monthly,month,False,True,usable_proxy_component
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,monthly_days_past_due,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,forbearance_hardship,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,default_timing,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,cure_timing,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,prepayment_timing,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,monthly_ead_path,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v17_ifrs9_proxy_monthly_panel.parquet,True,coherent_macro_scenarios,,False,False,data_blocked
