policy_id,month_idx,calendar_month,cash_end,principal_in,interest_in,realized_loss,recovery_in,expected_loss,capital_used,outstanding_items,outstanding_balance_proxy,macro_state_v8,state_value_proxy_v8,continuation_value_proxy_v8,decision_scope
v8_dla_value_function_proxy,15,2019-03-01,104283.39273643916,48172.91666666678,6221.639560185186,3044.0625,318.32593538345213,4080.9324693111585,152697.9333102063,604,707610.4166666665,0.1809088963246529,789489.1249365697,685205.7322001306,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,16,2019-04-01,103710.85878834684,50633.333333333525,6132.835306712963,5140.0,551.2974118611938,3697.723916180401,152110.01325670836,613,698304.861111111,0.0914564730143069,780064.7943924725,676353.9356041256,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,17,2019-05-01,103859.00736473594,51879.16666666687,6087.6819097222215,5330.0,586.3,3185.6842757177615,150022.8937514133,617,687656.2499999999,-0.039698210356003585,770326.8258388485,666467.8184741125,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,18,2019-06-01,114359.74578083883,63370.83333333358,5957.685850694441,7666.875000000001,789.0942320747941,4086.4364337442016,147366.3233134356,602,659197.9166666665,0.23591540632137564,751787.267216149,637427.5214353101,loan_level_monthly_value_function_proxy
v8_static_monthly_reference,1,2018-01-01,716450.0,0.0,0.0,0.0,0.0,0.0,0.0,10,283550.0,0.09324072411178948,1000000.0,283550.0,loan_level_monthly_static_reference_score
v8_static_monthly_reference,2,2018-02-01,453168.12513888883,7876.3888888888905,2516.7362500000004,0.0,0.0,1478.8313687082318,57125.80985785276,109,549348.6111111111,-0.012648536647571623,994182.8076983494,541014.6825594605,loan_level_monthly_static_reference_score
v8_static_monthly_reference,3,2018-03-01,317913.72017361113,56422.91666666672,5027.6783680555545,4500.0,495.0,2623.659311972958,119495.61469049528,170,675625.6944444445,-0.15532597118928929,976576.2815432232,658662.5613696121,loan_level_monthly_static_reference_score
v8_static_monthly_reference,4,2018-04-01,231091.08476273157,45574.861111111146,6433.678478009262,2057.5,226.325,2664.2277373927923,150908.70404730173,211,762478.6111111111,-0.37356492886549086,972796.4236507737,741705.3388880421,loan_level_monthly_static_reference_score
v8_static_monthly_reference,5,2018-05-01,178337.78479513898,48743.61111111113,7346.701421296295,3251.25,357.63750000000005,3790.73426261273,172387.3792485236,234,812460.0,-0.16053158664884887,966320.5650227034,787982.7802275644,loan_level_monthly_static_reference_score
v8_static_monthly_reference,6,2018-06-01,154812.15430439837,66924.16666666679,7920.5778425925955,5837.5,642.125,3713.2018424884423,184443.70261521556,248,825738.6111111111,-0.24817672911534677,954704.3192591951,799892.1649547968,loan_level_monthly_static_reference_score
v8_static_monthly_reference,7,2018-07-01,152713.76758449103,51754.027777777854,8447.58550231481,0.0,0.0,6044.126131669756,190745.4961385025,250,836284.5833333334,0.19056913157856142,960064.7652495344,807350.9976650433,loan_level_monthly_static_reference_score
v8_static_monthly_reference,8,2018-08-01,151770.5133132129,71033.1944444446,8814.950737268515,877.5000000000001,86.1005470087559,7778.75447695427,195957.16542974242,243,843301.3888888889,0.3959906169513433,963778.2878735785,812007.7745603656,loan_level_monthly_static_reference_score
v8_static_monthly_reference,9,2018-09-01,104779.70015916435,31521.527777777766,8155.515891203699,36638.75000000001,3570.8931769699675,8168.214050969843,199891.3806131658,245,783960.4166666666,0.41792666965078706,856584.9371012812,751805.2369421169,loan_level_monthly_static_reference_score
v8_static_monthly_reference,10,2018-10-01,100890.62309654534,41665.97222222223,8384.99960069444,7643.75,728.7011144642686,8235.20277175093,187184.2439350657,231,772333.3333333334,0.4889021991201154,842526.6443859199,741636.0212893746,loan_level_monthly_static_reference_score
v8_static_monthly_reference,11,2018-11-01,107414.99228123718,37768.75,8348.684305555555,14433.75,1290.6848791362884,10263.388645615592,187291.28776757212,214,728939.5833333334,0.6859562272768374,803616.2324368464,696201.2401556092,loan_level_monthly_static_reference_score
v8_static_monthly_reference,12,2018-12-01,110946.44032528636,58129.86111111119,7969.910752314816,13762.187500000004,1293.8636806232078,8255.22506428367,176239.65630696746,203,690327.0833333334,0.5328051817750444,771869.5398375,660923.0995122136,loan_level_monthly_static_reference_score
v8_static_monthly_reference,13,2019-01-01,103733.20741678186,59555.555555555635,7471.1383043981505,14059.375000000004,1544.4482315417395,4656.637494866989,168099.84645583347,204,661253.4722222222,0.004938622706108786,740158.0605694372,636424.8531526553,loan_level_monthly_static_reference_score
v8_static_monthly_reference,14,2019-02-01,88566.3218083774,35656.24999999999,7770.004901620371,6462.499999999999,694.3594899751622,4984.699567676381,163605.12021277822,206,664061.1111111111,0.08518638310683516,728010.1189262788,639443.7971179014,loan_level_monthly_static_reference_score
v8_static_monthly_reference,15,2019-03-01,96638.14756647928,58765.277777777796,8106.547980324075,0.0,0.0,5627.714797252012,165805.09415546583,216,664095.8333333334,0.1809088963246529,735209.6548039048,638571.5072374255,loan_level_monthly_static_reference_score
v8_static_monthly_reference,16,2019-04-01,120021.72958678086,59597.22222222227,8147.666869212965,2645.0,283.69292886631473,5356.207908337708,168666.03041706036,211,640620.8333333334,0.0914564730143069,735046.4313617293,615024.7017749484,loan_level_monthly_static_reference_score
v8_static_monthly_reference,17,2019-05-01,113189.13867821608,62900.000000000065,7479.896591435186,10238.75,1126.2624999999998,4551.637543386375,163016.92571354005,215,623068.0555555555,-0.039698210356003585,712143.5256047604,598954.3869265444,loan_level_monthly_static_reference_score
v8_static_monthly_reference,18,2019-06-01,102456.88278706587,37125.0,7565.043836805557,3062.5,315.2002720442236,5753.140816349366,157658.41739793794,212,631812.5,0.23591540632137564,709597.2318829638,607140.349095898,loan_level_monthly_static_reference_score
