period,policy_id,funded_count,funded_exposure,realized_return_proxy_lgd45,ecl_proxy_lgd45,observed_default_rate,weighted_miscoverage,coverage_90,coverage_95,avg_width_90,gap_90,status
2019H1,paper1_economic_champion,15,33800.0,2469.1400000000003,5584.875782909516,0.06666666666666667,0.06666666666666667,0.9295142893758811,0.9655260797129309,0.7526395260990795,0.029514289375881075,historical_replay_not_online_learning
2019H1,paper1_economic_champion,15,40575.0,6471.575000000001,4905.510922542716,0.06666666666666667,0.06666666666666667,0.9341194968553459,0.9657232704402515,0.7382811699080779,0.03411949685534588,historical_replay_not_online_learning
2019H2,paper1_economic_champion,24,79950.0,14503.68,9035.599598450357,0.08333333333333333,0.08333333333333333,0.9453695588664914,0.9725387087350278,0.750740356511809,0.04536955886649141,historical_replay_not_online_learning
2019H2,paper1_economic_champion,14,51611.093435464434,11317.804909413759,8824.912526789936,0.0,0.0,0.9521461187214612,0.9746118721461188,0.7486454428920314,0.05214611872146113,historical_replay_not_online_learning
2019H2,paper1_economic_champion,9,21850.0,4394.1900000000005,2186.0563259700875,0.0,0.0,0.9551611396543671,0.976879962634283,0.7536254607276428,0.055161139654367086,historical_replay_not_online_learning
2019H2,paper1_economic_champion,9,35625.0,7356.935,4760.334609207443,0.0,0.0,0.9616117615028587,0.9744078410019058,0.7589003374788484,0.06161176150285863,historical_replay_not_online_learning
2019H2,paper1_economic_champion,11,39475.0,7986.000000000001,11620.233929032738,0.18181818181818182,0.18181818181818182,0.9705083430345363,0.9821497865735351,0.7662986094178487,0.07050834303453624,historical_replay_not_online_learning
2019H2,paper1_economic_champion,9,31725.0,5366.6375,3332.303006466045,0.0,0.0,0.976159514521023,0.987429562201994,0.7638906938802448,0.07615951452102299,historical_replay_not_online_learning
2020,paper1_economic_champion,8,24025.0,5645.077500000001,4570.61437537514,0.0,0.0,0.989646772228989,0.9957369062119367,0.7495411073831603,0.08964677222898898,historical_replay_not_online_learning
2020,paper1_economic_champion,4,4700.0,800.1999999999999,379.25252198320777,0.0,0.0,0.9945593035908596,0.9967355821545157,0.7309717591444801,0.09455930359085962,historical_replay_not_online_learning
2020,paper1_economic_champion,3,20000.0,3826.8999999999996,1914.3679913793817,0.0,0.0,0.9880715705765407,0.9980119284294234,0.5789322282872896,0.08807157057654069,historical_replay_not_online_learning
2020,paper1_economic_champion,1,2000.0,308.0,160.27179929353872,0.0,0.0,0.9931972789115646,0.9931972789115646,0.7011765195573985,0.0931972789115646,historical_replay_not_online_learning
2020,paper1_economic_champion,1,3000.0,420.59999999999997,174.95818121751404,0.0,0.0,1.0,1.0,0.5717992185831425,0.09999999999999998,historical_replay_not_online_learning
2020,paper1_economic_champion,3,10500.0,1484.75,680.1398126939472,0.0,0.0,1.0,1.0,0.6235627412415959,0.09999999999999998,historical_replay_not_online_learning
2020,paper1_economic_champion,3,11000.0,1903.0,1014.1675562959825,0.0,0.0,0.9935483870967742,1.0,0.5749383462190757,0.09354838709677415,historical_replay_not_online_learning
2020,paper1_economic_champion,1,3000.0,622.1999999999999,300.02231379746047,0.0,0.0,1.0,1.0,0.597985601327737,0.09999999999999998,historical_replay_not_online_learning
