regime_v56,soft_slack_v56,scenario_row,scenario_loss_v56,scenario_return_v56,eta_v56,excess_loss_v56
strict,True,39,79601.5451138373,-12276.544290801157,103174.21234954952,0.0
strict,True,40,52270.63495399948,13215.94977414869,103174.21234954952,0.0
strict,True,41,69678.42625869036,-2917.5311298654324,103174.21234954952,0.0
strict,True,42,92667.72489485827,-24580.118447588273,103174.21234954952,0.0
strict,True,43,59807.59473109358,6511.602634536288,103174.21234954952,0.0
strict,True,44,59682.97838882547,6192.300754341547,103174.21234954952,0.0
strict,True,45,58412.83132490246,7541.6103242150975,103174.21234954952,0.0
strict,True,46,87707.32930274779,-19865.60302289803,103174.21234954952,0.0
strict,True,47,74502.17085448852,-7297.60009002308,103174.21234954952,0.0
strict,True,48,51453.57143039599,13875.882758081938,103174.21234954952,0.0
strict,True,49,51383.44349316144,14096.840724734804,103174.21234954952,0.0
strict,True,50,84236.13504939033,-16630.35239092929,103174.21234954952,0.0
strict,True,51,81392.9408014823,-14001.058811351895,103174.21234954952,0.0
strict,True,52,55736.091979481935,9942.304972847973,103174.21234954952,0.0
strict,True,53,50356.372525531435,15135.048054778807,103174.21234954952,0.0
strict,True,54,132084.91830861068,-62896.87680313629,103174.21234954952,28910.70595906116
strict,True,55,56509.29815414653,9616.337600575906,103174.21234954952,0.0
strict,True,56,44388.534003175104,20393.414885555867,103174.21234954952,0.0
strict,True,57,71109.73320390782,-4286.464515953913,103174.21234954952,0.0
strict,True,58,91486.01425563735,-23527.25873570662,103174.21234954952,0.0
strict,True,59,59112.08318125899,7148.179482200307,103174.21234954952,0.0
strict,True,60,63365.41994662607,2856.338081196485,103174.21234954952,0.0
strict,True,61,83639.85932932932,-16267.41507789608,103174.21234954952,0.0
strict,True,62,78508.92822089714,-11042.116393988525,103174.21234954952,0.0
strict,True,63,77202.45866828608,-9937.773258256528,103174.21234954952,0.0
strict,True,64,38702.85499509985,25256.795186864863,103174.21234954952,0.0
strict,True,65,49839.099323436436,15395.652401702244,103174.21234954952,0.0
strict,True,66,98433.66921862194,-30234.275716207063,103174.21234954952,0.0
strict,True,67,60827.486724324095,5416.0974288873185,103174.21234954952,0.0
strict,True,68,53313.3229271346,12268.021654812022,103174.21234954952,0.0
strict,True,69,50617.800907699726,14844.649961673922,103174.21234954952,0.0
strict,True,70,109031.4078472803,-40442.97594577761,103174.21234954952,5857.195497730776
strict,True,71,53469.19696572362,12486.486753272166,103174.21234954952,0.0
strict,True,72,56164.16364186226,9543.991144859427,103174.21234954952,0.0
strict,True,73,66886.36524550404,-297.9139908023412,103174.21234954952,0.0
strict,True,74,89972.07231107767,-22023.113727182375,103174.21234954952,0.0
strict,True,75,77458.30408046473,-10187.28804246534,103174.21234954952,0.0
