policy_id,scenario,mean_diff_vs_paper1,p05_diff_vs_paper1,p50_diff_vs_paper1,p95_diff_vs_paper1,prob_beats_paper1,cvar90_simulated_loss,n_paths
paper4_v4_local_rt0p1700_g0p425_u0p050,baseline,264.3627122038453,-58091.10064230946,1508.6243709571017,57979.22214976712,0.528,217207.67087269336,250
paper4_v4_local_rt0p1700_g0p425_u0p050,severe,2925.63574831465,-57017.26616239128,1698.9741666823684,58328.77544840845,0.528,359351.51790050115,250
paper4_v4_local_rt0p1700_g0p425_u0p075,adverse,897.0169315139802,-53657.59664753386,-2261.94265950509,58182.342818266145,0.472,301973.06192785123,250
paper4_v4_local_rt0p1700_g0p425_u0p075,baseline,1148.4313022272092,-59242.82223163729,1533.291251620637,60484.15473756846,0.516,219980.3408494468,250
paper4_v4_local_rt0p1700_g0p425_u0p075,severe,2149.158977999305,-50353.18111116618,1326.8275524567216,60947.77086801478,0.512,371784.0878658909,250
paper4_v4_local_rt0p1700_g0p425_u0p100,adverse,3336.919694382738,-55378.20036902195,4113.834695189664,60855.69455126026,0.56,307634.6845628478,250
paper4_v4_local_rt0p1700_g0p425_u0p100,baseline,2988.2154342477174,-47658.63535952166,-392.82051313149213,58192.72810724204,0.496,214581.09309666892,250
paper4_v4_local_rt0p1700_g0p425_u0p100,severe,2737.614203541544,-52419.23585647672,2481.79034165349,55861.75420189143,0.524,375577.3546977828,250
paper4_v4_local_rt0p1700_g0p450_u0p000,adverse,5098.884496913122,-50296.61632124289,3662.637214914981,62113.44284170085,0.544,297811.19136674714,250
paper4_v4_local_rt0p1700_g0p450_u0p000,baseline,6772.078719147672,-51031.50083165903,8576.928527885888,60595.13027796608,0.604,212590.2051973302,250
paper4_v4_local_rt0p1700_g0p450_u0p000,severe,4318.562874775814,-49327.123532424695,5348.399679738133,60488.572364489875,0.552,368684.47998167656,250
paper4_v4_local_rt0p1700_g0p450_u0p025,adverse,5450.63454007262,-47868.42040012855,3538.1693262613553,65183.17973564139,0.536,300031.94538935716,250
paper4_v4_local_rt0p1700_g0p450_u0p025,baseline,6475.986761343501,-50447.59493928038,6454.845999223842,60151.22823565181,0.568,206963.85619264748,250
paper4_v4_local_rt0p1700_g0p450_u0p025,severe,3858.4838375514273,-52635.66788585373,4061.855926882366,61746.45640144675,0.548,364295.02391040477,250
paper4_v4_local_rt0p1700_g0p450_u0p050,adverse,3688.373535892855,-49947.01905223868,4150.028141095634,66744.88472488633,0.564,301526.8618377338,250
paper4_v4_local_rt0p1700_g0p450_u0p050,baseline,6611.899474364888,-49240.142523666844,6827.990018266481,61802.926377321186,0.564,210965.13368356603,250
paper4_v4_local_rt0p1700_g0p450_u0p050,severe,6576.928351018811,-51205.51986905437,7295.4330468388725,65745.3694920679,0.572,374502.43324753834,250
paper4_v4_local_rt0p1700_g0p450_u0p075,adverse,6929.326061568026,-53798.56258748262,7427.702381787958,72768.52061150539,0.588,302628.39875339234,250
paper4_v4_local_rt0p1700_g0p450_u0p075,baseline,7824.658239394536,-44875.30281601351,9308.449368991414,63927.9332601351,0.592,205233.7081330146,250
paper4_v4_local_rt0p1700_g0p450_u0p075,severe,4936.032164033813,-55256.57793322822,5887.277883839737,57260.1640930298,0.568,365688.59100049717,250
paper4_v4_local_rt0p1700_g0p450_u0p100,adverse,7466.113368237316,-51691.95340009422,8336.144662213335,60164.335572953336,0.596,291795.06711732957,250
paper4_v4_local_rt0p1700_g0p450_u0p100,baseline,5251.099005283676,-53349.846729808465,6629.086918154446,59185.23393642799,0.58,209931.45349848765,250
paper4_v4_local_rt0p1700_g0p450_u0p100,severe,8578.818589550372,-54245.30421418258,8909.060496908396,67995.04427887216,0.616,366850.7475307905,250
paper4_v4_local_rt0p1700_g0p475_u0p000,adverse,9795.696937281064,-39078.40519105169,9677.07166688134,69664.35456196245,0.588,290311.2930425778,250
paper4_v4_local_rt0p1700_g0p475_u0p000,baseline,10211.38487125551,-41611.487994478295,8383.311813483768,59793.973103902455,0.612,208523.1820985813,250
paper4_v4_local_rt0p1700_g0p475_u0p000,severe,11363.768836599178,-45099.09321394978,14125.814585612396,64553.97203380852,0.616,360407.6481680211,250
paper4_v4_local_rt0p1700_g0p475_u0p025,adverse,11803.38972019836,-42991.080184693754,9059.49012578697,62193.7444961427,0.616,291204.1992877257,250
paper4_v4_local_rt0p1700_g0p475_u0p025,baseline,10904.064080006658,-47044.226605608535,9958.999653787314,60755.407658419215,0.632,204550.76301632207,250
paper4_v4_local_rt0p1700_g0p475_u0p025,severe,11570.1839653807,-44679.151136542016,13315.426362955503,66932.5389728971,0.648,361568.8644885029,250
paper4_v4_local_rt0p1700_g0p475_u0p050,adverse,8388.656926587028,-47125.225588792855,8825.56418786051,65297.24785822206,0.588,298284.2644140816,250
paper4_v4_local_rt0p1700_g0p475_u0p050,baseline,9632.237818944921,-40542.220367445065,8899.128233902255,63587.14510204114,0.604,198570.91708723587,250
paper4_v4_local_rt0p1700_g0p475_u0p050,severe,12347.505052835997,-42840.62748260423,11749.117727032422,69345.66451721698,0.616,363158.4305392913,250
paper4_v4_local_rt0p1700_g0p475_u0p075,adverse,12754.67464569905,-42392.511726102784,10562.195524584327,70680.37556823091,0.632,289543.8250562428,250
paper4_v4_local_rt0p1700_g0p475_u0p075,baseline,12223.245370766821,-38434.236840109974,9680.576270382593,66538.70406395593,0.668,200753.89318478425,250
paper4_v4_local_rt0p1700_g0p475_u0p075,severe,10393.289333109102,-43275.86344150491,10857.095519806215,62182.61000781823,0.624,372312.0195302967,250
