policy_id,baseline_policy_id,n_bootstrap_paths,mean_net_return_diff,p05_net_return_diff,p50_net_return_diff,p95_net_return_diff,prob_diff_positive,status
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,4772.627561877101,-5521.575602390111,4370.098752029178,15758.197018831283,0.74,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,4681.909969300615,-6368.635468733256,5038.157459367001,16416.01351230919,0.765,monthly_bootstrap_paired_diagnostic
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,4370.369808058228,-5255.969496780225,3857.728807268082,14864.868222572204,0.72,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,2668.6589197515987,-7810.588782853887,2239.324343185559,15741.842220062428,0.62,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,2651.269470846187,-12455.996677289895,2931.885761251546,16929.014577385642,0.595,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,2560.2836887582885,-6741.540079252952,2628.6450864620456,13692.08878651765,0.635,monthly_bootstrap_paired_diagnostic
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,2439.841616554416,-8374.690911847923,2393.8198087725978,13440.167508666318,0.64,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,1781.8061765291025,-10557.621351895092,1372.568037740817,14345.644966772099,0.555,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,1711.3566457937022,-11349.761892721881,1532.0379369530492,17418.361476243037,0.565,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,1709.8771053271694,-12397.791410024716,2196.0480037038906,14959.859733782048,0.585,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,1638.5045450903312,-10023.029573209556,1594.6416438034794,14050.469328231244,0.58,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,1479.5489074459347,-8762.441515810331,1569.1355704621128,14429.803382307697,0.565,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,1364.856760811541,-9998.13162133087,744.6888479735499,15038.215286363846,0.545,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,1317.8926668348045,-10556.24562947085,1064.4390724501482,13324.0952746906,0.58,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,164.1979592538029,-8918.093298046679,-166.1005366696445,10642.58441619989,0.48,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,121.98620568683286,-10823.54830599942,-353.2442808139931,12424.088184703862,0.485,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,40.47451569998906,-11946.53472547834,-249.5240345557395,12114.945523652988,0.49,monthly_bootstrap_paired_diagnostic
paper1_economic_champion,paper1_economic_champion,200,0.0,0.0,0.0,0.0,0.0,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,-203.98245016898144,-8397.872343217252,-507.7609954096588,8713.726945237337,0.455,monthly_bootstrap_paired_diagnostic
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,-547.7150181497591,-13275.003893114344,-392.83346172953316,13618.80389540152,0.47,monthly_bootstrap_paired_diagnostic
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,-969.7402476306905,-13586.342725758424,-589.4997683968631,10277.739941148604,0.48,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,-1575.9143054463225,-15326.388999623165,-1499.2136799009822,10907.602027322924,0.435,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,-2417.101771306605,-15261.772500015833,-2591.5075961871116,10518.062267590205,0.375,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,-3901.8848132712988,-16622.031456481094,-3943.900524696517,9642.340955556452,0.325,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,-3943.262558490647,-15771.986101986542,-4309.7040594508,8192.733524012441,0.29,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,-6765.512612712446,-23341.045570881113,-6388.4302303346885,7353.648778819163,0.205,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,-7957.680443459098,-21470.701036509818,-8260.987367265756,6367.867659407637,0.18,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,-9600.193908945428,-25552.357354935233,-8603.302466645164,4282.628001856564,0.15,monthly_bootstrap_paired_diagnostic
