left_out_policy_id,min_support,policy_month_defended_min,source_month_defended_min,avg_width_loan,policy_month_cells,source_month_cells,defended_policy_month_cells,defended_source_month_cells
paper4_v4_local_rt0p1750_g0p475_u0p100,5,0.9,0.8,0.9342545161580121,3188,65131,2305,13715
paper4_v4_local_rt0p1750_g0p500_u0p000,5,0.9,0.8,0.9342824576491485,3188,65128,2305,13713
paper4_v4_local_rt0p1750_g0p500_u0p025,5,0.9,0.8,0.9342802867064748,3188,65129,2305,13715
paper4_v4_local_rt0p1750_g0p500_u0p050,5,0.9,0.8,0.9342747172728806,3188,65128,2305,13714
paper4_v4_local_rt0p1750_g0p500_u0p075,5,0.9,0.8,0.9342753721095909,3188,65129,2305,13715
paper4_v4_local_rt0p1750_g0p500_u0p100,5,0.9,0.8,0.934276560668236,3188,65129,2304,13712
paper4_v4_local_rt0p1775_g0p400_u0p000,5,0.9,0.8,0.9341858923843875,3187,65147,2304,13704
paper4_v4_local_rt0p1775_g0p400_u0p025,5,0.9,0.8,0.934189465454276,3187,65146,2304,13703
paper4_v4_local_rt0p1775_g0p400_u0p050,5,0.9,0.8,0.9341934412859156,3187,65147,2304,13703
paper4_v4_local_rt0p1775_g0p400_u0p075,5,0.9,0.8,0.9341962353188213,3187,65147,2303,13703
paper4_v4_local_rt0p1775_g0p400_u0p100,5,0.9,0.8,0.9341868053152281,3187,65147,2303,13703
paper4_v4_local_rt0p1775_g0p425_u0p000,5,0.9,0.8,0.9342150258841532,3187,65138,2304,13707
paper4_v4_local_rt0p1775_g0p425_u0p025,5,0.9,0.8,0.9342150258841532,3187,65138,2304,13707
paper4_v4_local_rt0p1775_g0p425_u0p050,5,0.9,0.8,0.9342150258841532,3187,65138,2304,13707
paper4_v4_local_rt0p1775_g0p425_u0p075,5,0.9,0.8,0.9342150258841532,3187,65138,2304,13707
paper4_v4_local_rt0p1775_g0p425_u0p100,5,0.9,0.8,0.9342150258841532,3187,65138,2304,13707
paper4_v4_local_rt0p1775_g0p450_u0p000,5,0.9,0.8,0.9342288766439144,3188,65134,2305,13720
paper4_v4_local_rt0p1775_g0p450_u0p025,5,0.9,0.8,0.9342288766439144,3188,65134,2305,13720
paper4_v4_local_rt0p1775_g0p450_u0p050,5,0.9,0.8,0.9342288766439144,3188,65134,2305,13720
paper4_v4_local_rt0p1775_g0p450_u0p075,5,0.9,0.8,0.9342288766439144,3188,65134,2305,13720
paper4_v4_local_rt0p1775_g0p450_u0p100,5,0.9,0.8,0.9342288766439144,3188,65134,2305,13720
paper4_v4_local_rt0p1775_g0p475_u0p000,5,0.9,0.8,0.9342535926754914,3188,65132,2305,13719
paper4_v4_local_rt0p1775_g0p475_u0p025,5,0.9,0.8,0.934249060661553,3188,65130,2305,13720
paper4_v4_local_rt0p1775_g0p475_u0p050,5,0.9,0.8,0.9342486262403261,3188,65129,2305,13719
paper4_v4_local_rt0p1775_g0p475_u0p075,5,0.9,0.8,0.9342485668008811,3188,65131,2305,13718
paper4_v4_local_rt0p1775_g0p475_u0p100,5,0.9,0.8,0.9342456512418865,3188,65130,2305,13717
paper4_v4_local_rt0p1775_g0p500_u0p000,5,0.9,0.8,0.9342705717635267,3188,65130,2305,13717
paper4_v4_local_rt0p1775_g0p500_u0p025,5,0.9,0.8,0.9342713727498906,3188,65131,2305,13718
paper4_v4_local_rt0p1775_g0p500_u0p050,5,0.9,0.8,0.9342638547876423,3188,65129,2305,13716
paper4_v4_local_rt0p1775_g0p500_u0p075,5,0.9,0.8,0.9342645092632897,3188,65130,2305,13716
paper4_v4_local_rt0p1775_g0p500_u0p100,5,0.9,0.8,0.9342689609847198,3188,65131,2305,13714
