policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u,floor_v10,tested_cvar_cap_v10
v10_cvar_decomp_floor110000_r3_i1_cap375000,adverse_high,1.65,0.58,164742.1273719443,0.0,110000.0,375000.0
v10_cvar_decomp_floor110000_r3_i1_cap375000,severe_mid,1.9,0.65,208766.7888137063,0.0,110000.0,375000.0
v10_cvar_decomp_floor110000_r3_i1_cap375000,severe_high,2.2,0.7,255925.1396198616,47158.35080615588,110000.0,375000.0
v10_cvar_decomp_floor110000_r3_i2_cap262500,baseline_mid,1.0,0.45,78750.00000007874,0.0,110000.0,262500.0
v10_cvar_decomp_floor110000_r3_i2_cap262500,baseline_high,1.12,0.48,94080.00000009408,0.0,110000.0,262500.0
v10_cvar_decomp_floor110000_r3_i2_cap262500,adverse_mid,1.4,0.55,134700.41506556488,0.0,110000.0,262500.0
v10_cvar_decomp_floor110000_r3_i2_cap262500,adverse_high,1.65,0.58,164742.1273719443,0.0,110000.0,262500.0
v10_cvar_decomp_floor110000_r3_i2_cap262500,severe_mid,1.9,0.65,208766.7888137063,0.0,110000.0,262500.0
v10_cvar_decomp_floor110000_r3_i2_cap262500,severe_high,2.2,0.7,255925.1396198616,9862.29057020688,110000.0,262500.0
v10_cvar_decomp_floor110000_r3_i3_cap206250,baseline_mid,1.0,0.45,64828.27768874775,0.0,110000.0,206250.0
v10_cvar_decomp_floor110000_r3_i3_cap206250,baseline_high,1.12,0.48,77448.18241215729,0.0,110000.0,206250.0
v10_cvar_decomp_floor110000_r3_i3_cap206250,adverse_mid,1.4,0.55,110857.79476135584,0.0,110000.0,206250.0
v10_cvar_decomp_floor110000_r3_i3_cap206250,adverse_high,1.65,0.58,134343.96493286014,0.0,110000.0,206250.0
v10_cvar_decomp_floor110000_r3_i3_cap206250,severe_mid,1.9,0.65,169186.55844155824,0.0,110000.0,206250.0
v10_cvar_decomp_floor110000_r3_i3_cap206250,severe_high,2.2,0.7,206249.99999999974,0.0,110000.0,206250.0
v10_cvar_decomp_floor110000_r3_i4_cap178125,baseline_mid,1.0,0.45,53787.77193939179,0.0,110000.0,178125.0
v10_cvar_decomp_floor110000_r3_i4_cap178125,baseline_high,1.12,0.48,64258.45821026007,0.0,110000.0,178125.0
v10_cvar_decomp_floor110000_r3_i4_cap178125,adverse_mid,1.4,0.55,91991.05273183143,0.0,110000.0,178125.0
v10_cvar_decomp_floor110000_r3_i4_cap178125,adverse_high,1.65,0.58,112994.78636143175,0.0,110000.0,178125.0
v10_cvar_decomp_floor110000_r3_i4_cap178125,severe_mid,1.9,0.65,144265.17857142855,0.0,110000.0,178125.0
v10_cvar_decomp_floor110000_r3_i4_cap178125,severe_high,2.2,0.7,178124.99999999997,0.0,110000.0,178125.0
v10_cvar_decomp_floor125000_r1_i2_cap292500,baseline_mid,1.0,0.45,78750.00000007874,0.0,125000.0,292500.0
v10_cvar_decomp_floor125000_r1_i2_cap292500,baseline_high,1.12,0.48,94080.00000009408,0.0,125000.0,292500.0
v10_cvar_decomp_floor125000_r1_i2_cap292500,adverse_mid,1.4,0.55,134700.41506556488,0.0,125000.0,292500.0
v10_cvar_decomp_floor125000_r1_i2_cap292500,adverse_high,1.65,0.58,164742.1273719443,0.0,125000.0,292500.0
v10_cvar_decomp_floor125000_r1_i2_cap292500,severe_mid,1.9,0.65,208766.7888137063,0.0,125000.0,292500.0
