policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.5,0.01,0.99,blended_uncertainty,0.1,incumbent_region,341,1000000.0,166244.65010111933,-9.304754025010658,0.042975,0.150881,0.0,0.042975,0.23544,0.08456,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.45,0.01,0.99,blended_uncertainty,0.0,conservative_proxy,336,1000000.0,166210.47853140024,-10.594366993752647,0.03525,0.187564,0.0,0.03525,0.27816,0.090596,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.01,0.99,blended_uncertainty,0.05,conservative_proxy,337,1000000.0,166186.4620978511,-7.5965257566834605,0.045084,0.161059,0.0,0.045084,0.247476,0.086418,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.45,0.01,0.99,blended_uncertainty,0.05,incumbent_region,338,1000000.0,165829.33653326883,-10.818675313949608,0.045805,0.164313,0.0,0.045805,0.250372,0.086059,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.45,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,339,1000000.0,165590.76458837948,-10.828838792361978,0.048175,0.165085,0.0,0.048175,0.250797,0.085712,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,343,1000000.0,165547.8905382124,-7.677837147956425,0.042975,0.147556,0.0,0.042975,0.2314,0.083844,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,338,1000000.0,165517.85855195278,-9.309136114636303,0.042975,0.152083,0.0,0.042975,0.236042,0.083958,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,344,1000000.0,165504.23210778716,-7.666254491475385,0.040975,0.146459,0.0,0.040975,0.230907,0.084447,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.5,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,341,1000000.0,165401.62753483138,-9.021051961785737,0.042975,0.159886,0.0,0.042975,0.244943,0.085057,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.01,0.99,blended_uncertainty,0.0,conservative_proxy,336,1000000.0,165375.90860423315,-7.598733026252392,0.047375,0.161873,0.0,0.047375,0.247843,0.08597,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
