policy_id,scenario,mean_simulated_return,p05_simulated_return,p95_simulated_return
paper4_v4_local_rt0p1750_g0p400_u0p050,severe,-172404.01010498733,-223426.61893554518,-128669.62230115167
paper4_v4_local_rt0p1750_g0p400_u0p075,adverse,-100522.023304369,-145518.4094435952,-59918.73847360083
paper4_v4_local_rt0p1750_g0p400_u0p075,baseline,-15892.264744592743,-61259.8319859618,24519.85785275426
paper4_v4_local_rt0p1750_g0p400_u0p075,severe,-172394.90665848664,-223375.90533038805,-128674.35567449655
paper4_v4_local_rt0p1750_g0p400_u0p100,adverse,-100369.41553108352,-146338.4651360003,-60178.59321261509
paper4_v4_local_rt0p1750_g0p400_u0p100,baseline,-15807.748021255464,-60342.0896125993,24855.49553061285
paper4_v4_local_rt0p1750_g0p400_u0p100,severe,-172133.7690572527,-222789.58341651747,-128642.00597492517
paper4_v4_local_rt0p1750_g0p425_u0p000,adverse,-95929.43510080385,-146771.78201080443,-55497.87047965331
paper4_v4_local_rt0p1750_g0p425_u0p000,baseline,-13442.20915600964,-56827.87615970305,27495.170476491912
paper4_v4_local_rt0p1750_g0p425_u0p000,severe,-166709.23196794066,-217447.74819937674,-121935.05623116299
paper4_v4_local_rt0p1750_g0p425_u0p025,adverse,-95929.43510080385,-146771.78201080443,-55497.87047965331
paper4_v4_local_rt0p1750_g0p425_u0p025,baseline,-13442.20915600964,-56827.87615970305,27495.170476491912
paper4_v4_local_rt0p1750_g0p425_u0p025,severe,-166709.23196794066,-217447.74819937674,-121935.05623116299
paper4_v4_local_rt0p1750_g0p425_u0p050,adverse,-95929.43510080385,-146771.78201080443,-55497.87047965331
paper4_v4_local_rt0p1750_g0p425_u0p050,baseline,-13442.20915600964,-56827.87615970305,27495.170476491912
paper4_v4_local_rt0p1750_g0p425_u0p050,severe,-166709.23196794066,-217447.74819937674,-121935.05623116299
paper4_v4_local_rt0p1750_g0p425_u0p075,adverse,-95929.43510080385,-146771.78201080443,-55497.87047965331
paper4_v4_local_rt0p1750_g0p425_u0p075,baseline,-13442.20915600964,-56827.87615970305,27495.170476491912
paper4_v4_local_rt0p1750_g0p425_u0p075,severe,-166709.23196794066,-217447.74819937674,-121935.05623116299
paper4_v4_local_rt0p1750_g0p425_u0p100,adverse,-95929.43510080385,-146771.78201080443,-55497.87047965331
paper4_v4_local_rt0p1750_g0p425_u0p100,baseline,-13442.20915600964,-56827.87615970305,27495.170476491912
paper4_v4_local_rt0p1750_g0p425_u0p100,severe,-166709.23196794066,-217447.74819937674,-121935.05623116299
paper4_v4_local_rt0p1750_g0p450_u0p000,adverse,-91018.86556152767,-136279.1081683213,-49951.75507364786
paper4_v4_local_rt0p1750_g0p450_u0p000,baseline,-10722.02932181356,-54842.99960171035,32221.727998769165
paper4_v4_local_rt0p1750_g0p450_u0p000,severe,-160288.37211368437,-210088.8649582776,-114634.45610251628
paper4_v4_local_rt0p1750_g0p450_u0p025,adverse,-90640.50490924295,-135525.0492739852,-49420.04461341349
paper4_v4_local_rt0p1750_g0p450_u0p025,baseline,-10324.531811847699,-53803.7332933411,31950.638143751577
paper4_v4_local_rt0p1750_g0p450_u0p025,severe,-160173.84145009084,-208981.4202023664,-115658.54471049059
paper4_v4_local_rt0p1750_g0p450_u0p050,adverse,-90228.64802674383,-135145.10578404323,-49969.301183048774
paper4_v4_local_rt0p1750_g0p450_u0p050,baseline,-9888.779993149223,-52933.10313088255,32385.326806840076
paper4_v4_local_rt0p1750_g0p450_u0p050,severe,-159903.588346451,-208913.19332705447,-116306.62794949513
paper4_v4_local_rt0p1750_g0p450_u0p075,adverse,-89572.03295798984,-137458.44615378242,-49003.37249084179
paper4_v4_local_rt0p1750_g0p450_u0p075,baseline,-9621.615327310032,-53722.37931289313,33899.76872749823
paper4_v4_local_rt0p1750_g0p450_u0p075,severe,-158264.29398658135,-207387.9613217746,-113389.80961321866
paper4_v4_local_rt0p1750_g0p450_u0p100,adverse,-89527.63558038576,-137129.1023636118,-48791.64305052443
paper4_v4_local_rt0p1750_g0p450_u0p100,baseline,-9529.636118181957,-53603.55142818176,33177.44938914679
paper4_v4_local_rt0p1750_g0p450_u0p100,severe,-158262.18062720855,-206441.47287948141,-113241.36668951265
paper4_v4_local_rt0p1750_g0p475_u0p000,adverse,-83159.49758189853,-127179.17434748038,-41921.919390067174
paper4_v4_local_rt0p1750_g0p475_u0p000,baseline,-5608.888131251386,-49471.70381767151,36373.47525126168
paper4_v4_local_rt0p1750_g0p475_u0p000,severe,-153164.37256044341,-201958.42884849253,-109350.89314420831
paper4_v4_local_rt0p1750_g0p475_u0p025,adverse,-82712.93202534619,-128254.23114024545,-41978.452831769326
paper4_v4_local_rt0p1750_g0p475_u0p025,baseline,-5059.423430079628,-50183.73792395096,37915.16983818267
paper4_v4_local_rt0p1750_g0p475_u0p025,severe,-152971.4505899909,-202941.93944130882,-108492.96283649656
paper4_v4_local_rt0p1750_g0p475_u0p050,adverse,-82428.43701009627,-128675.58388467034,-41179.688937665
paper4_v4_local_rt0p1750_g0p475_u0p050,baseline,-4825.119582633877,-48749.09470283118,37622.23537066807
paper4_v4_local_rt0p1750_g0p475_u0p050,severe,-151533.52272195293,-200532.66679593202,-106633.67804494503
paper4_v4_local_rt0p1750_g0p475_u0p075,adverse,-82189.988184588,-128543.66774493904,-42163.23330268536
paper4_v4_local_rt0p1750_g0p475_u0p075,baseline,-4513.711290776882,-47741.7988354055,37032.98919610744
paper4_v4_local_rt0p1750_g0p475_u0p075,severe,-151423.87757166853,-200022.38913927003,-108059.83640555893
paper4_v4_local_rt0p1750_g0p475_u0p100,adverse,-81619.39597677368,-127649.30787269486,-41533.13210266011
paper4_v4_local_rt0p1750_g0p475_u0p100,baseline,-4284.461830820674,-49417.20034859598,37040.01172320507
paper4_v4_local_rt0p1750_g0p475_u0p100,severe,-151314.36828896197,-201134.39086969395,-107895.05059057314
paper4_v4_local_rt0p1750_g0p500_u0p000,adverse,-76355.63601370707,-120561.1998142486,-36926.12611511195
paper4_v4_local_rt0p1750_g0p500_u0p000,baseline,-1189.788845475787,-43813.06172286241,40798.91117312288
paper4_v4_local_rt0p1750_g0p500_u0p000,severe,-146801.8306223667,-194480.72190934027,-101426.77041528429
paper4_v4_local_rt0p1750_g0p500_u0p025,adverse,-76293.50201218764,-120091.2761184565,-37191.68434910743
paper4_v4_local_rt0p1750_g0p500_u0p025,baseline,-994.8873895357175,-44921.872782019425,41714.20757842657
paper4_v4_local_rt0p1750_g0p500_u0p025,severe,-146657.2535963642,-196400.32353584337,-102153.18465150065
paper4_v4_local_rt0p1750_g0p500_u0p050,adverse,-75832.23010387686,-121605.48888019397,-35860.16041580178
paper4_v4_local_rt0p1750_g0p500_u0p050,baseline,-608.1583657615804,-44071.42667924396,39769.79582254087
paper4_v4_local_rt0p1750_g0p500_u0p050,severe,-145259.14219762455,-194607.08146214535,-102084.7182369346
paper4_v4_local_rt0p1750_g0p500_u0p075,adverse,-75359.7682705497,-120319.634384285,-35458.769388653054
paper4_v4_local_rt0p1750_g0p500_u0p075,baseline,-234.8005564323531,-43960.30778337705,42150.59128669461
paper4_v4_local_rt0p1750_g0p500_u0p075,severe,-145097.4397303004,-195193.76762594547,-100703.7947362402
paper4_v4_local_rt0p1750_g0p500_u0p100,adverse,-75040.97678348795,-120208.61340984328,-34553.653335015224
paper4_v4_local_rt0p1750_g0p500_u0p100,baseline,267.0869204505712,-42163.43355918711,42277.75153821267
paper4_v4_local_rt0p1750_g0p500_u0p100,severe,-144968.38182715833,-196237.78224891433,-102291.12555216922
paper4_v4_local_rt0p1775_g0p400_u0p000,adverse,-100854.7250468689,-147555.52379782783,-59687.827835174605
paper4_v4_local_rt0p1775_g0p400_u0p000,baseline,-16074.787268022616,-60871.35637796846,26526.779207381347
paper4_v4_local_rt0p1775_g0p400_u0p000,severe,-172969.02099636808,-221783.67564884457,-126765.99518289696
paper4_v4_local_rt0p1775_g0p400_u0p025,adverse,-100547.6084748777,-145506.0369429629,-59880.66920156964
paper4_v4_local_rt0p1775_g0p400_u0p025,baseline,-15906.87752526265,-61659.03289322093,24488.82838973611
paper4_v4_local_rt0p1775_g0p400_u0p025,severe,-172460.05806330807,-222762.79267229556,-128152.22920194328
paper4_v4_local_rt0p1775_g0p400_u0p050,adverse,-100528.26154304606,-145517.01694296597,-59918.875343385305
paper4_v4_local_rt0p1775_g0p400_u0p050,baseline,-15894.264453156926,-61255.64121542279,24567.458562369422
paper4_v4_local_rt0p1775_g0p400_u0p050,severe,-172404.01010498733,-223426.61893554518,-128669.62230115167
paper4_v4_local_rt0p1775_g0p400_u0p075,adverse,-100522.023304369,-145518.4094435952,-59918.73847360083
paper4_v4_local_rt0p1775_g0p400_u0p075,baseline,-15892.264744592743,-61259.8319859618,24519.85785275426
paper4_v4_local_rt0p1775_g0p400_u0p075,severe,-172394.90665848664,-223375.90533038805,-128674.35567449655
paper4_v4_local_rt0p1775_g0p400_u0p100,adverse,-100369.41553108352,-146338.4651360003,-60178.59321261509
paper4_v4_local_rt0p1775_g0p400_u0p100,baseline,-15807.748021255464,-60342.0896125993,24855.49553061285
paper4_v4_local_rt0p1775_g0p400_u0p100,severe,-172133.7690572527,-222789.58341651747,-128642.00597492517
paper4_v4_local_rt0p1775_g0p425_u0p000,adverse,-99083.25413070568,-145411.6354662982,-58540.33659948927
