policy_id,risk_tolerance,gamma,policy_mode,uncertainty_aversion,solver_status,solve_scope,candidate_pool_n,min_budget_utilization_used,solve_seconds,n_funded,funded_exposure,realized_return_proxy_lgd45,ecl_baseline_lgd45,weighted_pd_point,weighted_pd_high,weighted_effective_pd,coverage_alpha01,default_rate_observed,delta_vs_paper1_frozen_full_exact,delta_vs_v3_gross_challenger_full_exact,paper4_local_rank_return,grid_family
paper4_v4_local_rt0p1775_g0p400_u0p050,0.1775,0.4,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.332077543998821,346,1000000.0,172767.23249999774,130871.26424580562,0.0964520571148653,0.2908250316573458,0.17420124693185748,0.9393063583815029,0.06069364161849711,-562.4309158473625,-1005.7220780872449,83,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p400_u0p075,0.175,0.4,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.129113003000384,346,1000000.0,172765.31250000416,130867.81363784298,0.09644799414894764,0.290817363639651,0.174195741945229,0.9393063583815029,0.06069364161849711,-564.3509158409433,-1007.6420780808257,84,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p400_u0p075,0.1775,0.4,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.160087637999823,346,1000000.0,172765.31250000416,130867.81363784298,0.09644799414894764,0.290817363639651,0.174195741945229,0.9393063583815029,0.06069364161849711,-564.3509158409433,-1007.6420780808257,85,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p400_u0p100,0.175,0.4,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.136670764000883,345,1000000.0,172708.2425000014,130767.88397867666,0.09633142063739081,0.29059529773039255,0.17403697147459152,0.9391304347826087,0.06086956521739131,-621.4209158437152,-1064.7120780835976,86,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p400_u0p100,0.1775,0.4,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.50512200599951,345,1000000.0,172708.2425000014,130767.88397867666,0.09633142063739081,0.29059529773039255,0.17403697147459152,0.9391304347826087,0.06086956521739131,-621.4209158437152,-1064.7120780835976,87,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p475_u0p000,0.17,0.475,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.7737443309997616,343,1000000.0,171759.67280928153,117414.31108093365,0.08773842216564241,0.2609206912909637,0.17000000000017,0.9446064139941691,0.05539358600583091,-1569.9906065635732,-2013.2817688034556,88,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p500_u0p000,0.175,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.58867163800096,345,1000000.0,171426.0316012095,117822.56380309905,0.08817208043790764,0.26182791956244233,0.17500000000017496,0.9420289855072463,0.057971014492753624,-1903.6318146355916,-2346.922976875474,89,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p500_u0p100,0.17,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8649070060000668,348,1000000.0,171334.7083294575,113495.34238128868,0.08778812804192072,0.2522118719584193,0.17000000000017,0.9454022988505747,0.05459770114942529,-1994.9550863876066,-2438.246248627489,90,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p475_u0p050,0.17,0.475,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.955199043999528,341,1000000.0,171238.32441542228,117148.41939674159,0.08827301920264231,0.26032982088164797,0.17000000000017002,0.9413489736070382,0.05865102639296188,-2091.3390004228277,-2534.63016266271,91,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p500_u0p075,0.1725,0.5,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.109133443000246,345,1000000.0,171175.733195865,115602.76024754546,0.08810497722802176,0.25689502277232323,0.17250000000017246,0.9420289855072463,0.057971014492753624,-2153.9302199801023,-2597.2213822199847,92,uncertainty_aversion_local_search
