policy_id,period,original_grade,n_funded,funded_exposure,realized_return_proxy_lgd45,ecl_baseline_lgd45,observed_default_rate,weighted_pd_high
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H1,D,22,47800.0,6779.47,4464.291624153994,0.13636363636363635,0.20754493836141305
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H1,E,7,8700.0,2101.2400000000002,2096.214530935497,0.0,0.5354315532402291
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H2,C,36,98575.0,12216.7475,8073.7187837516185,0.05555555555555555,0.1820096099135259
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H2,D,32,112650.0,19375.125,9740.460725735424,0.03125,0.19214796519673372
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H2,E,35,70300.0,16556.29,13461.026096680005,0.02857142857142857,0.4255105451771773
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H2,F,9,9900.0,1287.33,2970.9884995811276,0.2222222222222222,0.6668885520945291
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H2,G,3,3000.0,924.7,1029.252922227124,0.0,0.7624095720200919
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2019H1,C,44,136350.0,17836.225000000002,10688.962965500263,0.06818181818181818,0.1742079283787681
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2019H1,D,31,75575.0,12099.335000000001,8307.207643528667,0.0967741935483871,0.244266773801703
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2019H1,E,8,16300.0,2598.575,2304.4842414335903,0.125,0.31417644736654265
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2019H1,F,2,2000.0,-143.5,618.3414426914292,0.5,0.6870460474349214
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2019H1,G,2,2000.0,616.8000000000001,659.8958368583164,0.0,0.7332175965092406
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2019H2,C,34,96825.0,12724.7775,8289.54621413326,0.08823529411764706,0.19025266004838648
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2019H2,D,36,109150.0,21169.025,11675.739927572842,0.05555555555555555,0.2377103868798869
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2020,C,15,42100.0,7697.16,3885.0751907569256,0.0,0.20507126897634867
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2020,D,4,6950.0,1752.2250000000001,945.9844810503935,0.0,0.3024730554917325
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H1,C,17,46050.0,7132.455,3434.671338561141,0.0,0.16574599293334016
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H1,D,21,46800.0,6564.97,4199.641745289973,0.14285714285714285,0.19941318828537385
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H1,E,7,10650.0,2687.155,2778.987765088448,0.0,0.5798618184848092
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H1,F,2,3500.0,-828.1,1093.1238616525186,0.5,0.6940468962873134
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H2,C,40,104725.0,13125.8775,8536.343312211,0.05,0.1811377589392536
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H2,D,33,115150.0,19933.875,10402.085422895478,0.030303030303030304,0.20074464076606316
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H2,E,25,59275.0,13241.224999999999,10235.03789934705,0.04,0.38371199772611836
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H2,F,8,11500.0,3376.45,3363.6799436748215,0.0,0.6499864625458592
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2018H2,G,3,3000.0,166.30000000000007,1045.868465619079,0.3333333333333333,0.7747173819400585
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H1,B,1,1500.0,196.2,69.59645684858876,0.0,0.10310586199790928
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H1,C,46,143850.0,18950.125,11263.888151192237,0.06521739130434782,0.1740066914021896
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H1,D,34,81100.0,13690.535,10051.835485874859,0.08823529411764706,0.275430483240851
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H1,E,7,14300.0,3527.575,1697.871028012405,0.0,0.26384942160254937
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H1,F,4,4000.0,471.5,1269.3674744300088,0.25,0.705204152461116
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H1,G,2,2000.0,616.8000000000001,659.8958368583164,0.0,0.7332175965092406
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H2,C,34,96825.0,12724.7775,8289.54621413326,0.08823529411764706,0.19025266004838648
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2019H2,D,36,107050.0,20802.475000000002,11062.687072448527,0.05555555555555555,0.22964735217081375
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2020,C,15,42100.0,7697.16,3885.0751907569256,0.0,0.20507126897634867
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,2020,D,3,5450.0,1367.4750000000001,472.5244853554955,0.0,0.19267053429378
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,C,21,54950.0,8471.015,4167.77865641501,0.0,0.16854832297705022
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,D,23,48800.0,6997.97,4728.941503018015,0.13043478260869565,0.21534341999171291
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,E,4,8100.0,2047.8200000000002,2041.0616341132522,0.0,0.5599620395372433
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,F,2,3500.0,-818.5,1114.129444334371,0.5,0.7073837741805531
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,C,52,175525.0,23856.357500000002,14536.0884345366,0.038461538461538464,0.184033150510837
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,D,30,106725.0,17531.4025,9737.089389674293,0.06666666666666667,0.20274515269616705
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,E,25,53300.0,12292.32,8461.868938709009,0.04,0.3527983714283514
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,F,7,7500.0,703.8499999999999,2247.9499356482092,0.2857142857142857,0.666059240192062
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,G,3,3000.0,923.7,1017.5257469884185,0.0,0.7537227755469766
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,C,46,143850.0,18950.125,11263.888151192237,0.06521739130434782,0.17400669140218958
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,D,29,64275.0,10825.535,7399.856408739525,0.06896551724137931,0.2558401455115441
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,E,10,17800.0,4349.275,2709.109085272042,0.0,0.338215865826722
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,F,1,1000.0,293.50000000000006,348.62282187302634,0.0,0.7747173819400586
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,G,4,4000.0,1232.6000000000001,1368.8485671650253,0.0,0.760471426202792
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H2,C,35,110325.0,14782.1775,9436.773524642776,0.08571428571428572,0.19008028853423525
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H2,D,26,94950.0,18391.405,7980.576147661698,0.038461538461538464,0.1867784482514001
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,C,15,42100.0,7697.16,3885.0751907569256,0.0,0.20507126897634867
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,D,4,6450.0,1597.9750000000001,771.2627961319764,0.0,0.265723616238407
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H1,C,21,54950.0,8471.015,4167.77865641501,0.0,0.16854832297705027
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H1,D,21,46800.0,6564.97,4199.641745289973,0.14285714285714285,0.19941318828537385
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H1,E,4,5000.0,1247.0,1086.507400843465,0.0,0.482892178152651
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H1,F,2,3000.0,919.5,997.3862698607531,0.0,0.7388046443412987
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H2,C,49,166925.0,22468.3175,13676.024468317213,0.04081632653061224,0.18206479248254817
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H2,D,31,112650.0,19594.125,10563.672930393097,0.03225806451612903,0.20838729457795718
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H2,E,28,55150.0,13715.72,8731.95336909694,0.0,0.3518466150537701
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H2,F,3,3000.0,134.09999999999997,671.8005188020018,0.3333333333333333,0.4976300139274087
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2018H2,G,4,4000.0,475.2000000000001,1374.6402289028401,0.25,0.7636890160571334
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H1,B,1,1500.0,196.2,69.59645684858876,0.0,0.10310586199790928
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H1,C,46,143850.0,18950.125,11263.888151192237,0.06521739130434782,0.1740066914021896
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H1,D,28,62375.0,9597.335000000001,6788.082236912749,0.10714285714285714,0.24183771051125358
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H1,E,8,15300.0,3742.2749999999996,1952.3069751286885,0.0,0.2835594735117921
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H1,F,2,2000.0,-142.5,635.6595508731739,0.5,0.7062883898590819
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H1,G,2,2000.0,616.8000000000001,659.8958368583164,0.0,0.7332175965092406
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H2,C,35,110325.0,14782.1775,9436.773524642776,0.08571428571428572,0.19008028853423525
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2019H2,D,34,105550.0,21108.475000000002,10585.33333588017,0.029411764705882353,0.22286085237918146
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2020,C,15,42100.0,7697.16,3885.0751907569256,0.0,0.20507126897634867
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,2020,D,5,14775.0,3804.3875000000003,3374.763234073791,0.0,0.5075786026055711
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H1,C,22,55950.0,8611.315,4233.30172177483,0.0,0.16813828703305853
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H1,D,21,46800.0,6564.97,4199.641745289973,0.14285714285714285,0.19941318828537385
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H1,E,5,11300.0,2844.66,2909.961772658548,0.0,0.5722638687627429
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H2,C,45,153700.0,22104.7475,12353.426101660074,0.022222222222222223,0.17860805467592097
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H2,D,32,112650.0,19375.125,9740.460725735424,0.03125,0.19214796519673372
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H2,E,25,53550.0,13464.289999999999,8279.573668208946,0.0,0.3435864163589146
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H2,F,5,5500.0,866.65,1480.9022502660346,0.2,0.5983443435418322
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2018H2,G,1,1000.0,308.40000000000003,324.38172399386343,0.0,0.7208482755419188
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H1,B,1,1500.0,196.2,69.59645684858876,0.0,0.10310586199790928
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H1,C,46,143850.0,18950.125,11263.888151192237,0.06521739130434782,0.1740066914021896
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H1,D,36,89075.0,13404.335000000001,12453.029938213285,0.1111111111111111,0.31067527210436363
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H1,E,8,15800.0,3878.575,2094.845846308437,0.0,0.29463373365800805
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H1,F,3,3000.0,164.0,920.7446525569824,0.3333333333333333,0.6820330759681351
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H1,G,1,1000.0,308.40000000000003,332.2785976671428,0.0,0.7383968837047618
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H2,C,35,110325.0,14782.177499999998,9436.773524642776,0.08571428571428572,0.19008028853423528
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2019H2,D,35,108250.0,21148.075,11567.863664120408,0.05714285714285714,0.2374721819680864
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2020,C,15,42100.0,7697.16,3885.0751907569256,0.0,0.20507126897634867
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,2020,D,3,5450.0,1367.4750000000001,472.5244853554955,0.0,0.19267053429378
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,C,26,64175.0,9799.7125,4845.4294188911,0.0,0.1677852891448245
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,D,19,39300.0,5938.52,3812.7506814152066,0.10526315789473684,0.21559234839780642
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,E,3,4200.0,992.84,838.7253427211313,0.0,0.44377002260377313
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,C,52,173025.0,20399.447500000002,14083.393560267636,0.057692307692307696,0.1808780819761773
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,D,33,113850.0,18835.125,10076.73011844468,0.06060606060606061,0.19668628543297087
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,E,22,42000.0,8949.09,7348.81750312145,0.045454545454545456,0.38882632291647884
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,F,5,5200.0,1545.6799999999998,1476.8192240987437,0.0,0.6311193265379246
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,G,1,1000.0,307.90000000000003,348.62282187302634,0.0,0.7747173819400586
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,B,1,1500.0,196.2,69.59645684858876,0.0,0.10310586199790928
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,C,48,150850.0,19974.025,11805.533849139945,0.0625,0.17391130039612482
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,D,26,69775.0,10428.935,6563.995035334293,0.11538461538461539,0.20905275004050455
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,E,6,13300.0,3209.075,1373.344170427827,0.0,0.22946435596120748
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,F,5,5000.0,8.500000000000057,1727.747628499726,0.4,0.7678878348887671
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,G,2,2000.0,616.8000000000001,659.8958368583164,0.0,0.7332175965092406
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H2,C,35,110325.0,14782.177499999998,9436.773524642776,0.08571428571428572,0.19008028853423528
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H2,D,33,105650.0,20946.275,10553.760434740288,0.030303030303030304,0.22198581132124495
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,C,15,42100.0,7697.16,3885.0751907569256,0.0,0.20507126897634867
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,D,3,3950.0,888.225,645.962167252933,0.0,0.3634105019707077
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H1,C,26,64175.0,9799.7125,4845.4294188911,0.0,0.16778528914482446
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H1,D,19,43300.0,5899.82,3858.5314595672735,0.15789473684210525,0.1980257356719155
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H1,E,4,5500.0,1347.1,1177.2795701549587,0.0,0.4756685131939227
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H1,F,2,3500.0,-818.5,1114.129444334371,0.5,0.7073837741805531
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H2,C,57,185625.0,22465.4275,15343.48727821697,0.05263157894736842,0.18368559405272838
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H2,D,29,100325.0,17004.3225,8507.869053217524,0.034482758620689655,0.18845129004551925
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H2,E,25,44300.0,9557.74,7989.50274413538,0.04,0.40077766461677355
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2018H2,F,3,3500.0,1040.05,891.87064740815,0.0,0.5662670777194603
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H1,B,1,1500.0,196.2,69.59645684858876,0.0,0.10310586199790928
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H1,C,52,159750.0,21313.485,12576.654245019325,0.057692307692307696,0.1749491113895924
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H1,D,26,55000.0,11206.535,7202.349414210692,0.038461538461538464,0.2910040167357855
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H1,E,10,19500.0,4773.474999999999,3131.1777832861917,0.0,0.35682937701267137
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H1,F,2,2000.0,-142.5,681.879162880647,0.5,0.7576435143118299
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H1,G,1,1000.0,308.40000000000003,332.2785976671428,0.0,0.7383968837047618
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H2,C,36,102650.0,13366.6525,8558.192742830926,0.08333333333333333,0.1852723438400374
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2019H2,D,27,95850.0,18603.075,8297.668856645485,0.037037037037037035,0.1923762558777137
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2020,C,16,43100.0,7840.16,3958.810382060852,0.0,0.20411499778607123
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,2020,D,2,2450.0,503.475,172.50217155803503,0.0,0.15646455470116555
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H1,C,26,64175.0,9799.7125,4845.4294188911,0.0,0.1677852891448245
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H1,D,21,46800.0,6564.97,4199.641745289973,0.14285714285714285,0.19941318828537385
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H1,E,2,3500.0,835.6,596.9896941610054,0.0,0.3790410756577813
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H1,F,1,1000.0,296.9,327.6172391911737,0.0,0.7280383093137194
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H2,B,1,1000.0,127.3,46.39763789905917,0.0,0.10310586199790928
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H2,C,53,177225.0,21109.6675,14503.42479958408,0.05660377358490566,0.1818582755704027
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H2,D,31,104650.0,17781.525,8940.40122227553,0.03225806451612903,0.18984766623720398
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H2,E,24,42200.0,10743.619999999999,7050.65827916253,0.0,0.3712826897926556
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H2,F,6,6500.0,1163.55,1761.1267441904151,0.16666666666666666,0.6020946133984325
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2018H2,G,1,1000.0,308.40000000000003,324.38172399386343,0.0,0.7208482755419188
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2019H1,B,1,1500.0,196.2,69.59645684858876,0.0,0.10310586199790928
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2019H1,C,48,150850.0,19974.025,11805.533849139943,0.0625,0.17391130039612485
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2019H1,D,29,64775.0,11679.335000000001,8582.834062629556,0.10344827586206896,0.29444947253757214
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,2019H1,E,6,13300.0,3228.475,1380.8085086358838,0.0,0.23071153026497643
