source_family,source_id,issue_month,n_loans,coverage,avg_width,n_policies,parent_n,parent_coverage,direct_cell_scope_v45
grade,D,2018-10,3,1.0,0.983379103331157,100,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-11,9,0.9722222222222222,0.9817128697041194,100,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-12,4,1.0,0.9799903879885935,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-01,4,1.0,0.9838676376612764,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-02,7,0.9642857142857143,0.9859412145256613,100,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-03,8,1.0,0.9906611790902389,100,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-04,7,0.9278499278499278,0.9900954882141177,100,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-05,8,1.0,0.9851561476978387,100,19,0.9853760445682451,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-06,9,1.0,0.9886274373830275,100,16,0.9325236167341431,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-07,16,0.9837451235370611,0.9871300169081006,100,26,0.9461570945945946,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-08,8,1.0,0.9879038585313891,100,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-09,6,1.0,0.9843882477527425,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-10,5,1.0,0.9842748639768097,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-11,7,0.9618320610687023,0.9954077858471849,100,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2019-12,4,1.0,0.9922504091706075,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2020-01,5,1.0,0.9861716879036698,100,8,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-01,2,1.0,0.6649332164058285,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-05,1,1.0,0.9512728534849713,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-07,6,1.0,0.9259510013383344,100,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-08,1,1.0,0.9400138795033854,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-09,2,1.0,0.9158864918824224,100,17,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-10,5,1.0,0.9513874891454781,100,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-11,9,1.0,0.9303272533745554,100,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2018-12,5,1.0,0.9766843686517721,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2019-01,5,1.0,0.9497552993265161,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2019-02,2,1.0,0.9262728534849713,69,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
grade,E,2019-03,2,1.0,0.9288448502669229,100,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
grade,F,2018-05,1,1.0,0.9962901727153476,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,F,2018-06,2,0.5,0.9736151792514158,100,14,0.9041411042944786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,F,2018-07,5,1.0,0.9504562493001116,100,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,F,2018-09,1,1.0,0.9720404433422886,100,17,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,F,2018-11,1,1.0,0.9671173044591491,100,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
grade,F,2019-01,2,1.0,0.9712185820735766,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,F,2019-03,1,1.0,1.0,100,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
grade,G,2018-08,1,1.0,0.9789079580236116,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,G,2018-12,1,1.0,0.9923439401907374,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,G,2019-02,2,1.0,0.9857121240773218,100,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H1,2018-01,9,1.0,0.6551528821148747,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H1,2018-02,8,0.9374163319946452,0.9716920365113717,100,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H1,2018-03,5,1.0,0.9243340214534298,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H1,2018-04,3,0.7254901960784313,0.912738483153893,100,3,0.7254901960784313,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H1,2018-05,10,1.0,0.9468218655512629,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H1,2018-06,14,0.9041411042944786,0.9695387123536745,100,14,0.9041411042944786,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H2,2018-07,19,1.0,0.9404127190772541,100,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H2,2018-08,20,0.9972707423580786,0.9379869827265671,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H2,2018-09,17,1.0,0.9560454418517239,100,17,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H2,2018-10,15,0.9856115107913669,0.9348006764130886,100,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H2,2018-11,29,0.9898042414355628,0.9447335549583508,100,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
period,2018H2,2018-12,20,1.0,0.9409348324299303,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H1,2019-01,20,1.0,0.939099018609516,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H1,2019-02,16,0.981536189069424,0.9608303191981376,100,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H1,2019-03,20,0.9838909541511772,0.9514182628339922,100,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H1,2019-04,24,0.9148418491484185,0.9427523916940704,100,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H1,2019-05,19,0.9853760445682451,0.9411327707145304,100,19,0.9853760445682451,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H1,2019-06,16,0.9325236167341431,0.9519547254514149,100,16,0.9325236167341431,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H2,2019-07,26,0.9461570945945946,0.9625113777025571,100,26,0.9461570945945946,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H2,2019-08,18,1.0,0.9481163619550547,100,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H2,2019-09,9,1.0,0.9777591707741929,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H2,2019-10,9,1.0,0.9470491929649412,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H2,2019-11,13,0.8845798707294552,0.9668810873660618,100,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
period,2019H2,2019-12,10,1.0,0.9387126173589525,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-01,8,1.0,0.9511572088855854,100,8,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-02,5,1.0,0.9159471834856013,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-03,1,1.0,0.9182820763442386,20,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-04,3,1.0,0.897759902285354,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-05,1,1.0,0.8901523383201217,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-06,1,1.0,0.8647689772803158,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-07,3,1.0,0.9098450635369096,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-08,3,1.0,0.9290080498131834,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
period,2020,2020-09,1,1.0,0.9390547995493362,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-01,9,1.0,0.6551528821148747,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-02,8,0.9374163319946452,0.9716920365113717,100,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-03,5,1.0,0.9243340214534298,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-04,3,0.7254901960784313,0.912738483153893,100,3,0.7254901960784313,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-05,10,1.0,0.9468218655512629,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-06,14,0.9041411042944786,0.9695387123536745,100,14,0.9041411042944786,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-07,19,1.0,0.9404127190772541,100,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-08,20,0.9972707423580786,0.9379869827265671,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-09,17,1.0,0.9560454418517239,100,17,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-10,15,0.9856115107913669,0.9348006764130886,100,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-11,29,0.9898042414355628,0.9447335549583508,100,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2018-12,20,1.0,0.9409348324299303,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-01,20,1.0,0.939099018609516,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-02,16,0.981536189069424,0.9608303191981376,100,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-03,20,0.9838909541511772,0.9514182628339922,100,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-04,23,0.910941475826972,0.9459883802723185,100,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-05,19,0.9853760445682451,0.9411327707145304,100,19,0.9853760445682451,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-06,16,0.9325236167341431,0.9519547254514149,100,16,0.9325236167341431,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-07,25,0.9437830687830688,0.9616676093885577,100,26,0.9461570945945946,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-08,17,1.0,0.9485778445283662,100,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-09,9,1.0,0.9777591707741929,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-10,9,1.0,0.9470491929649412,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-11,11,0.872057318321392,0.9644043740990208,100,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2019-12,9,1.0,0.9457946552854859,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-01,8,1.0,0.9511572088855854,100,8,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-02,5,1.0,0.9159471834856013,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-03,1,1.0,0.9182820763442386,20,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-04,3,1.0,0.897759902285354,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-05,1,1.0,0.8901523383201217,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-06,1,1.0,0.8647689772803158,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-07,3,1.0,0.9098450635369096,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-08,3,1.0,0.9290080498131834,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,36,2020-09,1,1.0,0.9390547995493362,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,60,2019-04,1,1.0,0.8720999744023203,90,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
term,60,2019-07,1,1.0,0.9816480430640655,100,26,0.9461570945945946,source-month loan-level coverage cell using historical accepted-loan evidence
term,60,2019-08,1,1.0,0.9262728534849713,30,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
term,60,2019-11,2,1.0,0.9897089068179395,100,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
term,60,2019-12,1,1.0,0.8636430153376994,80,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-01,1,1.0,0.5906473941368078,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-02,1,1.0,0.8648111225414128,60,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-03,2,1.0,0.8677407171525157,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-04,2,0.5483870967741935,0.8682807025666851,85,3,0.7254901960784313,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-07,1,1.0,0.8720999744023203,70,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-08,4,1.0,0.8735663040711762,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-10,1,1.0,0.8585271370791429,70,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-11,2,1.0,0.861404818599581,90,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2018-12,3,1.0,0.8741501144544328,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-01,3,1.0,0.8649166605648462,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-02,1,1.0,0.8636430153376995,70,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-03,6,0.8930041152263375,0.8642367011038191,100,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-04,3,1.0,0.86940912379085,90,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-05,5,0.9418282548476454,0.8588600156864729,100,19,0.9853760445682451,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-08,2,1.0,0.8636430153376995,70,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-10,1,1.0,0.8720999744023203,90,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-11,1,1.0,0.8636430153376995,8,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2019-12,1,1.0,0.8636430153376994,80,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2020-01,1,1.0,0.8528517804870072,80,8,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,0,2020-07,1,1.0,0.8381493609212858,70,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-01,4,1.0,0.650169596625957,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-02,5,0.95,0.9792572429034448,100,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-03,3,1.0,0.9733478653569,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-04,1,1.0,0.9816480430640655,100,3,0.7254901960784313,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-05,7,1.0,0.9272322067198491,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-06,5,1.0,0.9478822974936686,100,14,0.9041411042944786,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-07,4,1.0,0.9000241928145589,100,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-08,5,1.0,0.9415673393667752,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-09,10,1.0,0.9548997715812185,100,17,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-10,5,1.0,0.9294904084462411,100,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-11,11,1.0,0.9480089689961425,100,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2018-12,6,1.0,0.9272031407040024,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-01,6,1.0,0.924667520828398,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-02,3,1.0,0.9408424930630449,100,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-03,1,1.0,0.9055001302798735,72,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-04,11,0.8818525519848771,0.9185919076742227,100,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-05,5,1.0,0.9489475242770576,100,19,0.9853760445682451,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-06,7,0.8333333333333334,0.9057954006622145,100,16,0.9325236167341431,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-07,13,0.9038461538461539,0.9410836664555338,100,26,0.9461570945945946,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-08,6,1.0,0.907872904577293,100,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-09,3,1.0,0.9815895765933565,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-10,3,1.0,0.918532236087233,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-11,4,0.6875,0.9273558023347028,100,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2019-12,5,1.0,0.9161204021551843,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2020-01,3,1.0,0.949231717824308,100,8,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2020-02,3,1.0,0.8935089721198324,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2020-03,1,1.0,0.9182820763442386,20,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2020-04,1,1.0,0.8833053994095599,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2020-05,1,1.0,0.8901523383201217,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2020-06,1,1.0,0.8647689772803158,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,1,2020-07,1,1.0,0.9739576110075903,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,2,2018-01,4,1.0,0.6822444317369376,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,2,2018-02,2,0.8836898395721925,0.9857575533143714,100,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,2,2018-05,2,1.0,0.9685152033996713,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
score_decile,2,2018-06,7,0.9586092715231788,0.9861163846226392,100,14,0.9041411042944786,source-month loan-level coverage cell using historical accepted-loan evidence
