policy_id,reference_policy_id,n_months,paired_monthly_diff,bootstrap_p05,bootstrap_p50,bootstrap_p95,prob_diff_positive,bootstrap_scope
paper4_v4_local_rt0p1725_g0p425_u0p000,paper1_economic_champion,33,961.568966724024,-1466.7178837772221,900.1738174223522,3857.093618561785,0.738,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p425_u0p025,paper1_economic_champion,33,961.568966724024,-1363.5584874400026,1044.2578697064182,3720.648342428534,0.764,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p425_u0p075,paper1_economic_champion,33,961.568966724024,-1432.8929720010328,899.8844833620112,3629.4788512519226,0.728,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p500_u0p050,paper1_economic_champion,33,874.7092678292934,-5139.950718537253,627.5370011375235,7114.844024887116,0.556,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p450_u0p100,paper1_economic_champion,33,526.8630446272409,-4.379785423225257e-12,526.8630446272405,1173.876564065818,0.868,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p450_u0p000,paper1_economic_champion,33,461.0473028002084,-5803.135943112406,225.63073877066722,6559.259874619965,0.52,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p500_u0p000,paper1_economic_champion,33,384.98998087879727,-7060.081617840473,576.6388047539749,7626.777929788134,0.542,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p500_u0p100,paper1_economic_champion,33,351.0340091850294,-8965.61764350311,554.1377386187951,9386.978994698875,0.53,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p450_u0p075,paper1_economic_champion,33,299.3718931648801,-231.9842233495701,318.1369837511228,928.4942146217771,0.832,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p475_u0p075,paper1_economic_champion,33,-67.00983273408337,-8388.306317884204,614.6840387492584,7759.447436976207,0.542,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p500_u0p025,paper1_economic_champion,33,-171.44578951373296,-8375.147531377921,354.5540301958197,7169.867038751144,0.526,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p425_u0p075,paper1_economic_champion,33,-254.17668918440853,-2084.691742948409,-225.01723686511787,1191.6889755981658,0.416,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p500_u0p050,paper1_economic_champion,33,-282.5224617764402,-6815.353434973346,153.37734870652343,6590.132774669826,0.518,common observed issue-month resampling
