policy_id,risk_tolerance,gamma,policy_mode,uncertainty_aversion,solver_status,solve_scope,candidate_pool_n,min_budget_utilization_used,solve_seconds,n_funded,funded_exposure,realized_return_proxy_lgd45,ecl_baseline_lgd45,weighted_pd_point,weighted_pd_high,weighted_effective_pd,coverage_alpha01,default_rate_observed,delta_vs_paper1_frozen_full_exact,delta_vs_v3_gross_challenger_full_exact,paper4_local_rank_return,grid_family,net_return_after_contractual_ecl_v4,contractual_ecl_v4,adverse_net_return_v4,online_mean_v4,online_min_v4,online_width_v4,mdcp_worst_v4,mdcp_pass_share_v4,max_proxy_gap_v4,mean_proxy_gap_v4,proxy_sources_pass_35,prob_beats_paper1,p05_diff_vs_paper1,gate_return_positive,gate_ifrs9_baseline_positive,gate_online_worst_cell,gate_online_global_method,gate_mdcp,gate_fairness_proxy,gate_sample_path,selector_v4_score,paper4_v4_decision,selector_v4_rank
paper4_v4_local_rt0p1775_g0p475_u0p075,0.1775,0.475,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9413710049993824,337,1000000.0,177061.79107749835,123033.41173252415,0.0907264737656334,0.2734075816278315,0.1775000000001775,0.9465875370919882,0.0534124629080118,3732.1276616532414,3288.836499413359,6,uncertainty_aversion_local_search,85383.73047646807,91678.0606010303,-133601.62766581806,0.9905649038461538,0.9,0.9921337986044622,0.75,0.8888888888888888,0.2684019554695617,0.09992965118896703,1.0,0.7466666666666667,-2627.9926322220845,True,True,True,False,False,True,True,0.8373721230417893,park_for_more_tests,11
paper4_v4_local_rt0p1775_g0p475_u0p050,0.1775,0.475,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9083359539999942,336,1000000.0,177028.73463921354,123076.01849501953,0.0906408093754311,0.2735022633222655,0.1775000000001775,0.9464285714285714,0.0535714285714285,3699.071223368432,3255.7800611285493,7,uncertainty_aversion_local_search,85357.65704008217,91671.0775991314,-133478.78631251512,0.9905649038461538,0.9,0.9920310624029263,0.75,0.8888888888888888,0.2696913436283861,0.09962007625397105,1.0,0.75,-2379.182463116546,True,True,True,False,False,True,True,0.836392742181227,park_for_more_tests,12
paper4_v4_local_rt0p1750_g0p475_u0p100,0.175,0.475,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.10113044299942,339,1000000.0,176000.83712850034,120893.04252712958,0.0902679568240939,0.2686512056158435,0.175000000000175,0.9469026548672568,0.0530973451327433,2671.1737126552325,2227.88255041535,26,uncertainty_aversion_local_search,85417.18918739194,90583.6479411084,-132456.19185252342,0.9905649038461538,0.9,0.9916109761907859,0.75,0.8888888888888888,0.26607597380190806,0.09973833049959073,1.0,0.94,-690.7829883085593,True,True,True,False,False,True,True,0.8356043413023484,park_for_more_tests,13
paper4_v4_local_rt0p1700_g0p425_u0p050,0.17,0.425,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8993243989989423,338,1000000.0,178048.10260725138,124748.80852260345,0.0907507492868407,0.2772195744946743,0.17000000000017,0.9467455621301776,0.0532544378698224,4718.439191406273,4275.14802916639,1,uncertainty_aversion_local_search,85502.56483931569,92545.53776793569,-134955.86397219397,0.9904525134952766,0.8947368421052632,0.9911031294811978,0.75,0.8888888888888888,0.27633063858346185,0.10020777356749692,1.0,0.5033333333333333,-6056.374218326374,True,True,True,False,False,True,True,0.8345167782649078,park_for_more_tests,14
paper4_v4_local_rt0p1725_g0p500_u0p100,0.1725,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.000892609999937,343,1000000.0,173680.69742503017,115421.19599692152,0.0885084533405193,0.2564915466598256,0.1725000000001724,0.9504373177842566,0.0495626822157434,351.0340091850667,-92.25715305481572,71,uncertainty_aversion_local_search,86284.69782808007,87395.99959695007,-127446.21337838165,0.9905290542790542,0.9047619047619048,0.991407859155865,0.8461538461538461,1.0,0.2606406770536259,0.09996114471666025,1.0,0.9833333333333333,1883.065314446391,True,True,True,False,True,True,True,0.8335573398067458,review_candidate,15
paper4_v4_local_rt0p1725_g0p450_u0p075,0.1725,0.45,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.14058049400046,337,1000000.0,176822.00543080445,122718.9817632696,0.0905109422489143,0.2727088483628213,0.1725000000001724,0.9465875370919882,0.0534124629080118,3492.342014959344,3049.050852719461,11,uncertainty_aversion_local_search,85340.9563240746,91481.04910672987,-133239.57330167983,0.9905649038461538,0.9,0.9920858550437454,0.75,0.8888888888888888,0.2688420076070427,0.099740401281611,1.0,0.7666666666666667,-2244.675604344398,True,True,True,False,False,True,True,0.8334341608197596,park_for_more_tests,16
paper4_v4_local_rt0p1750_g0p475_u0p075,0.175,0.475,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.43432179499905,338,1000000.0,175922.94500093377,120998.19898223846,0.0900565311471554,0.2688848866271965,0.175000000000175,0.9467455621301776,0.0532544378698224,2593.281585088669,2149.9904228487867,27,uncertainty_aversion_local_search,85329.26026048728,90593.6847404465,-132257.79420238693,0.9905649038461538,0.9,0.9921337986044622,0.75,0.8888888888888888,0.2674548989384914,0.09969787746326787,1.0,0.9366666666666666,-962.2612295197841,True,True,True,False,False,True,True,0.8315096500799065,park_for_more_tests,17
paper4_v4_local_rt0p1750_g0p475_u0p050,0.175,0.475,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.2947151999997,336,1000000.0,175855.8428434938,121082.50850199135,0.0898870199434194,0.2690722411155364,0.175000000000175,0.9464285714285714,0.0535714285714285,2526.1794276486908,2082.8882654088084,29,uncertainty_aversion_local_search,85249.96980012638,90605.87304336739,-132117.10428583724,0.9905649038461538,0.9,0.9928529520152132,0.75,0.8888888888888888,0.26726118239862107,0.09968998424287907,1.0,0.93,-504.9147890131621,True,True,True,False,False,True,True,0.8275958151725219,park_for_more_tests,18
paper4_v4_local_rt0p1700_g0p450_u0p075,0.17,0.45,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8662928819994704,338,1000000.0,175657.95308946318,120570.30729761012,0.0898721685501088,0.2679340162169114,0.17000000000017,0.9467455621301776,0.0532544378698224,2328.28967361807,1884.998511378188,37,uncertainty_aversion_local_search,85298.99699760693,90358.95609185622,-131933.85844160672,0.9905649038461538,0.9,0.9928529520152132,0.75,0.8888888888888888,0.2674548989384914,0.0997202439132745,1.0,0.9433333333333334,-733.0320507548107,True,True,True,False,False,True,True,0.8259484297598346,park_for_more_tests,19
paper4_v4_local_rt0p1775_g0p475_u0p000,0.1775,0.475,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.041279156999735,339,1000000.0,177096.20973510822,123316.38370328466,0.0901575354117234,0.2740364082295214,0.1775000000001775,0.9469026548672568,0.0530973451327433,3766.546319263114,3323.255157023232,5,uncertainty_aversion_local_search,85330.91419380819,91765.29554130006,-133980.68138985184,0.9904525134952766,0.8947368421052632,0.9920625016766976,0.75,0.8888888888888888,0.27492553132403186,0.10004475828833755,1.0,0.6533333333333333,-4725.543034774271,True,True,True,False,False,True,True,0.8253557886483479,park_for_more_tests,20
paper4_v4_local_rt0p1775_g0p475_u0p025,0.1775,0.475,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.1026475520011445,338,1000000.0,176893.28255546675,123240.03411835192,0.0903110425137046,0.2738667424852264,0.1775000000001775,0.9467455621301776,0.0532544378698224,3563.619139621645,3120.327977381763,8,uncertainty_aversion_local_search,85118.67475202553,91774.60780344122,-134450.68358611205,0.9906169871794872,0.9,0.9919786314107366,0.75,0.8888888888888888,0.27337205870180503,0.10010610433195827,1.0,0.7233333333333334,-4387.5534408478725,True,True,True,False,False,True,True,0.8224520091438038,park_for_more_tests,21
paper4_v4_local_rt0p1725_g0p450_u0p050,0.1725,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.867498252999212,338,1000000.0,176702.59108533437,122887.1203865346,0.0902052356611597,0.2730824897478547,0.1725000000001725,0.9467455621301776,0.0532544378698224,3372.927669489261,2929.636507249379,12,uncertainty_aversion_local_search,85110.13165492681,91592.45943040756,-134243.58650154085,0.9906169871794872,0.9,0.9919786314107366,0.75,0.8888888888888888,0.27337205870180503,0.10010610433195827,1.0,0.7533333333333333,-3995.5715431075428,True,True,True,False,False,True,True,0.821254361808502,park_for_more_tests,22
paper4_v4_local_rt0p1700_g0p450_u0p050,0.17,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.103560624000238,339,1000000.0,175478.25187548407,120827.86631334036,0.0894038794305993,0.2685063695852008,0.17000000000017,0.9469026548672568,0.0530973451327433,2148.588459638966,1705.2972973990836,39,uncertainty_aversion_local_search,85013.73330445438,90464.51857102972,-132741.65637411774,0.9903802447552448,0.9,0.9927043010538653,0.8333333333333334,1.0,0.26607597380190806,0.09983023509217424,1.0,0.8766666666666667,-2315.6315734871355,True,True,True,False,True,True,True,0.8191427336316434,review_candidate,23
paper4_v4_local_rt0p1725_g0p475_u0p050,0.1725,0.475,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.125386950001484,338,1000000.0,174654.63169441232,119115.77693752524,0.0890793902846693,0.2647017265278339,0.1725000000001725,0.9437869822485208,0.0562130177514792,1324.9682785672194,881.677116327337,50,uncertainty_aversion_local_search,85148.34376185221,89506.28793256011,-130593.09659222869,0.990476970945721,0.9047619047619048,0.9927863813820621,0.7777777777777778,0.8888888888888888,0.26153773917517786,0.09908951998728871,1.0,0.95,80.66295908409674,True,True,True,False,False,True,True,0.8078139673266677,park_for_more_tests,24
paper4_v4_local_rt0p1750_g0p475_u0p025,0.175,0.475,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.197953840999617,340,1000000.0,175671.02054735878,121238.99504912332,0.0895723909068578,0.2694199889980518,0.175000000000175,0.9441176470588236,0.0558823529411764,2341.35713151368,1898.0659692737968,36,uncertainty_aversion_local_search,84963.05410523042,90707.9664421284,-133155.37590514103,0.990503762541806,0.9,0.9927927179008318,0.75,0.8888888888888888,0.27058751293083394,0.09998172945239749,1.0,0.85,-2763.137582510656,True,True,True,False,False,True,True,0.8058998066125052,park_for_more_tests,25
paper4_v4_local_rt0p1725_g0p450_u0p025,0.1725,0.45,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.345599411999501,339,1000000.0,176280.75429098553,122987.4969200702,0.0900227328729132,0.2733055487112671,0.1725000000001725,0.9469026548672568,0.0530973451327433,2951.0908751404204,2507.799712900538,23,uncertainty_aversion_local_search,84696.5175206512,91584.23677033432,-134348.3551113634,0.9906169871794872,0.9,0.9921322428953768,0.75,0.8888888888888888,0.27492553132403186,0.09990540017687805,1.0,0.6933333333333334,-4078.0222892865013,True,True,True,False,False,True,True,0.7948584816709006,park_for_more_tests,26
paper4_v4_local_rt0p1700_g0p425_u0p025,0.17,0.425,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.500401368999519,338,1000000.0,177295.43,124813.30973383928,0.0906448052683857,0.2773629105196427,0.17000000000017,0.9437869822485208,0.0562130177514792,3965.766584154888,3522.4754219150054,2,uncertainty_aversion_local_search,84750.94405312515,92544.48594687485,-135529.59040475526,0.9904525134952766,0.8947368421052632,0.9910050596329407,0.75,0.8888888888888888,0.27633063858346185,0.09997149449904309,1.0,0.47333333333333333,-6130.641822666434,True,True,True,False,False,True,False,0.794342400472076,park_for_more_tests,27
paper4_v4_local_rt0p1725_g0p475_u0p025,0.1725,0.475,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.136893979000888,342,1000000.0,174336.04133148165,119271.63750833966,0.0887660198248308,0.2650480833518658,0.1725000000001725,0.9444444444444444,0.0555555555555555,1006.37791563652,563.0867533966375,61,uncertainty_aversion_local_search,84904.41588655314,89431.62544492849,-131283.99196973335,0.9905290542790542,0.9047619047619048,0.9927728621436631,0.75,0.8888888888888888,0.2649115583384707,0.09948017092938183,1.0,0.9233333333333333,-631.4102793374245,True,True,True,False,False,True,True,0.7859400701048309,park_for_more_tests,28
paper4_v4_local_rt0p1750_g0p475_u0p000,0.175,0.475,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.307871126000464,339,1000000.0,175285.03901658073,121349.026162501,0.0893511643296964,0.2696645025833355,0.175000000000175,0.9469026548672568,0.0530973451327433,1955.375600735628,1512.0844384957454,41,uncertainty_aversion_local_search,84599.23662127752,90685.80239530324,-133126.72259429787,0.990503762541806,0.9,0.9929074176316813,0.75,0.8888888888888888,0.27492553132403186,0.09919387685753289,1.0,0.8166666666666667,-3396.252862434352,True,True,True,False,False,True,True,0.7842111823986635,park_for_more_tests,29
paper4_v4_local_rt0p1775_g0p500_u0p025,0.1775,0.5,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.0958043379996525,340,1000000.0,174355.17192184576,119689.08051838518,0.0890242655150545,0.2659757344853004,0.1775000000001775,0.9441176470588236,0.0558823529411764,1025.5085060006531,582.2173437607707,60,uncertainty_aversion_local_search,84539.87500039577,89815.29692145002,-132367.79532888022,0.9905290542790542,0.9047619047619048,0.9927158022271289,0.8181818181818181,1.0,0.27352868940142216,0.09995773428637407,1.0,0.9166666666666666,-953.9946876720802,True,True,True,False,True,True,True,0.7839133408734826,review_candidate,30
paper4_v4_local_rt0p1725_g0p450_u0p000,0.1725,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.113999649998732,339,1000000.0,176164.69889836514,123131.91186539747,0.0897601602450454,0.2736264708119943,0.1725000000001724,0.9469026548672568,0.0530973451327433,2835.035482520034,2391.7443202801514,24,uncertainty_aversion_local_search,84588.6030662011,91576.09583216404,-134019.68448837742,0.9902697649572649,0.8888888888888888,0.9921396881257994,0.75,0.8888888888888888,0.27492553132403186,0.09864559719666127,1.0,0.6466666666666666,-5528.032045522906,True,True,True,False,False,True,True,0.7837675851455317,park_for_more_tests,31
paper4_v4_local_rt0p1750_g0p450_u0p050,0.175,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.037141889999475,339,1000000.0,177101.2509172678,124993.23236448948,0.0909213957012463,0.2777627385877544,0.175000000000175,0.943952802359882,0.0560471976401179,3771.587501422706,3328.2963391828234,3,uncertainty_aversion_local_search,84398.4467116071,92702.80420566074,-136388.061799923,0.9904525134952766,0.8947368421052632,0.9911031294811978,0.75,0.8888888888888888,0.27492553132403186,0.10012983115414109,1.0,0.49333333333333335,-5671.729693233401,True,True,True,False,False,True,False,0.7815923202017135,park_for_more_tests,32
paper4_v4_local_rt0p1700_g0p475_u0p075,0.17,0.475,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.019715824000741,342,1000000.0,173262.65358311104,116956.10639586647,0.0886596802626028,0.2599024586574811,0.17000000000017,0.9444444444444444,0.0555555555555555,-67.00983273406746,-510.30099497394986,73,uncertainty_aversion_local_search,85083.69216836465,88178.96141474639,-129194.53806810119,0.990476970945721,0.9047619047619048,0.9915604030425375,0.7777777777777778,0.8888888888888888,0.26198758173028347,0.09894138782092382,1.0,0.98,1443.1948559888567,True,True,True,False,False,True,True,0.7798601755979476,park_for_more_tests,33
paper4_v4_local_rt0p1700_g0p450_u0p025,0.17,0.45,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9375801450005374,340,1000000.0,174998.43361126567,120947.39898216804,0.0891865473054581,0.2687719977381512,0.17000000000017,0.9470588235294116,0.0529411764705882,1668.7701954205695,1225.479033180687,48,uncertainty_aversion_local_search,84537.31167600043,90461.12193526527,-132853.0677643914,0.990503762541806,0.9,0.9929074176316813,0.75,0.7777777777777778,0.2676463364602457,0.09942144735443725,1.0,0.8333333333333334,-3325.200403031928,True,True,True,False,False,True,True,0.7789946217550414,park_for_more_tests,34
paper4_v4_local_rt0p1775_g0p500_u0p050,0.1775,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.544567136999831,338,1000000.0,174204.3726836744,119509.95766260274,0.0894223163056822,0.2655776836946728,0.1775000000001775,0.9437869822485208,0.0562130177514792,874.7092678292829,431.4181055894005,67,uncertainty_aversion_local_search,84427.7422365582,89776.63044711621,-131932.97177715847,0.9904516792084727,0.9,0.9928062371392308,0.75,0.8888888888888888,0.2674548989384914,0.09962555076574542,1.0,0.9566666666666667,386.6353106725565,True,True,True,False,False,True,True,0.7721169268298628,park_for_more_tests,35
paper4_v4_local_rt0p1750_g0p450_u0p025,0.175,0.45,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.573503153000274,337,1000000.0,176839.42939457996,125081.81583688637,0.0907603348423429,0.2779595907486363,0.1750000000001749,0.9465875370919882,0.0534124629080118,3509.765978734853,3066.4748164949706,10,uncertainty_aversion_local_search,84147.63491991625,92691.79447466374,-136355.04165638427,0.9904525134952766,0.8947368421052632,0.99096614787915,0.75,0.8888888888888888,0.2747767257079329,0.09999316111762464,1.0,0.4166666666666667,-6031.36822649212,True,True,True,False,False,True,False,0.7617080700505239,park_for_more_tests,36
paper4_v4_local_rt0p1775_g0p500_u0p000,0.1775,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.253029490000699,341,1000000.0,173714.6533967239,119722.1895319316,0.0889506899293958,0.2660493100709591,0.1775000000001775,0.9442815249266864,0.0557184750733137,384.9899808788032,-58.301181361079216,70,uncertainty_aversion_local_search,83983.98960561925,89730.66379110466,-132658.08343710634,0.9905290542790542,0.9047619047619048,0.992803381166244,0.8333333333333334,1.0,0.26920748878041134,0.09974272321940277,1.0,0.93,-703.9357367234395,True,True,True,False,True,True,True,0.7587861682709045,review_candidate,37
paper4_v4_local_rt0p1750_g0p500_u0p050,0.175,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.417265324000255,340,1000000.0,173047.1409540687,117610.33193377018,0.088643706814194,0.2613562931861559,0.1750000000001749,0.9441176470588236,0.0558823529411764,-282.5224617764179,-725.8136240163003,76,uncertainty_aversion_local_search,84485.53178533626,88561.60916873242,-130041.68511500547,0.990476970945721,0.9047619047619048,0.9927863813820621,0.7777777777777778,0.8888888888888888,0.26176398351906927,0.09912312321532359,1.0,0.97,1170.4783049065973,True,True,True,False,False,True,True,0.7573564558229473,park_for_more_tests,38
paper4_v4_local_rt0p1750_g0p500_u0p025,0.175,0.5,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.194603507001375,343,1000000.0,173158.21762633137,117789.45478955262,0.0882456560235663,0.2617543439767836,0.1750000000001749,0.9446064139941692,0.0553935860058309,-171.44578951373114,-614.7369517536135,74,uncertainty_aversion_local_search,84603.73168021566,88554.48594611575,-130391.18714577143,0.9905290542790542,0.9047619047619048,0.9927463212497099,0.75,0.8888888888888888,0.26647158084371336,0.09952815301964124,1.0,0.9333333333333333,-439.85622784231964,True,True,True,False,False,True,True,0.7539154782382166,park_for_more_tests,39
