policy_id,source_family,source_value,n_funded,funded_exposure,coverage_alpha01,ecl_baseline_lgd45
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,5,5000.0,1.0,1689.1487590854404
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,C,164,515650.0,0.9512195121951219,42202.10936670592
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,D,117,340225.0,0.9316239316239316,31603.836708337145
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,E,45,85250.0,1.0,14380.596561383454
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,F,10,14000.0,0.8,4136.754943991027
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,G,2,2000.0,1.0,680.9014195401692
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,C,170,528650.0,0.9529411764705882,43201.26663982639
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,D,122,350925.0,0.9262295081967213,34821.24556485655
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,E,32,72150.0,1.0,10672.28680726487
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,F,11,13000.0,0.9090909090909091,3818.15496663046
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,G,4,4000.0,1.0,1311.8948000433536
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,118,349575.0,0.9491525423728814,28524.92830106441
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,131,360525.0,0.916030534351145,37704.97938776163
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,54,97025.0,0.962962962962963,18740.18292402683
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,19,23975.0,0.8421052631578947,7665.624478053954
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,6,6000.0,1.0,2020.313631056891
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,C,127,374375.0,0.952755905511811,30504.547110252523
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,D,132,370150.0,0.9242424242424242,40394.556153485646
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,E,51,97550.0,0.9803921568627451,18704.47838080438
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,F,17,22800.0,0.8235294117647058,7204.113089719629
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,G,7,7000.0,1.0,2400.062849564538
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,C,127,374375.0,0.952755905511811,30504.547110252523
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,D,127,360325.0,0.937007874015748,37519.08333434092
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,E,55,110275.0,0.9818181818181818,22136.824602365916
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,F,16,20200.0,0.8125,6187.638426059447
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,G,8,8500.0,0.875,2904.938596351135
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,141,407400.0,0.9432624113475178,33518.40948282874
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,126,361450.0,0.9444444444444444,38198.93374816808
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,52,92850.0,0.9807692307692307,17037.860104027706
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,14,16000.0,0.7142857142857143,4827.601004702627
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,4,4000.0,1.0,1336.238941848819
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,C,139,400600.0,0.9424460431654677,32934.885833707594
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,D,128,363325.0,0.921875,38445.9757160072
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,E,50,95750.0,0.98,17822.836258674524
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,F,10,12000.0,0.9,3468.0502941781565
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,G,6,6000.0,0.8333333333333334,2037.7715809584668
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,C,147,425050.0,0.9455782312925171,34740.969592727255
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,D,134,370150.0,0.9328358208955224,40778.52773854118
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,E,42,89275.0,1.0,16123.281912164859
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,F,11,13000.0,0.7272727272727273,3774.995258399916
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,G,5,5000.0,0.8,1681.5232045982325
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,153,448250.0,0.9477124183006536,36943.607459550425
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,126,360125.0,0.9285714285714286,37111.14950369431
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,44,81950.0,1.0,13882.71590777217
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,9,9500.0,0.8888888888888888,2775.483754021664
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,4,4000.0,1.0,1336.1358979225165
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,C,155,452050.0,0.9483870967741935,36967.64940204402
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,D,124,352550.0,0.9274193548387096,35347.514932379876
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,E,46,84550.0,1.0,14661.067140300293
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,F,11,15200.0,0.9090909090909091,4471.951541002381
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,G,3,3000.0,1.0,1008.5186587313428
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,C,159,470450.0,0.949685534591195,38481.46270078978
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,D,129,368550.0,0.9224806201550387,40317.89101694271
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,E,38,77850.0,1.0,12444.409251362631
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,F,9,10500.0,0.6666666666666667,2965.893526935883
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,G,4,4000.0,1.0,1311.8948000433536
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,1,4000.0,1.0,339.9192031139314
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,112,334175.0,0.9464285714285714,27270.16463613448
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,136,377125.0,0.9191176470588235,42804.708076854185
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,61,101250.0,0.9672131147540983,20011.13393215718
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,15,18775.0,0.7333333333333334,5891.365890375739
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,7,7000.0,0.8571428571428572,2386.3743141534437
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,C,119,352575.0,0.9495798319327731,28746.13387497619
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,D,136,377175.0,0.9338235294117647,42411.982512321396
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,E,57,112050.0,0.9473684210526316,23370.298090514
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,F,18,24200.0,0.8333333333333334,7453.4052281952045
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,G,3,3000.0,1.0,1008.5186587313428
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,C,120,353575.0,0.95,28800.133206586717
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,D,140,395550.0,0.9428571428571428,48663.981440869145
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,E,51,93500.0,0.9803921568627451,17266.7484444739
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,F,16,20200.0,0.8125,6144.261017442831
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,G,5,5000.0,0.8,1684.758719795543
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,136,396400.0,0.9411764705882353,32594.27918427149
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,130,367125.0,0.9384615384615385,39777.931637341055
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,44,89750.0,0.9772727272727273,16359.8972383729
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,17,23500.0,0.8823529411764706,7266.486292125151
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,7,7550.0,0.8571428571428572,2588.8891289224007
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,C,129,380675.0,0.9534883720930233,31112.12628668386
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,D,131,366225.0,0.9389312977099237,39329.878248244255
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,E,49,94900.0,0.9591836734693877,17665.891735861267
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,F,15,19000.0,0.8,5835.074332097942
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,G,8,8500.0,0.875,2880.6974984719723
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,C,139,404100.0,0.9424460431654677,33210.90481634004
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,D,134,373925.0,0.9253731343283582,41885.45971209894
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,E,47,94475.0,0.9787234042553191,17608.54426437764
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,F,16,21200.0,0.8125,6451.357599858482
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,G,4,4000.0,1.0,1311.8948000433536
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,141,407400.0,0.9432624113475178,33518.40948282875
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,126,353325.0,0.9365079365079365,35427.6987937117
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,49,94400.0,0.9591836734693877,17602.10467335269
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,14,14900.0,0.7857142857142857,4588.9787958841625
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,4,4000.0,0.75,1361.5315198942667
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,C,149,427750.0,0.9463087248322147,35096.3280835135
