cvar_policy_id,risk_tolerance,cvar_cap,return_floor,beta,candidate_pool_n,solver_status,elapsed_seconds,n_funded,funded_exposure,objective_return,formal_cvar_loss,realized_return_proxy_lgd45,mean_scenario_loss,max_scenario_loss
paper4_v4_cvar_rt0p1750_cap160000_floor124633,0.175,160000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8606940360004955,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap160000_floor151340,0.175,160000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9001368600002024,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap210000_floor89024,0.175,210000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,1.1568782220001594,279,1000000.0,124304.25311315988,210000.0,91822.78853920642,126619.39469908003,209999.99999999994
paper4_v4_cvar_rt0p1750_cap210000_floor124633,0.175,210000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1098436989996117,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap210000_floor151340,0.175,210000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0341446370002814,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap90000_floor89024,0.1775,90000.0,89024.05130362569,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8316654930004006,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap90000_floor124633,0.1775,90000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9924474220006232,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap90000_floor151340,0.1775,90000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8283833959994809,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap120000_floor89024,0.1775,120000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,1.1195300340004906,216,1000000.0,97485.65653826,120000.0,63002.08617835334,71293.50649350647,119999.99999999997
paper4_v4_cvar_rt0p1775_cap120000_floor124633,0.1775,120000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0192759399997158,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap120000_floor151340,0.1775,120000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0041349780003657,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap160000_floor89024,0.1775,160000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,1.1687573540002631,248,1000000.0,110441.6666398935,160000.0,69810.9579834131,95058.00865800865,159999.99999999997
paper4_v4_cvar_rt0p1775_cap160000_floor124633,0.1775,160000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9093729220003297,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap160000_floor151340,0.1775,160000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9742907089985238,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap210000_floor89024,0.1775,210000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,0.89934981299848,279,1000000.0,124304.25311315988,210000.0,91822.78853920642,126619.39469908003,209999.99999999994
paper4_v4_cvar_rt0p1775_cap210000_floor124633,0.1775,210000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1367138440000417,0,0.0,,,,,
paper4_v4_cvar_rt0p1775_cap210000_floor151340,0.1775,210000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9879270539986464,0,0.0,,,,,
