month,grade,n,coverage_90,coverage_95,avg_width_90,avg_width_95,gap_90,gap_95
2018-06-01,G,28,0.9642857142857143,0.9642857142857143,0.9886692273470368,0.9927679620441872,0.06428571428571428,0.014285714285714346
2018-07-01,A,4296,0.8633612662942272,0.9394785847299814,0.18827637960917815,0.8822948942910972,-0.036638733705772863,-0.010521415270018597
2018-07-01,B,4375,0.8866285714285714,0.9394285714285714,0.9125983531901957,0.9649980241483439,-0.01337142857142859,-0.010571428571428565
2018-07-01,C,4405,0.8971623155505107,0.947105561861521,0.9524443347576712,0.9769904551802204,-0.002837684449489286,-0.0028944381384790052
2018-07-01,D,2717,0.9032020610967979,0.9532572690467427,0.9650773782933466,0.9811945047377127,0.0032020610967978813,0.003257269046742728
2018-07-01,E,857,0.8599766627771295,0.9194865810968494,0.9463885252747614,0.9605292499119478,-0.04002333722287055,-0.030513418903150513
2018-07-01,F,211,0.9146919431279621,0.957345971563981,0.9781717773267178,0.9821618542552996,0.01469194312796207,0.007345971563981091
2018-07-01,G,60,0.8333333333333334,0.9166666666666666,0.9819607437857081,0.9870816655774702,-0.06666666666666665,-0.033333333333333326
2018-08-01,A,4403,0.8582784465137406,0.941403588462412,0.18891762883821503,0.8837372754754016,-0.04172155348625939,-0.008596411537587945
2018-08-01,B,4429,0.8916233912847144,0.9464890494468278,0.9148720325359748,0.9658553681655551,-0.008376608715285672,-0.0035109505531721874
2018-08-01,C,4227,0.8949609652235628,0.9470073338064822,0.9485157136994264,0.9742193446743738,-0.00503903477643719,-0.00299266619351779
2018-08-01,D,2682,0.9175988068605518,0.9638329604772558,0.9677049701915064,0.9826092428907289,0.01759880686055182,0.013832960477255796
2018-08-01,E,844,0.8554502369668247,0.9206161137440758,0.9385764271147298,0.9546730226487171,-0.04454976303317537,-0.02938388625592414
2018-08-01,F,212,0.8773584905660378,0.9481132075471698,0.9783534910562757,0.9840523403352007,-0.02264150943396226,-0.0018867924528301883
2018-08-01,G,57,0.8947368421052632,0.9122807017543859,0.9749836074412748,0.9784357481435637,-0.0052631578947368585,-0.03771929824561404
2018-09-01,A,3829,0.8524418908331157,0.9360146252285192,0.18912655325392863,0.8832154452722252,-0.0475581091668843,-0.013985374771480763
