pd_mult,lgd_mult,discount_rate,stage2_share,stage3_share,total_ecl,total_ecl_low,total_ecl_high,total_ecl_range,temporal_source,temporal_pd_baseline_mult,temporal_point_model,temporal_interval_model,temporal_status,temporal_official_status
0.9,1.2,0.05,0.3921565794653789,0.22483918387396207,959455203.1814353,427056.2261602959,1512058075.4115684,1511631019.185408,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.2,0.06,0.3921565794653789,0.22483918387396207,950403739.0004784,427056.2261602959,1512058075.4115684,1511631019.185408,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,0.9,0.04,0.4553814258728857,0.22483918387396207,780979400.6497574,355880.1884669132,1260048396.1763072,1259692515.9878402,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,0.9,0.05,0.4553814258728857,0.22483918387396207,773541501.5959504,355880.1884669132,1260048396.1763072,1259692515.9878402,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,0.9,0.06,0.4553814258728857,0.22483918387396207,766243940.2601393,355880.1884669132,1260048396.1763072,1259692515.9878402,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.0,0.04,0.4553814258728857,0.22483918387396207,867754889.6108415,395422.43162990356,1400053773.52923,1399658351.0976002,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.0,0.05,0.4553814258728857,0.22483918387396207,859490557.3288336,395422.43162990356,1400053773.52923,1399658351.0976002,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.0,0.06,0.4553814258728857,0.22483918387396207,851382155.8445992,395422.43162990356,1400053773.52923,1399658351.0976002,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.1,0.04,0.4553814258728857,0.22483918387396207,954530378.5719258,434964.67479289393,1540059150.882153,1539624186.20736,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.1,0.05,0.4553814258728857,0.22483918387396207,945439613.061717,434964.67479289393,1540059150.882153,1539624186.20736,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.1,0.06,0.4553814258728857,0.22483918387396207,936520371.4290593,434964.67479289393,1540059150.882153,1539624186.20736,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.2,0.04,0.4553814258728857,0.22483918387396207,1041305867.5330099,474506.9179558843,1680064528.235076,1679590021.31712,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.2,0.05,0.4553814258728857,0.22483918387396207,1031388668.7946002,474506.9179558843,1680064528.235076,1679590021.31712,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.0,1.2,0.06,0.4553814258728857,0.22483918387396207,1021658587.013519,474506.9179558843,1680064528.235076,1679590021.31712,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,0.9,0.04,0.518111453431045,0.22483918387396207,841966029.7307336,391468.20731360454,1295022692.989065,1294631224.7817514,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,0.9,0.05,0.518111453431045,0.22483918387396207,833947305.63806,391468.20731360454,1295022692.989065,1294631224.7817514,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,0.9,0.06,0.518111453431045,0.22483918387396207,826079878.2263801,391468.20731360454,1295022692.989065,1294631224.7817514,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.0,0.04,0.518111453431045,0.22483918387396207,935517810.8119262,434964.67479289393,1438914103.3211832,1438479138.6463902,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.0,0.05,0.518111453431045,0.22483918387396207,926608117.3756223,434964.67479289393,1438914103.3211832,1438479138.6463902,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.0,0.06,0.518111453431045,0.22483918387396207,917866531.3626447,434964.67479289393,1438914103.3211832,1438479138.6463902,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.1,0.04,0.518111453431045,0.22483918387396207,1029069591.8931189,478461.14227218344,1582805513.6533017,1582327052.5110295,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.1,0.05,0.518111453431045,0.22483918387396207,1019268929.1131845,478461.14227218344,1582805513.6533017,1582327052.5110295,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.1,0.06,0.518111453431045,0.22483918387396207,1009653184.4989092,478461.14227218344,1582805513.6533017,1582327052.5110295,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.2,0.04,0.518111453431045,0.22483918387396207,1122621372.9743114,521957.6097514727,1726696923.9854198,1726174966.3756683,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.2,0.05,0.518111453431045,0.22483918387396207,1111929740.8507466,521957.6097514727,1726696923.9854198,1726174966.3756683,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.1,1.2,0.06,0.518111453431045,0.22483918387396207,1101439837.6351738,521957.6097514727,1726696923.9854198,1726174966.3756683,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,0.9,0.04,0.5749542202268944,0.22483918387396207,902992476.9959728,427056.2261602959,1317133278.5932937,1316706222.3671334,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,0.9,0.05,0.5749542202268944,0.22483918387396207,894392548.6436301,427056.2261602959,1317133278.5932937,1316706222.3671334,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,0.9,0.06,0.5749542202268944,0.22483918387396207,885954883.0903883,427056.2261602959,1317133278.5932937,1316706222.3671334,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.0,0.04,0.5749542202268944,0.22483918387396207,1003324974.4399697,474506.91795588424,1463481420.659215,1463006913.741259,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.0,0.05,0.5749542202268944,0.22483918387396207,993769498.4929223,474506.91795588424,1463481420.659215,1463006913.741259,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.0,0.06,0.5749542202268944,0.22483918387396207,984394314.5448759,474506.91795588424,1463481420.659215,1463006913.741259,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.1,0.04,0.5749542202268944,0.22483918387396207,1103657471.8839667,521957.60975147266,1609829562.7251368,1609307605.1153853,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.1,0.05,0.5749542202268944,0.22483918387396207,1093146448.3422148,521957.60975147266,1609829562.7251368,1609307605.1153853,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.1,0.06,0.5749542202268944,0.22483918387396207,1082833745.9993637,521957.60975147266,1609829562.7251368,1609307605.1153853,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.2,0.04,0.5749542202268944,0.22483918387396207,1203989969.3279634,569408.3015470612,1756177704.791058,1755608296.489511,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.2,0.05,0.5749542202268944,0.22483918387396207,1192523398.1915069,569408.3015470612,1756177704.791058,1755608296.489511,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.2,1.2,0.06,0.5749542202268944,0.22483918387396207,1181273177.4538512,569408.3015470612,1756177704.791058,1755608296.489511,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,0.9,0.04,0.5933853194109849,0.22483918387396207,944748402.5723081,462644.2450069872,1331702861.089865,1331240216.844858,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,0.9,0.05,0.5933853194109849,0.22483918387396207,935750798.7382863,462644.2450069872,1331702861.089865,1331240216.844858,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,0.9,0.06,0.5933853194109849,0.22483918387396207,926922961.01434,462644.2450069872,1331702861.089865,1331240216.844858,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.0,0.04,0.5933853194109849,0.22483918387396207,1049720447.3025646,514049.1611188747,1479669845.6554055,1479155796.4942865,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.0,0.05,0.5933853194109849,0.22483918387396207,1039723109.7092068,514049.1611188747,1479669845.6554055,1479155796.4942865,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.0,0.06,0.5933853194109849,0.22483918387396207,1029914401.1270444,514049.1611188747,1479669845.6554055,1479155796.4942865,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.1,0.04,0.5933853194109849,0.22483918387396207,1154692492.0328212,565454.0772307622,1627636830.2209463,1627071376.1437156,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.1,0.05,0.5933853194109849,0.22483918387396207,1143695420.6801276,565454.0772307622,1627636830.2209463,1627071376.1437156,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.1,0.06,0.5933853194109849,0.22483918387396207,1132905841.239749,565454.0772307622,1627636830.2209463,1627071376.1437156,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.2,0.04,0.5933853194109849,0.22483918387396207,1259664536.7630775,616858.9933426495,1775603814.7864866,1774986955.793144,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.2,0.05,0.5933853194109849,0.22483918387396207,1247667731.6510482,616858.9933426495,1775603814.7864866,1774986955.793144,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
1.3,1.2,0.06,0.5933853194109849,0.22483918387396207,1235897281.3524535,616858.9933426495,1775603814.7864866,1774986955.793144,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
