post_urn,post_url,label,source_url,resolved_url,status,title,error
urn:li:activity:7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,Amazon Web Services (AWS),https://www.linkedin.com/company/amazon-web-services/,https://www.linkedin.com/company/amazon-web-services/,200,Amazon Web Services (AWS) | LinkedIn,
urn:li:activity:7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,LocalStack,https://www.linkedin.com/company/localstack-cloud/,https://www.linkedin.com/company/localstack-cloud/,200,LocalStack | LinkedIn,
urn:li:activity:7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,https://lnkd.in/d3itQCBi,https://lnkd.in/d3itQCBi,https://lnkd.in/d3itQCBi,200,LinkedIn,
urn:li:activity:7421223494132314112,https://www.linkedin.com/feed/update/urn:li:activity:7421223494132314112/,Cursor,https://www.linkedin.com/company/cursorai/,https://www.linkedin.com/company/cursorai/,200,Cursor | LinkedIn,
urn:li:activity:7416750932140552192,https://www.linkedin.com/feed/update/urn:li:activity:7416750932140552192/,https://lnkd.in/dFgQAEWG,https://lnkd.in/dFgQAEWG,https://lnkd.in/dFgQAEWG,200,LinkedIn,
urn:li:activity:7413851823381598208,https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,"Docker, Inc",https://www.linkedin.com/company/docker/,https://www.linkedin.com/company/docker/,200,"Docker, Inc | LinkedIn",
urn:li:activity:7407691340332834816,https://www.linkedin.com/feed/update/urn:li:activity:7407691340332834816/,https://lnkd.in/dwfNbdnZ,https://lnkd.in/dwfNbdnZ,https://lnkd.in/dwfNbdnZ,200,LinkedIn,
urn:li:activity:7404429791552270336,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,SangJun Moon,https://www.linkedin.com/in/sangjun-moon/,https://www.linkedin.com/in/sangjun-moon/,,,HTTPError: HTTP Error 999: <none>
urn:li:activity:7404429791552270336,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,Paul Edwards,https://www.linkedin.com/in/paul-edwards-to/,https://www.linkedin.com/in/paul-edwards-to,200,Paul Edwards - Wealthsimple | LinkedIn,
urn:li:activity:7404429791552270336,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,https://lnkd.in/dag5Kqwf,https://lnkd.in/dag5Kqwf,https://lnkd.in/dag5Kqwf,200,LinkedIn,
urn:li:activity:7401530693182427137,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,https://lnkd.in/dC8RPJ3U,https://lnkd.in/dC8RPJ3U,https://lnkd.in/dC8RPJ3U,200,LinkedIn,
urn:li:activity:7401530693182427137,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,,https://medium.com/aws-in-plain-english/sagemaker-mlflow-pipelines-automating-end-to-end-ml-workloads-on-aws-ea23f1d469ea,https://medium.com/aws-in-plain-english/sagemaker-mlflow-pipelines-automating-end-to-end-ml-workloads-on-aws-ea23f1d469ea,,,HTTPError: HTTP Error 403: Forbidden
urn:li:activity:7397906690391601154,https://www.linkedin.com/feed/update/urn:li:activity:7397906690391601154/,FICO,https://www.linkedin.com/company/fico/,https://www.linkedin.com/company/fico/,200,FICO | LinkedIn,
urn:li:activity:7396457171279970304,https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,Juan Antonio Montero de Espinosa,https://www.linkedin.com/in/juan-antonio-montero-de-espinosa-68803391/,https://www.linkedin.com/in/juan-antonio-montero-de-espinosa-68803391/,,,HTTPError: HTTP Error 999: <none>
urn:li:activity:7396457171279970304,https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,https://lnkd.in/dQHFHQs3,https://lnkd.in/dQHFHQs3,https://lnkd.in/dQHFHQs3,200,LinkedIn,
urn:li:activity:7394653161082314752,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,EuroPython,https://www.linkedin.com/company/europython/,https://www.linkedin.com/company/europython/,200,EuroPython | LinkedIn,
urn:li:activity:7394653161082314752,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,https://lnkd.in/dZv-YGxx,https://lnkd.in/dZv-YGxx,https://lnkd.in/dZv-YGxx,200,LinkedIn,
urn:li:activity:7394653161082314752,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,,https://medium.com/aws-in-plain-english/develop-aws-ml-workloads-locally-with-localstack-and-sam-24bdc0de81aa,https://medium.com/aws-in-plain-english/develop-aws-ml-workloads-locally-with-localstack-and-sam-24bdc0de81aa,,,HTTPError: HTTP Error 403: Forbidden
urn:li:activity:7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,Claude,https://www.linkedin.com/company/claude/,https://www.linkedin.com/showcase/claude/,200,Claude | LinkedIn,
urn:li:activity:7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,ChatGPT,https://www.linkedin.com/company/chatgpt/,https://www.linkedin.com/showcase/chatgpt/,200,ChatGPT | LinkedIn,
urn:li:activity:7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,Andrija Djurovic,https://www.linkedin.com/in/andrija-djurovic/,https://www.linkedin.com/in/andrija-djurovic,200,Andrija Djurovic - Deloitte | LinkedIn,
urn:li:activity:7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,Adrian Olszewski,https://www.linkedin.com/in/adrianolszewski/,https://www.linkedin.com/in/adrianolszewski,200,Adrian Olszewski - 2KMM | LinkedIn,
urn:li:activity:7391383804583645184,https://www.linkedin.com/feed/update/urn:li:activity:7391383804583645184/,Rahul Shaw,https://www.linkedin.com/in/mse16rahuls/,https://www.linkedin.com/in/mse16rahuls/,,,HTTPError: HTTP Error 404: Not Found
urn:li:activity:7387020037041119234,https://www.linkedin.com/feed/update/urn:li:activity:7387020037041119234/,https://lnkd.in/dYS5y8AR,https://lnkd.in/dYS5y8AR,https://lnkd.in/dYS5y8AR,200,LinkedIn,
urn:li:activity:7387020037041119234,https://www.linkedin.com/feed/update/urn:li:activity:7387020037041119234/,,https://medium.com/ai-in-plain-english/end-to-end-catboost-model-lifecycle-with-sagemaker-and-mlflow-b140a964733d,https://medium.com/ai-in-plain-english/end-to-end-catboost-model-lifecycle-with-sagemaker-and-mlflow-b140a964733d,,,HTTPError: HTTP Error 403: Forbidden
urn:li:activity:7384120953489854464,https://www.linkedin.com/feed/update/urn:li:activity:7384120953489854464/,Python,https://www.linkedin.com/company/learn-python-programming/,https://www.linkedin.com/company/learn-python-programming/,200,Python | LinkedIn,
urn:li:activity:7363453428431224832,https://www.linkedin.com/feed/update/urn:li:activity:7363453428431224832/,https://lnkd.in/dYcqYrAr,https://lnkd.in/dYcqYrAr,https://www.linkedin.com/posts/denisburakov_calibration-and-model-selection-activity-7239520617035640833-OYee?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAi24j8BDeyrA2v49v1zdgxvmpNSr3_xGDU,200,Calibration and Model Selection | Denis Burakov | 28 comments,
urn:li:activity:7363453428431224832,https://www.linkedin.com/feed/update/urn:li:activity:7363453428431224832/,https://lnkd.in/dpCr2Ded,https://lnkd.in/dpCr2Ded,https://lnkd.in/dpCr2Ded,200,LinkedIn,
urn:li:activity:7358383766534316032,https://www.linkedin.com/feed/update/urn:li:activity:7358383766534316032/,Compute! Paris,https://www.linkedin.com/company/compute-paris/,https://www.linkedin.com/company/compute-paris/,200,Compute! Paris | LinkedIn,
urn:li:activity:7358383766534316032,https://www.linkedin.com/feed/update/urn:li:activity:7358383766534316032/,https://lnkd.in/dK23jsi5,https://lnkd.in/dK23jsi5,https://lnkd.in/dK23jsi5,200,LinkedIn,
urn:li:activity:7356587000176533504,https://www.linkedin.com/feed/update/urn:li:activity:7356587000176533504/,https://lnkd.in/ergBHqKp,https://lnkd.in/ergBHqKp,https://lnkd.in/ergBHqKp,200,LinkedIn,
urn:li:activity:7356587000176533504,https://www.linkedin.com/feed/update/urn:li:activity:7356587000176533504/,https://lnkd.in/epurVvP8,https://lnkd.in/epurVvP8,https://lnkd.in/epurVvP8,200,LinkedIn,
urn:li:activity:7351513545626312704,https://www.linkedin.com/feed/update/urn:li:activity:7351513545626312704/,https://lnkd.in/drhNP6zb,https://lnkd.in/drhNP6zb,https://lnkd.in/drhNP6zb,200,LinkedIn,
urn:li:activity:7350773655057960960,https://www.linkedin.com/feed/update/urn:li:activity:7350773655057960960/,https://lnkd.in/d5x4qqY7,https://lnkd.in/d5x4qqY7,https://lnkd.in/d5x4qqY7,200,LinkedIn,
urn:li:activity:7350773655057960960,https://www.linkedin.com/feed/update/urn:li:activity:7350773655057960960/,https://matplotlib.org,https://matplotlib.org,https://matplotlib.org,200,Matplotlib &#8212; Visualization with Python,
urn:li:activity:7348984398186229761,https://www.linkedin.com/feed/update/urn:li:activity:7348984398186229761/,https://lnkd.in/d852UZYK,https://lnkd.in/d852UZYK,https://lnkd.in/d852UZYK,200,LinkedIn,
urn:li:activity:7346840312377421826,https://www.linkedin.com/feed/update/urn:li:activity:7346840312377421826/,AWS Training & Certification,https://www.linkedin.com/company/aws-training-&-certification/,https://www.linkedin.com/showcase/aws-training-&-certification/,200,AWS Training &amp; Certification | LinkedIn,
urn:li:activity:7302591232625541122,https://www.linkedin.com/feed/update/urn:li:activity:7302591232625541122/,https://lnkd.in/dxHKBP5C,https://lnkd.in/dxHKBP5C,https://lnkd.in/dxHKBP5C,200,LinkedIn,
urn:li:activity:7297638535648481280,https://www.linkedin.com/feed/update/urn:li:activity:7297638535648481280/,https://lnkd.in/d4hMpsps,https://lnkd.in/d4hMpsps,https://lnkd.in/d4hMpsps,200,LinkedIn,
urn:li:activity:7287502960530518016,https://www.linkedin.com/feed/update/urn:li:activity:7287502960530518016/,https://lnkd.in/dWX_RXzs,https://lnkd.in/dWX_RXzs,https://www.linkedin.com/posts/denisburakov_explainable-boosted-scoring-xbooster-activity-7196388918437548033-jmxE?utm_source=share&utm_medium=member_desktop,200,Explainable Boosted Scoring (xbooster) | Denis Burakov,
urn:li:activity:7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,https://lnkd.in/dBuxEQTq,https://lnkd.in/dBuxEQTq,https://lnkd.in/dBuxEQTq,200,LinkedIn,
urn:li:activity:7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,https://lnkd.in/dPYBzzYi,https://lnkd.in/dPYBzzYi,https://lnkd.in/dPYBzzYi,200,LinkedIn,
urn:li:activity:7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,https://tr.ee/sRiUqNv49i,https://tr.ee/sRiUqNv49i,https://linktr.ee/deburky?lt_utm_source=lt_admin_share_link#437048361,200,deburky | Linktree,
urn:li:activity:7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,https://lnkd.in/d3G3vv5q,https://lnkd.in/d3G3vv5q,https://lnkd.in/d3G3vv5q,200,LinkedIn,
urn:li:activity:7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,https://lnkd.in/dsbbHi-M,https://lnkd.in/dsbbHi-M,https://www.linkedin.com/posts/denisburakov_woe-estimators-for-pd-models-activity-7140373482889961472-zRus?utm_source=share&utm_medium=member_desktop,200,WOE Estimators for PD Models | Denis Burakov | 50 comments,
urn:li:activity:7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,https://lnkd.in/dDgmPkhT,https://lnkd.in/dDgmPkhT,https://www.linkedin.com/posts/denisburakov_creditrisk-creditriskmodeling-lending-activity-7165608521160421379-hzLO?utm_source=share&utm_medium=member_desktop,200,Scorecarding with Naïve Bayes | Denis Burakov,
urn:li:activity:7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,https://linktr.ee/deburky,https://linktr.ee/deburky,https://linktr.ee/deburky,200,deburky | Linktree,
urn:li:activity:7259829440568836097,https://www.linkedin.com/feed/update/urn:li:activity:7259829440568836097/,https://lnkd.in/dUs2Uf6y,https://lnkd.in/dUs2Uf6y,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-lending-modelriskmanagement-activity-7211748798618824704-BeWw?utm_source=share&utm_medium=member_desktop,200,#creditriskmodeling #lending #modelriskmanagement | Denis Burakov | 16 comments,
urn:li:activity:7259829440568836097,https://www.linkedin.com/feed/update/urn:li:activity:7259829440568836097/,https://lnkd.in/d7PAabw3,https://lnkd.in/d7PAabw3,https://www.linkedin.com/posts/denisburakov_back-propagation-in-neural-networks-activity-7198933125886840833-Lfph?utm_source=share&utm_medium=member_desktop,200,Back-Propagation in Neural Networks | Denis Burakov,
urn:li:activity:7254740864336285696,https://www.linkedin.com/feed/update/urn:li:activity:7254740864336285696/,https://lnkd.in/dzeBYJn2,https://lnkd.in/dzeBYJn2,https://www.linkedin.com/posts/denisburakov_weight-of-evidence-for-text-classification-activity-7234084801039790080-hRS0?utm_source=share&utm_medium=member_desktop,200,"Weight of Evidence for Text Classification 📑 Did you know that Weight of Evidence (WOE), a popular technique in Credit Risk Modeling, actually dates back to Alan Turing? 🌟 Turing&#39;s innovative work… | Denis Burakov",
urn:li:activity:7254740864336285696,https://www.linkedin.com/feed/update/urn:li:activity:7254740864336285696/,https://lnkd.in/dpfBSG4B,https://lnkd.in/dpfBSG4B,https://lnkd.in/dpfBSG4B,200,LinkedIn,
urn:li:activity:7252204203853443072,https://www.linkedin.com/feed/update/urn:li:activity:7252204203853443072/,https://lnkd.in/dJfthBa7,https://lnkd.in/dJfthBa7,https://www.linkedin.com/posts/denisburakov_logistic-regression-the-two-cultures-activity-7152948849597132801-P7P_?utm_source=share&utm_medium=member_desktop,200,Logistic Regression: The Two Cultures | Denis Burakov | 15 comments,
urn:li:activity:7247130806010187776,https://www.linkedin.com/feed/update/urn:li:activity:7247130806010187776/,https://lnkd.in/edwQq2Rq,https://lnkd.in/edwQq2Rq,https://www.linkedin.com/posts/denisburakov_gradient-boosting-activity-7173218699191926784-892W?utm_source=share&utm_medium=member_desktop,200,Gradient Boosting | Denis Burakov,
urn:li:activity:7247130806010187776,https://www.linkedin.com/feed/update/urn:li:activity:7247130806010187776/,https://lnkd.in/eHgqXZPJ,https://lnkd.in/eHgqXZPJ,https://www.linkedin.com/posts/denisburakov_logitboost-gradientboosting-python-activity-7229369908193579009-M4Z4?utm_source=share&utm_medium=member_desktop,200,#logitboost #gradientboosting #python | Denis Burakov,
urn:li:activity:7242057402705993728,https://www.linkedin.com/feed/update/urn:li:activity:7242057402705993728/,https://lnkd.in/eRviDu_i,https://lnkd.in/eRviDu_i,https://www.linkedin.com/posts/denisburakov_softmax-logistic-regression-activity-7189511040877924353-c-xH?utm_source=share&utm_medium=member_desktop,200,Softmax Logistic Regression | Denis Burakov | 15 comments,
urn:li:activity:7239520617035640833,https://www.linkedin.com/feed/update/urn:li:activity:7239520617035640833/,https://lnkd.in/dyn72Fmg,https://lnkd.in/dyn72Fmg,https://www.linkedin.com/pulse/measuring-calibration-accuracy-modern-pd-models-denis-burakov/?trackingId=p9HGGZu2TnyJVGX9UtqUmQ%3D%3D,200,Measuring Calibration Accuracy of Modern PD Models,
urn:li:activity:7234084801039790080,https://www.linkedin.com/feed/update/urn:li:activity:7234084801039790080/,https://lnkd.in/dRxPhNS5,https://lnkd.in/dRxPhNS5,https://www.linkedin.com/posts/denisburakov_woe-naivebayes-creditscorecards-activity-7191685389512826882-CbIP?utm_source=share&utm_medium=member_desktop,200,#woe #naivebayes #creditscorecards #creditriskmodeling #naivebayes #woe #creditriskmodeling #lending #modelriskmanagement #python | Denis Burakov | 12 comments,
urn:li:activity:7229369908193579009,https://www.linkedin.com/feed/update/urn:li:activity:7229369908193579009/,https://lnkd.in/dm-f2tx3,https://lnkd.in/dm-f2tx3,https://lnkd.in/dm-f2tx3,200,LinkedIn,
urn:li:activity:7229369908193579009,https://www.linkedin.com/feed/update/urn:li:activity:7229369908193579009/,https://lnkd.in/dtwnB9hS,https://lnkd.in/dtwnB9hS,https://www.linkedin.com/posts/denisburakov_additive-logistic-regression-activity-7173943545752383488-mnVZ?utm_source=share&utm_medium=member_desktop,200,Additive Logistic Regression | Denis Burakov,
urn:li:activity:7229369908193579009,https://www.linkedin.com/feed/update/urn:li:activity:7229369908193579009/,Matplotlib,https://www.linkedin.com/company/matplotlib/,https://www.linkedin.com/company/matplotlib/,200,Matplotlib | LinkedIn,
urn:li:activity:7226833197983006722,https://www.linkedin.com/feed/update/urn:li:activity:7226833197983006722/,https://lnkd.in/dWMnqkzc,https://lnkd.in/dWMnqkzc,https://www.linkedin.com/posts/denisburakov_metrics-creditrisk-creditriskmodeling-activity-7178292163967938560-tJMm?utm_source=share&utm_medium=member_desktop?,200,#metrics #creditrisk #creditriskmodeling #lending #modelriskmanagement | Denis Burakov,
urn:li:activity:7224433718059274241,https://www.linkedin.com/feed/update/urn:li:activity:7224433718059274241/,https://lnkd.in/dXNHuvcq,https://lnkd.in/dXNHuvcq,https://lnkd.in/dXNHuvcq,200,LinkedIn,
urn:li:activity:7224433718059274241,https://www.linkedin.com/feed/update/urn:li:activity:7224433718059274241/,https://lnkd.in/dAd7jSYe,https://lnkd.in/dAd7jSYe,https://lnkd.in/dAd7jSYe,200,LinkedIn,
urn:li:activity:7224433718059274241,https://www.linkedin.com/feed/update/urn:li:activity:7224433718059274241/,https://lnkd.in/e-746FQW,https://lnkd.in/e-746FQW,https://www.linkedin.com/posts/denisburakov_python-logisticregression-logisticregression-activity-7181176150688223232-b8mn?utm_source=share&utm_medium=member_desktop,200,#python #logisticregression #logisticregression #logisticregression #logisticregression #creditriskmodeling #lending #modelriskmanagement | Denis Burakov,
urn:li:activity:7224433718059274241,https://www.linkedin.com/feed/update/urn:li:activity:7224433718059274241/,https://lnkd.in/ebHdg-fB,https://lnkd.in/ebHdg-fB,https://www.linkedin.com/posts/denisburakov_logistic-regression-activity-7171406844500946944-GU_v?utm_source=share&utm_medium=member_desktop,200,Logistic Regression | Denis Burakov,
