policy,policy_mode,gamma,risk_tolerance,uncertainty_aversion,min_budget_utilization,pd_cap_slack_penalty,price_of_robustness,price_of_robustness_pct,realized_total_return,ab_diff_total_return,ab_pass,solver_status,solver_backend,delta_cap_quantile,tail_focus_quantile,objective_value,n_funded,total_allocated,expected_return_gross,expected_loss_point,expected_return_net_point,worst_case_loss,uncertainty_penalty_cost,pd_cap_slack,worst_case_pd,point_pd,funded_ratio_vs_control,worst_case_pd_reduction_bps,allocation_similarity,eligible_for_canonical_selection,selected_for_champion,selected_for_robustness_aware,selected_for_balanced_robustness,selected_for_guardrail_robustness
robust,blended_uncertainty,0.0,0.05,0.75,0.05,1.5,-5946.094808478189,-504821746105.257,4672.580934585056,4672.580934585056,True,Optimal,cuopt,1.0,1.0,61.91544375552418,17,50000.0,7071.094808656049,1125.0000000000005,5946.094808656049,8970.572486534034,5884.179364900525,0.0,0.39869211050464987,0.04999999999900002,17.0,-2068.2302942073075,0.17117283866618255,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,1.0,0.05,1.5,-4194.920789838791,-356147573509.95746,5237.400000000001,5237.400000000001,True,Optimal,cuopt,1.0,1.0,-1477.133079944693,9,50000.0,5237.4,1042.479209983349,4194.920790016651,6714.533079944693,5672.053869961344,0.0,0.29842369243601785,0.04633240933166663,9.0,-1065.5461135209873,0.26255256686882333,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,1.5,0.05,1.5,-4194.920789838791,-356147573509.95746,5237.4,5237.4,True,Optimal,cuopt,1.0,1.0,-4313.1600149253645,9,49999.99999999999,5237.4,1042.4792099833487,4194.920790016651,6714.533079944691,8508.080804942016,0.0,0.29842369243601785,0.04633240933166663,9.0,-1065.5461135209873,0.26255256686882333,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,2.0,0.05,1.5,-4194.920789838791,-356147573509.95746,5237.400000000001,5237.400000000001,True,Optimal,cuopt,1.0,1.0,-7149.186949906038,9,50000.0,5237.4,1042.479209983349,4194.920790016651,6714.533079944693,11344.107739922689,0.0,0.29842369243601785,0.04633240933166663,9.0,-1065.5461135209873,0.26255256686882333,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,2.5,0.05,1.5,-4194.920789838791,-356147573509.95746,5237.4,5237.4,True,Optimal,cuopt,1.0,1.0,-9985.213884886707,9,49999.99999999999,5237.4,1042.4792099833487,4194.920790016651,6714.533079944691,14180.134674903358,0.0,0.29842369243601785,0.04633240933166663,9.0,-1065.5461135209873,0.26255256686882333,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,3.0,0.05,1.5,-4194.920789838791,-356147573509.95746,5237.4,5237.4,True,Optimal,cuopt,1.0,1.0,-12821.24081986738,9,49999.99999999999,5237.4,1042.4792099833487,4194.920790016651,6714.533079944691,17016.16160988403,0.0,0.29842369243601785,0.04633240933166663,9.0,-1065.5461135209873,0.26255256686882333,True,False,False,False,False
robust,blended_uncertainty,0.05,0.05,0.0,0.05,1.5,-103702.32966858766,-8804298085498.89,58992.09441093202,58992.09441093202,True,Optimal,cuopt,1.0,1.0,103702.32966876558,186,999999.9999999998,117778.264410932,14075.93474216648,103702.32966876551,182557.23990061186,0.0,0.0,0.4056827553342873,0.03127985498256091,186.0,-2138.136742503682,0.06482193909998507,True,False,False,False,False
robust,blended_uncertainty,0.05,0.05,0.1,0.05,1.5,-103548.00158685214,-8791195675563.599,59041.78589639273,59041.78589639273,True,Optimal,cuopt,1.0,1.0,87107.91020592082,184,1000000.0,117827.95589639271,14279.954309362716,103548.00158703,178680.8681204544,16440.09138110917,0.0,0.3970685958228348,0.03173323179855207,184.0,-2051.995147389157,0.07525748694001062,True,False,False,False,False
robust,blended_uncertainty,0.05,0.05,0.25,0.05,1.5,-102363.3822517939,-8690621833326.595,70769.34371983288,70769.34371983288,True,Optimal,cuopt,1.0,1.0,63009.88959129238,196,999999.9999999998,116992.68371983292,14629.301467861167,102363.38225197175,172043.2721105787,39353.49266067938,0.0,0.3823183824675704,0.03250955881743675,196.0,-1904.4930138365125,0.09454810596331764,True,False,False,False,False
robust,blended_uncertainty,0.05,0.05,0.5,0.05,1.5,-99377.86253959869,-8437152064900.925,60814.89525916072,60814.89525916072,True,Optimal,cuopt,1.0,1.0,24486.389733620104,193,1000000.0000000002,114388.71525916073,15010.85271938418,99377.86253977654,164793.79833169706,74891.47280615644,0.0,0.3662084407367383,0.03335745048748704,193.0,-1743.393596528192,0.12051563141583778,True,False,False,False,False
